Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        1.53596497e+02
         200  $\mathcal{L}_{res}$        1.62861357e-03
         400  $\mathcal{L}_{res}$        4.56087873e-04
         600  $\mathcal{L}_{res}$        6.99891942e-04
         800  $\mathcal{L}_{res}$        7.63171003e-04
        1000  $\mathcal{L}_{res}$        7.62599229e-04
        1200  $\mathcal{L}_{res}$        7.54353474e-04
        1400  $\mathcal{L}_{res}$        7.53420114e-04
        1600  $\mathcal{L}_{res}$        7.55850750e-04
        1800  $\mathcal{L}_{res}$        5.80138585e-04
        2000  $\mathcal{L}_{res}$        7.44172197e-04
        2200  $\mathcal{L}_{res}$        1.67500204e-03
        2400  $\mathcal{L}_{res}$        7.28416198e-04
        2600  $\mathcal{L}_{res}$        7.46956328e-04
        2800  $\mathcal{L}_{res}$        6.75207353e-04
        3000  $\mathcal{L}_{res}$        7.41281139e-04
        3200  $\mathcal{L}_{res}$        9.59983736e-04
        3400  $\mathcal{L}_{res}$        7.31215056e-04
        3600  $\mathcal{L}_{res}$        7.36921560e-04
        3800  $\mathcal{L}_{res}$        7.35845591e-04
        4000  $\mathcal{L}_{res}$        7.61426578e-04
        4200  $\mathcal{L}_{res}$        7.50408974e-04
        4400  $\mathcal{L}_{res}$        8.22458940e-04
        4600  $\mathcal{L}_{res}$        7.82747637e-04
        4800  $\mathcal{L}_{res}$        7.47401849e-04
        5000  $\mathcal{L}_{res}$        7.44603807e-04
        5200  $\mathcal{L}_{res}$        3.46935570e-01
        5400  $\mathcal{L}_{res}$        7.88446632e-04
        5600  $\mathcal{L}_{res}$        7.70695682e-04
        5800  $\mathcal{L}_{res}$        1.08349766e-03
        6000  $\mathcal{L}_{res}$        7.94035441e-04
        6200  $\mathcal{L}_{res}$        7.96025561e-04
        6400  $\mathcal{L}_{res}$        8.01300630e-04
        6600  $\mathcal{L}_{res}$        8.44458991e-04
        6800  $\mathcal{L}_{res}$        8.04861716e-04
        7000  $\mathcal{L}_{res}$        7.40129093e-04
        7200  $\mathcal{L}_{res}$        5.79941869e-02
        7400  $\mathcal{L}_{res}$        7.89141282e-04
        7600  $\mathcal{L}_{res}$        8.11665435e-04
        7800  $\mathcal{L}_{res}$        8.15674837e-04
        8000  $\mathcal{L}_{res}$        7.87436089e-04
        8200  $\mathcal{L}_{res}$        8.34216946e-04
        8400  $\mathcal{L}_{res}$        8.24387709e-04
        8600  $\mathcal{L}_{res}$        9.07159585e-04
        8800  $\mathcal{L}_{res}$        8.83515051e-04
        9000  $\mathcal{L}_{res}$        8.94951809e-04
        9200  $\mathcal{L}_{res}$        9.92641435e-04
        9400  $\mathcal{L}_{res}$        1.99430510e-01
        9600  $\mathcal{L}_{res}$        1.72423432e-03
        9800  $\mathcal{L}_{res}$        1.80463213e-03
       10000  $\mathcal{L}_{res}$        3.54487146e-03
       10000  $\mathcal{L}_{res}$        1.98246746e+01
       10981  $\mathcal{L}_{res}$        2.24293792e-03
       11966  $\mathcal{L}_{res}$        1.60484423e-03
       12954  $\mathcal{L}_{res}$        5.67152456e-04
       13935  $\mathcal{L}_{res}$        3.58798192e-04
       14050  $\mathcal{L}_{res}$        3.46905552e-04
       14502  $\mathcal{L}_{res}$        1.60602838e-04
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        1.83199555e-01
         200  $\mathcal{L}_{bc0}$        3.41052214e-06
         400  $\mathcal{L}_{bc0}$        2.36900678e-06
         600  $\mathcal{L}_{bc0}$        2.10635494e-06
         800  $\mathcal{L}_{bc0}$        2.46413447e-06
        1000  $\mathcal{L}_{bc0}$        2.93372432e-06
        1200  $\mathcal{L}_{bc0}$        3.37825554e-06
        1400  $\mathcal{L}_{bc0}$        3.77111610e-06
        1600  $\mathcal{L}_{bc0}$        4.12426743e-06
        1800  $\mathcal{L}_{bc0}$        4.75450724e-06
        2000  $\mathcal{L}_{bc0}$        4.26346969e-06
        2200  $\mathcal{L}_{bc0}$        8.03946205e-06
        2400  $\mathcal{L}_{bc0}$        4.31290482e-06
        2600  $\mathcal{L}_{bc0}$        4.35286120e-06
        2800  $\mathcal{L}_{bc0}$        5.06819742e-06
        3000  $\mathcal{L}_{bc0}$        4.32688694e-06
        3200  $\mathcal{L}_{bc0}$        3.82009421e-06
        3400  $\mathcal{L}_{bc0}$        4.86286535e-06
        3600  $\mathcal{L}_{bc0}$        4.34408821e-06
        3800  $\mathcal{L}_{bc0}$        4.26515544e-06
        4000  $\mathcal{L}_{bc0}$        6.65612424e-06
        4200  $\mathcal{L}_{bc0}$        4.65591529e-06
        4400  $\mathcal{L}_{bc0}$        4.95776248e-06
        4600  $\mathcal{L}_{bc0}$        5.25661699e-06
        4800  $\mathcal{L}_{bc0}$        4.66760412e-06
        5000  $\mathcal{L}_{bc0}$        4.64097229e-06
        5200  $\mathcal{L}_{bc0}$        7.48092643e-05
        5400  $\mathcal{L}_{bc0}$        5.50381810e-06
        5600  $\mathcal{L}_{bc0}$        5.26407894e-06
        5800  $\mathcal{L}_{bc0}$        9.39921756e-06
        6000  $\mathcal{L}_{bc0}$        5.76527464e-06
        6200  $\mathcal{L}_{bc0}$        5.86863598e-06
        6400  $\mathcal{L}_{bc0}$        5.69779968e-06
        6600  $\mathcal{L}_{bc0}$        6.73050909e-06
        6800  $\mathcal{L}_{bc0}$        5.71492455e-06
        7000  $\mathcal{L}_{bc0}$        6.24461109e-06
        7200  $\mathcal{L}_{bc0}$        4.10423054e-05
        7400  $\mathcal{L}_{bc0}$        4.69139104e-06
        7600  $\mathcal{L}_{bc0}$        5.15784723e-06
        7800  $\mathcal{L}_{bc0}$        5.13835266e-06
        8000  $\mathcal{L}_{bc0}$        4.15286240e-06
        8200  $\mathcal{L}_{bc0}$        4.89950799e-06
        8400  $\mathcal{L}_{bc0}$        4.05067522e-06
        8600  $\mathcal{L}_{bc0}$        5.09472193e-06
        8800  $\mathcal{L}_{bc0}$        4.30913269e-06
        9000  $\mathcal{L}_{bc0}$        3.77004881e-06
        9200  $\mathcal{L}_{bc0}$        3.06628908e-06
        9400  $\mathcal{L}_{bc0}$        1.15663770e-05
        9600  $\mathcal{L}_{bc0}$        4.55924965e-06
        9800  $\mathcal{L}_{bc0}$        1.63711975e-05
       10000  $\mathcal{L}_{bc0}$        2.29790312e-05
       10000  $\mathcal{L}_{bc0}$        4.41163778e-02
       10981  $\mathcal{L}_{bc0}$        1.29000098e-02
       11966  $\mathcal{L}_{bc0}$        2.24820129e-03
       12954  $\mathcal{L}_{bc0}$        2.65945710e-04
       13935  $\mathcal{L}_{bc0}$        1.32069457e-04
       14050  $\mathcal{L}_{bc0}$        1.09906992e-04
       14502  $\mathcal{L}_{bc0}$        1.15039191e-04
--------------------------------------------------
           0  $\mathcal{L}_{bc1}$        1.04443077e-02
         200  $\mathcal{L}_{bc1}$        7.23891048e-07
         400  $\mathcal{L}_{bc1}$        6.63387212e-08
         600  $\mathcal{L}_{bc1}$        8.71799699e-08
         800  $\mathcal{L}_{bc1}$        9.83842980e-08
        1000  $\mathcal{L}_{bc1}$        1.19510361e-07
        1200  $\mathcal{L}_{bc1}$        1.59560571e-07
        1400  $\mathcal{L}_{bc1}$        2.17282789e-07
        1600  $\mathcal{L}_{bc1}$        2.91588833e-07
        1800  $\mathcal{L}_{bc1}$        2.55970406e-07
        2000  $\mathcal{L}_{bc1}$        3.93363649e-07
        2200  $\mathcal{L}_{bc1}$        6.18579236e-07
        2400  $\mathcal{L}_{bc1}$        4.74255103e-07
        2600  $\mathcal{L}_{bc1}$        5.21799507e-07
        2800  $\mathcal{L}_{bc1}$        4.63611940e-07
        3000  $\mathcal{L}_{bc1}$        5.54693088e-07
        3200  $\mathcal{L}_{bc1}$        5.64604989e-07
        3400  $\mathcal{L}_{bc1}$        5.24345808e-07
        3600  $\mathcal{L}_{bc1}$        5.40023336e-07
        3800  $\mathcal{L}_{bc1}$        5.47025707e-07
        4000  $\mathcal{L}_{bc1}$        4.95593895e-07
        4200  $\mathcal{L}_{bc1}$        5.61717343e-07
        4400  $\mathcal{L}_{bc1}$        5.86490103e-07
        4600  $\mathcal{L}_{bc1}$        5.05433036e-07
        4800  $\mathcal{L}_{bc1}$        4.99671046e-07
        5000  $\mathcal{L}_{bc1}$        5.13194891e-07
        5200  $\mathcal{L}_{bc1}$        5.79224834e-05
        5400  $\mathcal{L}_{bc1}$        5.15600391e-07
        5600  $\mathcal{L}_{bc1}$        5.19958576e-07
        5800  $\mathcal{L}_{bc1}$        4.36734723e-07
        6000  $\mathcal{L}_{bc1}$        5.07100481e-07
        6200  $\mathcal{L}_{bc1}$        5.34837397e-07
