Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        2.57511017e+02
         200  $\mathcal{L}_{res}$        1.04534127e-01
         400  $\mathcal{L}_{res}$        1.06010318e-01
         600  $\mathcal{L}_{res}$        1.31229579e-01
         800  $\mathcal{L}_{res}$        1.68925002e-01
        1000  $\mathcal{L}_{res}$        2.22732738e-01
        1200  $\mathcal{L}_{res}$        2.41046548e-01
        1400  $\mathcal{L}_{res}$        1.96566463e-01
        1600  $\mathcal{L}_{res}$        9.26931918e-01
        1800  $\mathcal{L}_{res}$        7.36227781e-02
        2000  $\mathcal{L}_{res}$        4.56396155e-02
        2000  $\mathcal{L}_{res}$        4.52780314e-02
        3000  $\mathcal{L}_{res}$        8.96530400e-04
        4000  $\mathcal{L}_{res}$        1.83228389e-04
        4737  $\mathcal{L}_{res}$        7.86434030e-05
        4741  $\mathcal{L}_{res}$        7.90401537e-05
        4761  $\mathcal{L}_{res}$        7.87715690e-05
        4776  $\mathcal{L}_{res}$        7.77945825e-05
        5016  $\mathcal{L}_{res}$        7.80747141e-05
        5019  $\mathcal{L}_{res}$        7.82668503e-05
        5063  $\mathcal{L}_{res}$        8.29859564e-05
        5272  $\mathcal{L}_{res}$        7.93455692e-05
        5273  $\mathcal{L}_{res}$        7.93900763e-05
        5282  $\mathcal{L}_{res}$        7.88215402e-05
        5286  $\mathcal{L}_{res}$        7.87035460e-05
        5448  $\mathcal{L}_{res}$        7.39424504e-05
        5453  $\mathcal{L}_{res}$        7.44691279e-05
        5457  $\mathcal{L}_{res}$        7.47289232e-05
        5608  $\mathcal{L}_{res}$        7.48825332e-05
        5630  $\mathcal{L}_{res}$        7.65455843e-05
        5719  $\mathcal{L}_{res}$        7.62819545e-05
        5725  $\mathcal{L}_{res}$        7.52797714e-05
        5726  $\mathcal{L}_{res}$        7.51111438e-05
        5931  $\mathcal{L}_{res}$        7.98238398e-05
        5933  $\mathcal{L}_{res}$        7.97262619e-05
        5936  $\mathcal{L}_{res}$        8.00004054e-05
        6117  $\mathcal{L}_{res}$        8.12644648e-05
        6157  $\mathcal{L}_{res}$        8.54682439e-05
        6194  $\mathcal{L}_{res}$        9.35672579e-05
        6204  $\mathcal{L}_{res}$        9.30730312e-05
        6268  $\mathcal{L}_{res}$        9.47661756e-05
        6486  $\mathcal{L}_{res}$        9.14195698e-05
        6490  $\mathcal{L}_{res}$        9.15820856e-05
        6517  $\mathcal{L}_{res}$        9.19313679e-05
        6520  $\mathcal{L}_{res}$        9.17639773e-05
        6540  $\mathcal{L}_{res}$        9.34340642e-05
        6562  $\mathcal{L}_{res}$        9.41598773e-05
        6595  $\mathcal{L}_{res}$        9.48902743e-05
        6629  $\mathcal{L}_{res}$        9.38977319e-05
        6695  $\mathcal{L}_{res}$        9.78426906e-05
        6697  $\mathcal{L}_{res}$        9.79190299e-05
        6726  $\mathcal{L}_{res}$        9.64788851e-05
        6728  $\mathcal{L}_{res}$        9.65099389e-05
        6818  $\mathcal{L}_{res}$        9.49842870e-05
        6847  $\mathcal{L}_{res}$        9.33196134e-05
        6941  $\mathcal{L}_{res}$        8.99633087e-05
        6945  $\mathcal{L}_{res}$        9.00743617e-05
        6948  $\mathcal{L}_{res}$        9.00521773e-05
        7138  $\mathcal{L}_{res}$        7.46120859e-05
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        1.92791247e+00
         200  $\mathcal{L}_{bc0}$        1.63309300e+00
         400  $\mathcal{L}_{bc0}$        1.53480995e+00
         600  $\mathcal{L}_{bc0}$        1.43978477e+00
         800  $\mathcal{L}_{bc0}$        1.33028758e+00
        1000  $\mathcal{L}_{bc0}$        1.20381975e+00
        1200  $\mathcal{L}_{bc0}$        1.06844151e+00
        1400  $\mathcal{L}_{bc0}$        7.40008950e-01
        1600  $\mathcal{L}_{bc0}$        2.33299285e-01
        1800  $\mathcal{L}_{bc0}$        1.13142766e-01
        2000  $\mathcal{L}_{bc0}$        5.47841899e-02
        2000  $\mathcal{L}_{bc0}$        5.47841899e-02
        3000  $\mathcal{L}_{bc0}$        2.68481876e-04
        4000  $\mathcal{L}_{bc0}$        6.44723768e-05
        4737  $\mathcal{L}_{bc0}$        4.51185078e-05
        4741  $\mathcal{L}_{bc0}$        4.58450922e-05
        4761  $\mathcal{L}_{bc0}$        4.40834738e-05
        4776  $\mathcal{L}_{bc0}$        4.45952537e-05
        5016  $\mathcal{L}_{bc0}$        5.51405101e-05
        5019  $\mathcal{L}_{bc0}$        5.51566227e-05
        5063  $\mathcal{L}_{bc0}$        6.02971959e-05
        5272  $\mathcal{L}_{bc0}$        6.73659742e-05
        5273  $\mathcal{L}_{bc0}$        6.73603063e-05
        5282  $\mathcal{L}_{bc0}$        6.72183014e-05
        5286  $\mathcal{L}_{bc0}$        6.74091207e-05
        5448  $\mathcal{L}_{bc0}$        7.09372616e-05
        5453  $\mathcal{L}_{bc0}$        7.08265798e-05
        5457  $\mathcal{L}_{bc0}$        7.09350716e-05
        5608  $\mathcal{L}_{bc0}$        7.45773214e-05
        5630  $\mathcal{L}_{bc0}$        7.52068881e-05
        5719  $\mathcal{L}_{bc0}$        7.58639799e-05
        5725  $\mathcal{L}_{bc0}$        7.59218965e-05
        5726  $\mathcal{L}_{bc0}$        7.59019604e-05
        5931  $\mathcal{L}_{bc0}$        7.14384078e-05
        5933  $\mathcal{L}_{bc0}$        7.14122725e-05
        5936  $\mathcal{L}_{bc0}$        7.18149022e-05
        6117  $\mathcal{L}_{bc0}$        6.82213795e-05
        6157  $\mathcal{L}_{bc0}$        6.34491444e-05
        6194  $\mathcal{L}_{bc0}$        6.50113798e-05
        6204  $\mathcal{L}_{bc0}$        6.45354303e-05
        6268  $\mathcal{L}_{bc0}$        5.83885303e-05
        6486  $\mathcal{L}_{bc0}$        4.88361111e-05
        6490  $\mathcal{L}_{bc0}$        4.85936944e-05
        6517  $\mathcal{L}_{bc0}$        4.78467700e-05
        6520  $\mathcal{L}_{bc0}$        4.83554686e-05
        6540  $\mathcal{L}_{bc0}$        4.62965218e-05
        6562  $\mathcal{L}_{bc0}$        4.70781742e-05
        6595  $\mathcal{L}_{bc0}$        4.63270626e-05
        6629  $\mathcal{L}_{bc0}$        4.50480766e-05
        6695  $\mathcal{L}_{bc0}$        4.12177542e-05
        6697  $\mathcal{L}_{bc0}$        4.12162772e-05
        6726  $\mathcal{L}_{bc0}$        3.92236616e-05
        6728  $\mathcal{L}_{bc0}$        3.92995316e-05
        6818  $\mathcal{L}_{bc0}$        3.58115540e-05
        6847  $\mathcal{L}_{bc0}$        3.53096584e-05
        6941  $\mathcal{L}_{bc0}$        2.80127533e-05
        6945  $\mathcal{L}_{bc0}$        2.82902856e-05
        6948  $\mathcal{L}_{bc0}$        2.85270635e-05
        7138  $\mathcal{L}_{bc0}$        2.82406218e-05
--------------------------------------------------
           0  $\mathcal{L}_{bc1}$        2.81495601e-01
         200  $\mathcal{L}_{bc1}$        2.31045851e-04
         400  $\mathcal{L}_{bc1}$        3.92617840e-05
         600  $\mathcal{L}_{bc1}$        1.35492983e-05
         800  $\mathcal{L}_{bc1}$        4.08054220e-05
        1000  $\mathcal{L}_{bc1}$        9.85839870e-05
        1200  $\mathcal{L}_{bc1}$        1.18775017e-04
        1400  $\mathcal{L}_{bc1}$        1.46807841e-04
        1600  $\mathcal{L}_{bc1}$        5.63852314e-04
        1800  $\mathcal{L}_{bc1}$        9.71473200e-05
        2000  $\mathcal{L}_{bc1}$        6.50062138e-05
        2000  $\mathcal{L}_{bc1}$        6.50062138e-05
        3000  $\mathcal{L}_{bc1}$        7.45947997e-04
        4000  $\mathcal{L}_{bc1}$        8.32090227e-05
        4737  $\mathcal{L}_{bc1}$        4.83492840e-05
        4741  $\mathcal{L}_{bc1}$        4.85302953e-05
        4761  $\mathcal{L}_{bc1}$        4.56852940e-05
        4776  $\mathcal{L}_{bc1}$        4.61251839e-05
        5016  $\mathcal{L}_{bc1}$        5.22383343e-05
        5019  $\mathcal{L}_{bc1}$        5.14362691e-05
        5063  $\mathcal{L}_{bc1}$        5.20059693e-05
        5272  $\mathcal{L}_{bc1}$        3.95714960e-05
        5273  $\mathcal{L}_{bc1}$        3.96234827e-05
