Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        7.16081314e+01
           0  $\mathcal{L}_{res}$        2.00000000e+00
         200  $\mathcal{L}_{res}$        1.10967152e-01
         400  $\mathcal{L}_{res}$        2.69748271e-02
         600  $\mathcal{L}_{res}$        4.84900400e-02
         800  $\mathcal{L}_{res}$        2.10079607e-02
        1000  $\mathcal{L}_{res}$        2.00703926e-02
        1200  $\mathcal{L}_{res}$        2.28797849e-02
        1400  $\mathcal{L}_{res}$        2.93506719e-02
        1600  $\mathcal{L}_{res}$        1.81265753e-02
        1800  $\mathcal{L}_{res}$        1.49595197e-02
        2000  $\mathcal{L}_{res}$        1.73736867e-02
        2200  $\mathcal{L}_{res}$        1.45655712e-02
        2400  $\mathcal{L}_{res}$        1.39021138e-02
        2600  $\mathcal{L}_{res}$        1.26295201e-02
        2800  $\mathcal{L}_{res}$        1.02039455e-02
        2880  $\mathcal{L}_{res}$        1.19097419e-02
        2880  $\mathcal{L}_{res}$        4.26417202e-01
        3880  $\mathcal{L}_{res}$        4.15580859e-03
        4880  $\mathcal{L}_{res}$        1.91993662e-03
        5880  $\mathcal{L}_{res}$        1.02405180e-03
        6880  $\mathcal{L}_{res}$        5.88791969e-04
        7880  $\mathcal{L}_{res}$        3.61256651e-04
        8111  $\mathcal{L}_{res}$        3.18780949e-04
        8442  $\mathcal{L}_{res}$        2.77332088e-04
        8538  $\mathcal{L}_{res}$        2.65832641e-04
        8780  $\mathcal{L}_{res}$        2.25814889e-04
        8884  $\mathcal{L}_{res}$        2.23960829e-04
        8963  $\mathcal{L}_{res}$        2.18761052e-04
        9156  $\mathcal{L}_{res}$        2.04782511e-04
        9184  $\mathcal{L}_{res}$        2.02984826e-04
        9238  $\mathcal{L}_{res}$        2.00717841e-04
        9241  $\mathcal{L}_{res}$        2.00755385e-04
        9245  $\mathcal{L}_{res}$        2.00665163e-04
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        2.12348819e+00
           0  $\mathcal{L}_{bc0}$        2.00000000e+00
         200  $\mathcal{L}_{bc0}$        2.00806528e-01
         400  $\mathcal{L}_{bc0}$        9.53232348e-02
         600  $\mathcal{L}_{bc0}$        6.74000159e-02
         800  $\mathcal{L}_{bc0}$        4.83544543e-02
        1000  $\mathcal{L}_{bc0}$        4.02622335e-02
        1200  $\mathcal{L}_{bc0}$        3.75530198e-02
        1400  $\mathcal{L}_{bc0}$        3.36144939e-02
        1600  $\mathcal{L}_{bc0}$        2.85729468e-02
        1800  $\mathcal{L}_{bc0}$        2.47152653e-02
        2000  $\mathcal{L}_{bc0}$        2.40562391e-02
        2200  $\mathcal{L}_{bc0}$        2.25339513e-02
        2400  $\mathcal{L}_{bc0}$        2.02896558e-02
        2600  $\mathcal{L}_{bc0}$        1.89926866e-02
        2800  $\mathcal{L}_{bc0}$        1.54676288e-02
        2880  $\mathcal{L}_{bc0}$        1.77982207e-02
        2880  $\mathcal{L}_{bc0}$        1.88971553e-02
        3880  $\mathcal{L}_{bc0}$        7.67634809e-03
        4880  $\mathcal{L}_{bc0}$        3.63456830e-03
        5880  $\mathcal{L}_{bc0}$        1.33658387e-03
        6880  $\mathcal{L}_{bc0}$        3.54967837e-04
        7880  $\mathcal{L}_{bc0}$        8.75268670e-05
        8111  $\mathcal{L}_{bc0}$        7.80478076e-05
        8442  $\mathcal{L}_{bc0}$        7.20496246e-05
        8538  $\mathcal{L}_{bc0}$        7.45675934e-05
        8780  $\mathcal{L}_{bc0}$        7.27375082e-05
        8884  $\mathcal{L}_{bc0}$        6.81999736e-05
        8963  $\mathcal{L}_{bc0}$        6.58525823e-05
        9156  $\mathcal{L}_{bc0}$        6.08736118e-05
        9184  $\mathcal{L}_{bc0}$        6.12703734e-05
        9238  $\mathcal{L}_{bc0}$        6.03828703e-05
        9241  $\mathcal{L}_{bc0}$        6.03014705e-05
        9245  $\mathcal{L}_{bc0}$        6.03331755e-05
--------------------------------------------------
           0     test loss        8.70271225e+01
           0     test loss        4.37134075e+00
         200     test loss        2.50863165e-01
