Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        7.16081314e+01
         200  $\mathcal{L}_{res}$        1.06002450e-01
         400  $\mathcal{L}_{res}$        1.20792188e-01
         600  $\mathcal{L}_{res}$        2.06292808e-01
         800  $\mathcal{L}_{res}$        2.54805893e-01
        1000  $\mathcal{L}_{res}$        1.65578529e-01
        1200  $\mathcal{L}_{res}$        9.46737230e-02
        1400  $\mathcal{L}_{res}$        8.02665278e-02
        1600  $\mathcal{L}_{res}$        7.79928491e-02
        1800  $\mathcal{L}_{res}$        7.03718737e-02
        2000  $\mathcal{L}_{res}$        2.20784590e-01
        2200  $\mathcal{L}_{res}$        6.05359338e-02
        2400  $\mathcal{L}_{res}$        5.17880581e-02
        2600  $\mathcal{L}_{res}$        7.24628344e-02
        2800  $\mathcal{L}_{res}$        4.21375670e-02
        3000  $\mathcal{L}_{res}$        4.01214398e-02
        3000  $\mathcal{L}_{res}$        3.98591198e-02
        4000  $\mathcal{L}_{res}$        3.25989514e-03
        5000  $\mathcal{L}_{res}$        1.25004014e-03
        6000  $\mathcal{L}_{res}$        4.22290701e-04
        6395  $\mathcal{L}_{res}$        2.74635619e-04
        6719  $\mathcal{L}_{res}$        2.15851207e-04
        6735  $\mathcal{L}_{res}$        2.15144712e-04
        6760  $\mathcal{L}_{res}$        2.13217776e-04
        7095  $\mathcal{L}_{res}$        1.71084859e-04
        7214  $\mathcal{L}_{res}$        1.51625980e-04
        7247  $\mathcal{L}_{res}$        1.50271633e-04
        7257  $\mathcal{L}_{res}$        1.49603642e-04
        7260  $\mathcal{L}_{res}$        1.49556290e-04
        7389  $\mathcal{L}_{res}$        1.32386966e-04
        7632  $\mathcal{L}_{res}$        1.16429321e-04
        7656  $\mathcal{L}_{res}$        1.16279916e-04
        7658  $\mathcal{L}_{res}$        1.16254341e-04
        7835  $\mathcal{L}_{res}$        1.03221013e-04
        7881  $\mathcal{L}_{res}$        1.01137150e-04
        8148  $\mathcal{L}_{res}$        8.52042722e-05
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        2.12348819e+00
         200  $\mathcal{L}_{bc0}$        1.56752419e+00
         400  $\mathcal{L}_{bc0}$        1.43679893e+00
         600  $\mathcal{L}_{bc0}$        1.24668193e+00
         800  $\mathcal{L}_{bc0}$        1.06521368e+00
        1000  $\mathcal{L}_{bc0}$        5.90965331e-01
        1200  $\mathcal{L}_{bc0}$        3.54138821e-01
        1400  $\mathcal{L}_{bc0}$        2.98471689e-01
        1600  $\mathcal{L}_{bc0}$        2.69806713e-01
        1800  $\mathcal{L}_{bc0}$        2.47774497e-01
        2000  $\mathcal{L}_{bc0}$        2.21913010e-01
        2200  $\mathcal{L}_{bc0}$        2.11533621e-01
        2400  $\mathcal{L}_{bc0}$        1.91980720e-01
        2600  $\mathcal{L}_{bc0}$        1.90163493e-01
        2800  $\mathcal{L}_{bc0}$        1.75001442e-01
        3000  $\mathcal{L}_{bc0}$        1.71028599e-01
        3000  $\mathcal{L}_{bc0}$        1.71028599e-01
        4000  $\mathcal{L}_{bc0}$        7.18633737e-03
        5000  $\mathcal{L}_{bc0}$        6.88456581e-04
        6000  $\mathcal{L}_{bc0}$        1.31257781e-04
        6395  $\mathcal{L}_{bc0}$        9.26371795e-05
        6719  $\mathcal{L}_{bc0}$        8.15155727e-05
        6735  $\mathcal{L}_{bc0}$        8.11075297e-05
        6760  $\mathcal{L}_{bc0}$        8.09100093e-05
        7095  $\mathcal{L}_{bc0}$        5.99258638e-05
        7214  $\mathcal{L}_{bc0}$        5.71876735e-05
        7247  $\mathcal{L}_{bc0}$        5.61687411e-05
        7257  $\mathcal{L}_{bc0}$        5.65739902e-05
        7260  $\mathcal{L}_{bc0}$        5.65333794e-05
        7389  $\mathcal{L}_{bc0}$        5.13243722e-05
        7632  $\mathcal{L}_{bc0}$        4.62802564e-05
        7656  $\mathcal{L}_{bc0}$        4.57886163e-05
        7658  $\mathcal{L}_{bc0}$        4.57929382e-05
        7835  $\mathcal{L}_{bc0}$        3.86089159e-05
