Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res1}$        4.91099335e+02
           0  $\mathcal{L}_{res1}$        4.91099335e+02
         200  $\mathcal{L}_{res1}$        4.09139671e+01
         400  $\mathcal{L}_{res1}$        3.22210083e+01
         600  $\mathcal{L}_{res1}$        2.81377163e+01
         800  $\mathcal{L}_{res1}$        2.51109905e+01
        1000  $\mathcal{L}_{res1}$        2.29751072e+01
        1200  $\mathcal{L}_{res1}$        2.14033718e+01
        1400  $\mathcal{L}_{res1}$        2.03017769e+01
        1600  $\mathcal{L}_{res1}$        1.95069199e+01
        1800  $\mathcal{L}_{res1}$        1.88885040e+01
        2000  $\mathcal{L}_{res1}$        1.84215240e+01
        2200  $\mathcal{L}_{res1}$        1.81038837e+01
        2400  $\mathcal{L}_{res1}$        1.78421841e+01
        2600  $\mathcal{L}_{res1}$        1.76406765e+01
        2800  $\mathcal{L}_{res1}$        1.74458694e+01
        3000  $\mathcal{L}_{res1}$        1.73056183e+01
        3200  $\mathcal{L}_{res1}$        1.71612301e+01
        3400  $\mathcal{L}_{res1}$        1.70225029e+01
        3600  $\mathcal{L}_{res1}$        1.69131088e+01
        3800  $\mathcal{L}_{res1}$        1.68137531e+01
        4000  $\mathcal{L}_{res1}$        1.73128300e+01
        4200  $\mathcal{L}_{res1}$        1.66520176e+01
        4400  $\mathcal{L}_{res1}$        1.65877895e+01
        4600  $\mathcal{L}_{res1}$        1.65250607e+01
        4800  $\mathcal{L}_{res1}$        1.64731884e+01
        5000  $\mathcal{L}_{res1}$        1.64178677e+01
        5200  $\mathcal{L}_{res1}$        1.63779049e+01
        5400  $\mathcal{L}_{res1}$        1.63395042e+01
        5600  $\mathcal{L}_{res1}$        1.63014412e+01
        5800  $\mathcal{L}_{res1}$        1.62709656e+01
        6000  $\mathcal{L}_{res1}$        1.62492886e+01
        6000  $\mathcal{L}_{res1}$        1.62492886e+01
        6000  $\mathcal{L}_{res1}$        1.62492886e+01
        7000  $\mathcal{L}_{res1}$        1.49385262e+01
        8000  $\mathcal{L}_{res1}$        1.08174219e+01
        9000  $\mathcal{L}_{res1}$        8.50762177e+00
       10000  $\mathcal{L}_{res1}$        6.72766685e+00
       11000  $\mathcal{L}_{res1}$        5.69583988e+00
       12000  $\mathcal{L}_{res1}$        4.51599979e+00
       13000  $\mathcal{L}_{res1}$        4.03417253e+00
       14000  $\mathcal{L}_{res1}$        3.59082890e+00
       14585  $\mathcal{L}_{res1}$        3.60740900e+00
--------------------------------------------------
           0  $\mathcal{L}_{res2}$        3.18812132e-01
           0  $\mathcal{L}_{res2}$        3.18812132e-01
         200  $\mathcal{L}_{res2}$        3.78225327e+00
         400  $\mathcal{L}_{res2}$        4.01807785e+00
         600  $\mathcal{L}_{res2}$        4.26692343e+00
         800  $\mathcal{L}_{res2}$        4.78943777e+00
        1000  $\mathcal{L}_{res2}$        5.41378689e+00
        1200  $\mathcal{L}_{res2}$        5.98238659e+00
        1400  $\mathcal{L}_{res2}$        6.36626816e+00
        1600  $\mathcal{L}_{res2}$        6.63285685e+00
        1800  $\mathcal{L}_{res2}$        6.84146214e+00
        2000  $\mathcal{L}_{res2}$        7.01514912e+00
        2200  $\mathcal{L}_{res2}$        7.15018892e+00
        2400  $\mathcal{L}_{res2}$        7.23069334e+00
        2600  $\mathcal{L}_{res2}$        7.29789829e+00
