Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res1}$        4.91099335e+02
           0  $\mathcal{L}_{res1}$        4.91099335e+02
         200  $\mathcal{L}_{res1}$        4.09139671e+01
         400  $\mathcal{L}_{res1}$        3.22210083e+01
         600  $\mathcal{L}_{res1}$        2.81377163e+01
         800  $\mathcal{L}_{res1}$        2.51109905e+01
        1000  $\mathcal{L}_{res1}$        2.29751072e+01
        1200  $\mathcal{L}_{res1}$        2.14033718e+01
        1400  $\mathcal{L}_{res1}$        2.03017769e+01
        1600  $\mathcal{L}_{res1}$        1.95069199e+01
        1800  $\mathcal{L}_{res1}$        1.88885040e+01
        2000  $\mathcal{L}_{res1}$        1.84215240e+01
        2200  $\mathcal{L}_{res1}$        1.81038837e+01
        2400  $\mathcal{L}_{res1}$        1.78421841e+01
        2600  $\mathcal{L}_{res1}$        1.76406765e+01
        2800  $\mathcal{L}_{res1}$        1.74458694e+01
        3000  $\mathcal{L}_{res1}$        1.73056183e+01
        3200  $\mathcal{L}_{res1}$        1.71612301e+01
        3400  $\mathcal{L}_{res1}$        1.70225029e+01
        3600  $\mathcal{L}_{res1}$        1.69131088e+01
        3800  $\mathcal{L}_{res1}$        1.68137531e+01
        4000  $\mathcal{L}_{res1}$        1.73128300e+01
        4200  $\mathcal{L}_{res1}$        1.66520176e+01
        4400  $\mathcal{L}_{res1}$        1.65877895e+01
        4600  $\mathcal{L}_{res1}$        1.65250607e+01
        4800  $\mathcal{L}_{res1}$        1.64731884e+01
        5000  $\mathcal{L}_{res1}$        1.64178677e+01
        5200  $\mathcal{L}_{res1}$        1.63779049e+01
        5400  $\mathcal{L}_{res1}$        1.63395042e+01
        5600  $\mathcal{L}_{res1}$        1.63014412e+01
        5800  $\mathcal{L}_{res1}$        1.62709656e+01
        6000  $\mathcal{L}_{res1}$        1.62492886e+01
        6200  $\mathcal{L}_{res1}$        1.62161160e+01
        6400  $\mathcal{L}_{res1}$        1.61952152e+01
        6600  $\mathcal{L}_{res1}$        1.61793060e+01
        6800  $\mathcal{L}_{res1}$        1.61543961e+01
        7000  $\mathcal{L}_{res1}$        1.61453457e+01
        7200  $\mathcal{L}_{res1}$        1.61192417e+01
        7400  $\mathcal{L}_{res1}$        1.61047840e+01
        7600  $\mathcal{L}_{res1}$        1.62556267e+01
        7800  $\mathcal{L}_{res1}$        1.60749283e+01
        8000  $\mathcal{L}_{res1}$        1.60625858e+01
        8200  $\mathcal{L}_{res1}$        1.60698338e+01
        8400  $\mathcal{L}_{res1}$        1.60366154e+01
        8600  $\mathcal{L}_{res1}$        1.60277786e+01
        8800  $\mathcal{L}_{res1}$        1.60110435e+01
        9000  $\mathcal{L}_{res1}$        1.60027924e+01
        9200  $\mathcal{L}_{res1}$        1.59930677e+01
        9400  $\mathcal{L}_{res1}$        1.59793758e+01
        9600  $\mathcal{L}_{res1}$        1.59680634e+01
        9800  $\mathcal{L}_{res1}$        1.59772854e+01
       10000  $\mathcal{L}_{res1}$        1.59190359e+01
       10200  $\mathcal{L}_{res1}$        1.58627720e+01
       10400  $\mathcal{L}_{res1}$        1.57789583e+01
       10600  $\mathcal{L}_{res1}$        1.58915281e+01
       10800  $\mathcal{L}_{res1}$        1.56386824e+01
       11000  $\mathcal{L}_{res1}$        1.55812359e+01
       11200  $\mathcal{L}_{res1}$        1.55158148e+01
