Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        2.15252286e+01
         200  $\mathcal{L}_{res}$        4.05032337e-01
         400  $\mathcal{L}_{res}$        2.67626528e-01
         600  $\mathcal{L}_{res}$        1.95380893e-01
         800  $\mathcal{L}_{res}$        1.67704811e-01
        1000  $\mathcal{L}_{res}$        1.71683696e-01
        1200  $\mathcal{L}_{res}$        1.57002100e-01
        1400  $\mathcal{L}_{res}$        1.30112118e-01
        1600  $\mathcal{L}_{res}$        1.33291384e-01
        1800  $\mathcal{L}_{res}$        9.71914164e-02
        2000  $\mathcal{L}_{res}$        9.07869550e-02
        2200  $\mathcal{L}_{res}$        7.79153446e-02
        2400  $\mathcal{L}_{res}$        1.27303810e-01
        2600  $\mathcal{L}_{res}$        6.42202746e-02
        2800  $\mathcal{L}_{res}$        7.02159140e-02
        3000  $\mathcal{L}_{res}$        6.27768543e-02
        3000  $\mathcal{L}_{res}$        5.84209126e-02
        4000  $\mathcal{L}_{res}$        2.90566464e-03
        5000  $\mathcal{L}_{res}$        8.96738194e-04
        6000  $\mathcal{L}_{res}$        4.10693377e-04
        6618  $\mathcal{L}_{res}$        2.69741041e-04
        7397  $\mathcal{L}_{res}$        1.85697992e-04
        7492  $\mathcal{L}_{res}$        1.77066979e-04
        7662  $\mathcal{L}_{res}$        1.64615111e-04
        7668  $\mathcal{L}_{res}$        1.64294502e-04
        7685  $\mathcal{L}_{res}$        1.62821773e-04
        7758  $\mathcal{L}_{res}$        1.56247726e-04
        7821  $\mathcal{L}_{res}$        1.53020463e-04
        7823  $\mathcal{L}_{res}$        1.53002842e-04
        7829  $\mathcal{L}_{res}$        1.52888468e-04
        7854  $\mathcal{L}_{res}$        1.52152410e-04
        7882  $\mathcal{L}_{res}$        1.51344631e-04
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        3.74322284e-01
         200  $\mathcal{L}_{bc0}$        4.70526470e-01
         400  $\mathcal{L}_{bc0}$        3.97338098e-01
         600  $\mathcal{L}_{bc0}$        3.24588120e-01
         800  $\mathcal{L}_{bc0}$        2.67122511e-01
        1000  $\mathcal{L}_{bc0}$        2.23635515e-01
        1200  $\mathcal{L}_{bc0}$        1.96325685e-01
        1400  $\mathcal{L}_{bc0}$        1.80305428e-01
        1600  $\mathcal{L}_{bc0}$        1.72755424e-01
        1800  $\mathcal{L}_{bc0}$        1.66404955e-01
        2000  $\mathcal{L}_{bc0}$        1.61085942e-01
        2200  $\mathcal{L}_{bc0}$        1.55605337e-01
        2400  $\mathcal{L}_{bc0}$        1.51735973e-01
        2600  $\mathcal{L}_{bc0}$        1.45645480e-01
        2800  $\mathcal{L}_{bc0}$        1.41753599e-01
        3000  $\mathcal{L}_{bc0}$        1.36396913e-01
        3000  $\mathcal{L}_{bc0}$        1.36396913e-01
        4000  $\mathcal{L}_{bc0}$        7.86382391e-02
        5000  $\mathcal{L}_{bc0}$        7.58648926e-02
