Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res1}$        0.00000000e+00
         200  $\mathcal{L}_{res1}$        0.00000000e+00
         400  $\mathcal{L}_{res1}$        0.00000000e+00
         600  $\mathcal{L}_{res1}$        0.00000000e+00
         800  $\mathcal{L}_{res1}$        0.00000000e+00
        1000  $\mathcal{L}_{res1}$        0.00000000e+00
        1200  $\mathcal{L}_{res1}$        0.00000000e+00
        1400  $\mathcal{L}_{res1}$        0.00000000e+00
        1600  $\mathcal{L}_{res1}$        0.00000000e+00
        1800  $\mathcal{L}_{res1}$        0.00000000e+00
        2000  $\mathcal{L}_{res1}$        0.00000000e+00
        2200  $\mathcal{L}_{res1}$        0.00000000e+00
        2400  $\mathcal{L}_{res1}$        0.00000000e+00
        2600  $\mathcal{L}_{res1}$        0.00000000e+00
        2800  $\mathcal{L}_{res1}$        0.00000000e+00
        3000  $\mathcal{L}_{res1}$        0.00000000e+00
        3200  $\mathcal{L}_{res1}$        0.00000000e+00
        3400  $\mathcal{L}_{res1}$        0.00000000e+00
        3600  $\mathcal{L}_{res1}$        0.00000000e+00
        3800  $\mathcal{L}_{res1}$        0.00000000e+00
        4000  $\mathcal{L}_{res1}$        0.00000000e+00
        4200  $\mathcal{L}_{res1}$        0.00000000e+00
        4400  $\mathcal{L}_{res1}$        0.00000000e+00
        4600  $\mathcal{L}_{res1}$        0.00000000e+00
        4800  $\mathcal{L}_{res1}$        0.00000000e+00
        5000  $\mathcal{L}_{res1}$        0.00000000e+00
        5200  $\mathcal{L}_{res1}$        0.00000000e+00
        5400  $\mathcal{L}_{res1}$        0.00000000e+00
        5600  $\mathcal{L}_{res1}$        0.00000000e+00
        5800  $\mathcal{L}_{res1}$        0.00000000e+00
        6000  $\mathcal{L}_{res1}$        0.00000000e+00
        6200  $\mathcal{L}_{res1}$        0.00000000e+00
        6400  $\mathcal{L}_{res1}$        0.00000000e+00
        6600  $\mathcal{L}_{res1}$        0.00000000e+00
        6800  $\mathcal{L}_{res1}$        0.00000000e+00
        7000  $\mathcal{L}_{res1}$        0.00000000e+00
        7200  $\mathcal{L}_{res1}$        0.00000000e+00
        7400  $\mathcal{L}_{res1}$        0.00000000e+00
        7600  $\mathcal{L}_{res1}$        0.00000000e+00
        7800  $\mathcal{L}_{res1}$        0.00000000e+00
        8000  $\mathcal{L}_{res1}$        0.00000000e+00
        8200  $\mathcal{L}_{res1}$        0.00000000e+00
        8400  $\mathcal{L}_{res1}$        0.00000000e+00
        8600  $\mathcal{L}_{res1}$        0.00000000e+00
        8800  $\mathcal{L}_{res1}$        0.00000000e+00
        9000  $\mathcal{L}_{res1}$        0.00000000e+00
        9200  $\mathcal{L}_{res1}$        0.00000000e+00
        9400  $\mathcal{L}_{res1}$        0.00000000e+00
        9600  $\mathcal{L}_{res1}$        0.00000000e+00
        9800  $\mathcal{L}_{res1}$        0.00000000e+00
       10000  $\mathcal{L}_{res1}$        0.00000000e+00
       10000  $\mathcal{L}_{res1}$        3.38799835e+02
       10200  $\mathcal{L}_{res1}$        5.15413208e+01
       10400  $\mathcal{L}_{res1}$        5.02803612e+01
       10600  $\mathcal{L}_{res1}$        4.96463814e+01
       10800  $\mathcal{L}_{res1}$        4.91485367e+01
       11000  $\mathcal{L}_{res1}$        4.87022095e+01
       11200  $\mathcal{L}_{res1}$        4.83770752e+01
       11400  $\mathcal{L}_{res1}$        4.81602173e+01
       11600  $\mathcal{L}_{res1}$        4.80130005e+01
       11800  $\mathcal{L}_{res1}$        4.79587555e+01
       12000  $\mathcal{L}_{res1}$        4.78976860e+01
       12200  $\mathcal{L}_{res1}$        4.77156067e+01
