Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        5.96152118e+00
         200  $\mathcal{L}_{res}$        4.89478306e-01
         400  $\mathcal{L}_{res}$        2.61878344e-01
         600  $\mathcal{L}_{res}$        2.04984382e-01
         800  $\mathcal{L}_{res}$        1.79372991e-01
        1000  $\mathcal{L}_{res}$        1.54852950e-01
        1200  $\mathcal{L}_{res}$        1.49409703e-01
        1400  $\mathcal{L}_{res}$        1.17930654e-01
        1600  $\mathcal{L}_{res}$        9.61076933e-02
        1800  $\mathcal{L}_{res}$        8.51108820e-02
        2000  $\mathcal{L}_{res}$        4.11452036e-01
        2200  $\mathcal{L}_{res}$        8.27541305e-02
        2400  $\mathcal{L}_{res}$        8.01961461e-02
        2600  $\mathcal{L}_{res}$        7.11449632e-02
        2800  $\mathcal{L}_{res}$        6.44718858e-02
        3000  $\mathcal{L}_{res}$        6.62914280e-02
        3000  $\mathcal{L}_{res}$        5.38903068e-02
        4000  $\mathcal{L}_{res}$        5.60027089e-03
        5000  $\mathcal{L}_{res}$        1.48743706e-03
        6000  $\mathcal{L}_{res}$        6.25282815e-04
        6482  $\mathcal{L}_{res}$        4.80206909e-04
        7194  $\mathcal{L}_{res}$        3.63206158e-04
        7250  $\mathcal{L}_{res}$        3.53305085e-04
        7274  $\mathcal{L}_{res}$        3.50625885e-04
        7571  $\mathcal{L}_{res}$        3.06867894e-04
        7956  $\mathcal{L}_{res}$        2.72159196e-04
        8101  $\mathcal{L}_{res}$        2.60328627e-04
        8111  $\mathcal{L}_{res}$        2.60320405e-04
        8152  $\mathcal{L}_{res}$        2.58275626e-04
        8166  $\mathcal{L}_{res}$        2.57450670e-04
        8282  $\mathcal{L}_{res}$        2.45791992e-04
        8487  $\mathcal{L}_{res}$        2.26222879e-04
        8549  $\mathcal{L}_{res}$        2.24208885e-04
        8554  $\mathcal{L}_{res}$        2.24262390e-04
        8661  $\mathcal{L}_{res}$        2.18552760e-04
        8702  $\mathcal{L}_{res}$        2.16441105e-04
        8785  $\mathcal{L}_{res}$        2.11532653e-04
        8829  $\mathcal{L}_{res}$        2.07762534e-04
        8875  $\mathcal{L}_{res}$        2.04696775e-04
        9016  $\mathcal{L}_{res}$        1.95686975e-04
        9033  $\mathcal{L}_{res}$        1.94530606e-04
        9369  $\mathcal{L}_{res}$        1.67930599e-04
        9447  $\mathcal{L}_{res}$        1.62622997e-04
        9502  $\mathcal{L}_{res}$        1.59224576e-04
        9576  $\mathcal{L}_{res}$        1.53083015e-04
        9672  $\mathcal{L}_{res}$        1.46062874e-04
        9716  $\mathcal{L}_{res}$        1.42873594e-04
        9888  $\mathcal{L}_{res}$        1.32962928e-04
        9893  $\mathcal{L}_{res}$        1.32631938e-04
       10070  $\mathcal{L}_{res}$        1.22437261e-04
       10077  $\mathcal{L}_{res}$        1.22206425e-04
       10089  $\mathcal{L}_{res}$        1.22119168e-04
       10102  $\mathcal{L}_{res}$        1.21712914e-04
       10144  $\mathcal{L}_{res}$        1.19457146e-04
       10198  $\mathcal{L}_{res}$        1.17697106e-04
       10212  $\mathcal{L}_{res}$        1.17159758e-04
       10222  $\mathcal{L}_{res}$        1.16772768e-04
       10293  $\mathcal{L}_{res}$        1.13491658e-04
       10318  $\mathcal{L}_{res}$        1.11833753e-04
       10351  $\mathcal{L}_{res}$        1.11040406e-04
       10380  $\mathcal{L}_{res}$        1.10114831e-04
       10415  $\mathcal{L}_{res}$        1.08983842e-04
       10420  $\mathcal{L}_{res}$        1.08885962e-04
       10449  $\mathcal{L}_{res}$        1.08089145e-04
       10502  $\mathcal{L}_{res}$        1.06572231e-04
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        1.10062911e+00
         200  $\mathcal{L}_{bc0}$        4.32635291e-01
         400  $\mathcal{L}_{bc0}$        3.61564699e-01
         600  $\mathcal{L}_{bc0}$        2.62097793e-01
         800  $\mathcal{L}_{bc0}$        2.19775485e-01
        1000  $\mathcal{L}_{bc0}$        1.94628068e-01
        1200  $\mathcal{L}_{bc0}$        1.80754751e-01
        1400  $\mathcal{L}_{bc0}$        1.75881800e-01
        1600  $\mathcal{L}_{bc0}$        1.74210492e-01
        1800  $\mathcal{L}_{bc0}$        1.73019587e-01
        2000  $\mathcal{L}_{bc0}$        1.82327233e-01
        2200  $\mathcal{L}_{bc0}$        1.68076716e-01
        2400  $\mathcal{L}_{bc0}$        1.66521243e-01
        2600  $\mathcal{L}_{bc0}$        1.63937449e-01
        2800  $\mathcal{L}_{bc0}$        1.61091447e-01
        3000  $\mathcal{L}_{bc0}$        1.58392103e-01
        3000  $\mathcal{L}_{bc0}$        1.58392103e-01
        4000  $\mathcal{L}_{bc0}$        8.07515933e-02
        5000  $\mathcal{L}_{bc0}$        7.63024468e-02
        6000  $\mathcal{L}_{bc0}$        7.58537900e-02
        6482  $\mathcal{L}_{bc0}$        7.58221483e-02
        7194  $\mathcal{L}_{bc0}$        7.57943181e-02
        7250  $\mathcal{L}_{bc0}$        7.57921373e-02
        7274  $\mathcal{L}_{bc0}$        7.57908476e-02
        7571  $\mathcal{L}_{bc0}$        7.57821061e-02
        7956  $\mathcal{L}_{bc0}$        7.57675591e-02
        8101  $\mathcal{L}_{bc0}$        7.57606861e-02
        8111  $\mathcal{L}_{bc0}$        7.57603471e-02
        8152  $\mathcal{L}_{bc0}$        7.57594784e-02
        8166  $\mathcal{L}_{bc0}$        7.57593993e-02
        8282  $\mathcal{L}_{bc0}$        7.57569776e-02
        8487  $\mathcal{L}_{bc0}$        7.57540970e-02
        8549  $\mathcal{L}_{bc0}$        7.57508831e-02
        8554  $\mathcal{L}_{bc0}$        7.57505353e-02
        8661  $\mathcal{L}_{bc0}$        7.57477463e-02
        8702  $\mathcal{L}_{bc0}$        7.57466625e-02
        8785  $\mathcal{L}_{bc0}$        7.57446106e-02
        8829  $\mathcal{L}_{bc0}$        7.57448299e-02
        8875  $\mathcal{L}_{bc0}$        7.57443987e-02
        9016  $\mathcal{L}_{bc0}$        7.57422578e-02
        9033  $\mathcal{L}_{bc0}$        7.57416098e-02
        9369  $\mathcal{L}_{bc0}$        7.57400784e-02
        9447  $\mathcal{L}_{bc0}$        7.57390789e-02
        9502  $\mathcal{L}_{bc0}$        7.57386480e-02
        9576  $\mathcal{L}_{bc0}$        7.57374878e-02
        9672  $\mathcal{L}_{bc0}$        7.57362030e-02
        9716  $\mathcal{L}_{bc0}$        7.57360009e-02
        9888  $\mathcal{L}_{bc0}$        7.57331825e-02
        9893  $\mathcal{L}_{bc0}$        7.57332144e-02
       10070  $\mathcal{L}_{bc0}$        7.57317410e-02
       10077  $\mathcal{L}_{bc0}$        7.57316364e-02
       10089  $\mathcal{L}_{bc0}$        7.57313283e-02
       10102  $\mathcal{L}_{bc0}$        7.57309884e-02
       10144  $\mathcal{L}_{bc0}$        7.57309331e-02
       10198  $\mathcal{L}_{bc0}$        7.57303908e-02
       10212  $\mathcal{L}_{bc0}$        7.57302803e-02
       10222  $\mathcal{L}_{bc0}$        7.57302696e-02
       10293  $\mathcal{L}_{bc0}$        7.57298675e-02
       10318  $\mathcal{L}_{bc0}$        7.57297203e-02
       10351  $\mathcal{L}_{bc0}$        7.57290999e-02
       10380  $\mathcal{L}_{bc0}$        7.57288284e-02
       10415  $\mathcal{L}_{bc0}$        7.57285719e-02
       10420  $\mathcal{L}_{bc0}$        7.57284704e-02
       10449  $\mathcal{L}_{bc0}$        7.57282558e-02
       10502  $\mathcal{L}_{bc0}$        7.57279963e-02
--------------------------------------------------
           0     test loss        3.78837475e+00
         200     test loss        5.85288874e-01
         400     test loss        4.11375162e-01
         600     test loss        2.98176740e-01
         800     test loss        2.56878635e-01
        1000     test loss        2.28118650e-01
        1200     test loss        2.23434121e-01
        1400     test loss        1.95689646e-01
        1600     test loss        1.90816785e-01
        1800     test loss        1.89218639e-01
        2000     test loss        4.62310433e-01
        2200     test loss        1.82813127e-01
        2400     test loss        1.79722900e-01
        2600     test loss        1.78408175e-01
        2800     test loss        1.70937051e-01
        3000     test loss        1.67628869e-01
        3000     test loss        1.67628869e-01
