Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res1}$        0.00000000e+00
         200  $\mathcal{L}_{res1}$        0.00000000e+00
         400  $\mathcal{L}_{res1}$        0.00000000e+00
         600  $\mathcal{L}_{res1}$        0.00000000e+00
         800  $\mathcal{L}_{res1}$        0.00000000e+00
        1000  $\mathcal{L}_{res1}$        0.00000000e+00
        1200  $\mathcal{L}_{res1}$        0.00000000e+00
        1400  $\mathcal{L}_{res1}$        0.00000000e+00
        1600  $\mathcal{L}_{res1}$        0.00000000e+00
        1800  $\mathcal{L}_{res1}$        0.00000000e+00
        2000  $\mathcal{L}_{res1}$        0.00000000e+00
        2200  $\mathcal{L}_{res1}$        0.00000000e+00
        2400  $\mathcal{L}_{res1}$        0.00000000e+00
        2600  $\mathcal{L}_{res1}$        0.00000000e+00
        2800  $\mathcal{L}_{res1}$        0.00000000e+00
        3000  $\mathcal{L}_{res1}$        0.00000000e+00
        3000  $\mathcal{L}_{res1}$        3.77692596e+02
        3010  $\mathcal{L}_{res1}$        8.66136169e+01
        3010  $\mathcal{L}_{res1}$        8.66136169e+01
        4010  $\mathcal{L}_{res1}$        1.67792912e+01
        4135  $\mathcal{L}_{res1}$        1.67319031e+01
        4226  $\mathcal{L}_{res1}$        1.67492065e+01
        4325  $\mathcal{L}_{res1}$        1.67518501e+01
        5325  $\mathcal{L}_{res1}$        1.66122971e+01
        6325  $\mathcal{L}_{res1}$        1.24864464e+01
        7325  $\mathcal{L}_{res1}$        1.05775290e+01
        8325  $\mathcal{L}_{res1}$        9.20135593e+00
        9325  $\mathcal{L}_{res1}$        8.52594852e+00
       10325  $\mathcal{L}_{res1}$        7.94728088e+00
       11325  $\mathcal{L}_{res1}$        7.75388002e+00
       11899  $\mathcal{L}_{res1}$        7.56224251e+00
--------------------------------------------------
           0  $\mathcal{L}_{res2}$        1.93062574e-01
         200  $\mathcal{L}_{res2}$        2.92591751e-03
         400  $\mathcal{L}_{res2}$        2.74705049e-03
         600  $\mathcal{L}_{res2}$        2.50609638e-03
         800  $\mathcal{L}_{res2}$        1.98884308e-03
        1000  $\mathcal{L}_{res2}$        1.47187221e-03
        1200  $\mathcal{L}_{res2}$        1.21950929e-03
        1400  $\mathcal{L}_{res2}$        1.05784030e-03
        1600  $\mathcal{L}_{res2}$        9.09102615e-04
        1800  $\mathcal{L}_{res2}$        8.31642363e-04
        2000  $\mathcal{L}_{res2}$        7.77023844e-04
        2200  $\mathcal{L}_{res2}$        7.40029558e-04
        2400  $\mathcal{L}_{res2}$        6.89848908e-04
        2600  $\mathcal{L}_{res2}$        6.58339413e-04
        2800  $\mathcal{L}_{res2}$        9.53872630e-04
        3000  $\mathcal{L}_{res2}$        6.03130902e-04
        3000  $\mathcal{L}_{res2}$        6.03130902e-04
        3010  $\mathcal{L}_{res2}$        8.77499431e-02
        3010  $\mathcal{L}_{res2}$        8.77499431e-02
        4010  $\mathcal{L}_{res2}$        8.65069103e+00
        4135  $\mathcal{L}_{res2}$        8.68710232e+00
        4226  $\mathcal{L}_{res2}$        8.65898514e+00
        4325  $\mathcal{L}_{res2}$        8.64211369e+00
        5325  $\mathcal{L}_{res2}$        7.73140907e+00
        6325  $\mathcal{L}_{res2}$        4.72884941e+00
        7325  $\mathcal{L}_{res2}$        3.33621907e+00
        8325  $\mathcal{L}_{res2}$        3.22059512e+00
        9325  $\mathcal{L}_{res2}$        3.13441896e+00
       10325  $\mathcal{L}_{res2}$        3.24160218e+00
       11325  $\mathcal{L}_{res2}$        3.10272408e+00
       11899  $\mathcal{L}_{res2}$        3.08593035e+00
--------------------------------------------------
           0     test loss        1.95980906e-01
         200     test loss        2.35445378e-03
