Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        2.27372744e+00
         200  $\mathcal{L}_{res}$        2.91753910e-01
         400  $\mathcal{L}_{res}$        1.96483629e-01
         600  $\mathcal{L}_{res}$        1.53659101e-01
         800  $\mathcal{L}_{res}$        1.28781542e-01
        1000  $\mathcal{L}_{res}$        1.12674450e-01
        1200  $\mathcal{L}_{res}$        1.01622994e-01
        1400  $\mathcal{L}_{res}$        9.76207666e-02
        1600  $\mathcal{L}_{res}$        8.53842426e-02
        1800  $\mathcal{L}_{res}$        7.85604065e-02
        2000  $\mathcal{L}_{res}$        6.56826763e-02
        2200  $\mathcal{L}_{res}$        6.59445497e-02
        2400  $\mathcal{L}_{res}$        5.46496596e-02
        2600  $\mathcal{L}_{res}$        4.45735473e-02
        2800  $\mathcal{L}_{res}$        1.26333868e-01
        3000  $\mathcal{L}_{res}$        4.06076469e-02
        3000  $\mathcal{L}_{res}$        3.31142870e-02
        4000  $\mathcal{L}_{res}$        1.65856750e-03
        5000  $\mathcal{L}_{res}$        3.42276950e-04
        5453  $\mathcal{L}_{res}$        2.23758959e-04
        6086  $\mathcal{L}_{res}$        1.46175626e-04
        6099  $\mathcal{L}_{res}$        1.45313377e-04
        6142  $\mathcal{L}_{res}$        1.42008591e-04
        6161  $\mathcal{L}_{res}$        1.40107538e-04
        6227  $\mathcal{L}_{res}$        1.35335942e-04
        6340  $\mathcal{L}_{res}$        1.27673118e-04
        6447  $\mathcal{L}_{res}$        1.22082135e-04
        6460  $\mathcal{L}_{res}$        1.21713090e-04
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        6.48927697e-01
         200  $\mathcal{L}_{bc0}$        4.60136096e-01
         400  $\mathcal{L}_{bc0}$        3.58477539e-01
         600  $\mathcal{L}_{bc0}$        2.14243064e-01
         800  $\mathcal{L}_{bc0}$        1.86174934e-01
        1000  $\mathcal{L}_{bc0}$        1.74910194e-01
        1200  $\mathcal{L}_{bc0}$        1.66747980e-01
        1400  $\mathcal{L}_{bc0}$        1.59844730e-01
        1600  $\mathcal{L}_{bc0}$        1.54456939e-01
        1800  $\mathcal{L}_{bc0}$        1.50786596e-01
        2000  $\mathcal{L}_{bc0}$        1.45485472e-01
        2200  $\mathcal{L}_{bc0}$        1.41986333e-01
        2400  $\mathcal{L}_{bc0}$        1.37695547e-01
        2600  $\mathcal{L}_{bc0}$        1.33616455e-01
        2800  $\mathcal{L}_{bc0}$        1.32164623e-01
        3000  $\mathcal{L}_{bc0}$        1.25463165e-01
        3000  $\mathcal{L}_{bc0}$        1.25463165e-01
        4000  $\mathcal{L}_{bc0}$        7.62370394e-02
        5000  $\mathcal{L}_{bc0}$        7.57995003e-02
        5453  $\mathcal{L}_{bc0}$        7.57673857e-02
        6086  $\mathcal{L}_{bc0}$        7.57320988e-02
        6099  $\mathcal{L}_{bc0}$        7.57321122e-02
        6142  $\mathcal{L}_{bc0}$        7.57302255e-02
        6161  $\mathcal{L}_{bc0}$        7.57302800e-02
        6227  $\mathcal{L}_{bc0}$        7.57287889e-02
        6340  $\mathcal{L}_{bc0}$        7.57249056e-02
        6447  $\mathcal{L}_{bc0}$        7.57230367e-02
        6460  $\mathcal{L}_{bc0}$        7.57230463e-02
--------------------------------------------------
           0     test loss        2.36807143e+00
         200     test loss        5.41817914e-01
         400     test loss        4.07737645e-01
         600     test loss        2.51466104e-01
         800     test loss        2.16936419e-01
        1000     test loss        2.02226333e-01
        1200     test loss        1.90759434e-01
        1400     test loss        1.82053090e-01
        1600     test loss        1.74872306e-01
        1800     test loss        1.73480334e-01
        2000     test loss        1.60524890e-01
        2200     test loss        1.56861006e-01
        2400     test loss        1.46506071e-01
        2600     test loss        1.41994332e-01
        2800     test loss        2.03252770e-01
        3000     test loss        1.33023680e-01
        3000     test loss        1.33023680e-01
        4000     test loss        7.68227028e-02
        5000     test loss        7.59213825e-02
        5453     test loss        7.58796658e-02
        6086     test loss        7.57886999e-02
        6099     test loss        7.57899023e-02
        6142     test loss        7.57815477e-02
        6161     test loss        7.57819369e-02
        6227     test loss        7.57833833e-02
        6340     test loss        7.57712993e-02
        6447     test loss        7.57691502e-02
        6460     test loss        7.57704499e-02
--------------------------------------------------
           0    train loss        2.92265514e+00
         200    train loss        7.51890006e-01
         400    train loss        5.54961168e-01
         600    train loss        3.67902165e-01
         800    train loss        3.14956476e-01
        1000    train loss        2.87584644e-01
        1200    train loss        2.68370974e-01
        1400    train loss        2.57465496e-01
        1600    train loss        2.39841181e-01
        1800    train loss        2.29347002e-01
        2000    train loss        2.11168148e-01
        2200    train loss        2.07930883e-01
        2400    train loss        1.92345206e-01
        2600    train loss        1.78190002e-01
        2800    train loss        2.58498491e-01
        3000    train loss        1.66070812e-01
        3000    train loss        1.58577452e-01
        4000    train loss        7.78956069e-02
        5000    train loss        7.61417772e-02
        5453    train loss        7.59911447e-02
        6086    train loss        7.58782744e-02
        6099    train loss        7.58774256e-02
        6142    train loss        7.58722341e-02
        6161    train loss        7.58703876e-02
        6227    train loss        7.58641248e-02
        6340    train loss        7.58525788e-02
        6447    train loss        7.58451188e-02
        6460    train loss        7.58447594e-02
--------------------------------------------------
