Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        4.64710997e+00
         200  $\mathcal{L}_{res}$        3.08212481e-01
         400  $\mathcal{L}_{res}$        2.28360517e-01
         600  $\mathcal{L}_{res}$        1.73961196e-01
         800  $\mathcal{L}_{res}$        1.56975460e-01
        1000  $\mathcal{L}_{res}$        1.32642590e-01
        1200  $\mathcal{L}_{res}$        1.18161145e-01
        1400  $\mathcal{L}_{res}$        1.09694028e-01
        1600  $\mathcal{L}_{res}$        1.75586652e-01
        1800  $\mathcal{L}_{res}$        8.08406569e-02
        2000  $\mathcal{L}_{res}$        1.23171374e-01
        2200  $\mathcal{L}_{res}$        6.87000201e-02
        2400  $\mathcal{L}_{res}$        6.41561878e-02
        2600  $\mathcal{L}_{res}$        5.65849765e-02
        2800  $\mathcal{L}_{res}$        5.97243493e-02
        3000  $\mathcal{L}_{res}$        4.70399718e-02
        3000  $\mathcal{L}_{res}$        4.67992490e-02
        4000  $\mathcal{L}_{res}$        4.61189647e-03
        5000  $\mathcal{L}_{res}$        1.30247465e-03
        6000  $\mathcal{L}_{res}$        5.02692787e-04
        7000  $\mathcal{L}_{res}$        2.66083359e-04
        8000  $\mathcal{L}_{res}$        1.69578442e-04
        8473  $\mathcal{L}_{res}$        1.36821813e-04
        8476  $\mathcal{L}_{res}$        1.36794134e-04
        8524  $\mathcal{L}_{res}$        1.35151303e-04
        8540  $\mathcal{L}_{res}$        1.34639435e-04
        8546  $\mathcal{L}_{res}$        1.34513022e-04
        8551  $\mathcal{L}_{res}$        1.34354685e-04
        8815  $\mathcal{L}_{res}$        1.19741896e-04
        8846  $\mathcal{L}_{res}$        1.18529459e-04
        8928  $\mathcal{L}_{res}$        1.15451092e-04
        9042  $\mathcal{L}_{res}$        1.09968859e-04
        9092  $\mathcal{L}_{res}$        1.08472391e-04
        9117  $\mathcal{L}_{res}$        1.07904061e-04
        9122  $\mathcal{L}_{res}$        1.07771511e-04
        9126  $\mathcal{L}_{res}$        1.07716491e-04
        9202  $\mathcal{L}_{res}$        1.05446255e-04
        9225  $\mathcal{L}_{res}$        1.04482338e-04
        9234  $\mathcal{L}_{res}$        1.04316964e-04
        9329  $\mathcal{L}_{res}$        1.00934046e-04
        9337  $\mathcal{L}_{res}$        1.00785065e-04
        9550  $\mathcal{L}_{res}$        9.16500575e-05
        9564  $\mathcal{L}_{res}$        9.11269381e-05
        9570  $\mathcal{L}_{res}$        9.10753402e-05
        9586  $\mathcal{L}_{res}$        9.07686476e-05
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        5.01128713e-01
         200  $\mathcal{L}_{bc0}$        3.95970870e-01
         400  $\mathcal{L}_{bc0}$        3.65081241e-01
         600  $\mathcal{L}_{bc0}$        2.71410259e-01
         800  $\mathcal{L}_{bc0}$        2.06125806e-01
        1000  $\mathcal{L}_{bc0}$        1.93612102e-01
        1200  $\mathcal{L}_{bc0}$        1.80257263e-01
        1400  $\mathcal{L}_{bc0}$        1.68013503e-01
        1600  $\mathcal{L}_{bc0}$        1.58573074e-01
        1800  $\mathcal{L}_{bc0}$        1.50273616e-01
        2000  $\mathcal{L}_{bc0}$        1.48111364e-01
        2200  $\mathcal{L}_{bc0}$        1.40985355e-01
        2400  $\mathcal{L}_{bc0}$        1.36827775e-01
        2600  $\mathcal{L}_{bc0}$        1.31441591e-01
        2800  $\mathcal{L}_{bc0}$        1.27116176e-01
        3000  $\mathcal{L}_{bc0}$        1.23626653e-01
        3000  $\mathcal{L}_{bc0}$        1.23626653e-01
        4000  $\mathcal{L}_{bc0}$        8.22752785e-02
        5000  $\mathcal{L}_{bc0}$        7.58012163e-02
        6000  $\mathcal{L}_{bc0}$        7.57379386e-02
        7000  $\mathcal{L}_{bc0}$        7.57250122e-02
        8000  $\mathcal{L}_{bc0}$        7.57153464e-02
        8473  $\mathcal{L}_{bc0}$        7.57154034e-02
        8476  $\mathcal{L}_{bc0}$        7.57153957e-02
        8524  $\mathcal{L}_{bc0}$        7.57153681e-02
        8540  $\mathcal{L}_{bc0}$        7.57151732e-02
        8546  $\mathcal{L}_{bc0}$        7.57151378e-02
        8551  $\mathcal{L}_{bc0}$        7.57151819e-02
        8815  $\mathcal{L}_{bc0}$        7.57144435e-02
        8846  $\mathcal{L}_{bc0}$        7.57144976e-02
        8928  $\mathcal{L}_{bc0}$        7.57137225e-02
        9042  $\mathcal{L}_{bc0}$        7.57143211e-02
        9092  $\mathcal{L}_{bc0}$        7.57142254e-02
        9117  $\mathcal{L}_{bc0}$        7.57140874e-02
        9122  $\mathcal{L}_{bc0}$        7.57141276e-02
        9126  $\mathcal{L}_{bc0}$        7.57141390e-02
        9202  $\mathcal{L}_{bc0}$        7.57140213e-02
        9225  $\mathcal{L}_{bc0}$        7.57139276e-02
        9234  $\mathcal{L}_{bc0}$        7.57138779e-02
        9329  $\mathcal{L}_{bc0}$        7.57134910e-02
        9337  $\mathcal{L}_{bc0}$        7.57133862e-02
        9550  $\mathcal{L}_{bc0}$        7.57125663e-02
        9564  $\mathcal{L}_{bc0}$        7.57125553e-02
        9570  $\mathcal{L}_{bc0}$        7.57125188e-02
        9586  $\mathcal{L}_{bc0}$        7.57124885e-02
--------------------------------------------------
           0     test loss        3.76343192e+00
         200     test loss        4.76094191e-01
         400     test loss        4.21221287e-01
         600     test loss        3.06455549e-01
         800     test loss        2.46022402e-01
        1000     test loss        2.29180867e-01
        1200     test loss        2.10360836e-01
        1400     test loss        1.93484127e-01
        1600     test loss        2.55700176e-01
        1800     test loss        1.70701254e-01
        2000     test loss        2.11059962e-01
        2200     test loss        1.56384018e-01
        2400     test loss        1.50879301e-01
        2600     test loss        1.42454247e-01
        2800     test loss        1.39257639e-01
        3000     test loss        1.35078118e-01
        3000     test loss        1.35078118e-01
        4000     test loss        8.36859302e-02
        5000     test loss        7.65645795e-02
        6000     test loss        7.60102122e-02
        7000     test loss        7.58839206e-02
        8000     test loss        7.58224581e-02
        8473     test loss        7.58147620e-02
        8476     test loss        7.58143335e-02
        8524     test loss        7.58128006e-02
        8540     test loss        7.58120302e-02
        8546     test loss        7.58125079e-02
        8551     test loss        7.58115773e-02
        8815     test loss        7.57983906e-02
        8846     test loss        7.57981469e-02
        8928     test loss        7.57998512e-02
        9042     test loss        7.57948786e-02
        9092     test loss        7.57926273e-02
        9117     test loss        7.57914036e-02
        9122     test loss        7.57921229e-02
        9126     test loss        7.57912071e-02
        9202     test loss        7.57881876e-02
        9225     test loss        7.57888381e-02
        9234     test loss        7.57889121e-02
        9329     test loss        7.57840447e-02
        9337     test loss        7.57858712e-02
        9550     test loss        7.57752371e-02
        9564     test loss        7.57732762e-02
        9570     test loss        7.57737412e-02
        9586     test loss        7.57731523e-02
--------------------------------------------------
           0    train loss        5.14823869e+00
         200    train loss        7.04183351e-01
         400    train loss        5.93441759e-01
         600    train loss        4.45371455e-01
         800    train loss        3.63101266e-01
        1000    train loss        3.26254692e-01
