Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        3.12193653e+03
         200  $\mathcal{L}_{res}$        6.31113933e+01
         400  $\mathcal{L}_{res}$        2.31538719e+01
         600  $\mathcal{L}_{res}$        1.75124621e+01
         800  $\mathcal{L}_{res}$        1.50251910e+01
        1000  $\mathcal{L}_{res}$        1.30513512e+01
        1200  $\mathcal{L}_{res}$        1.16410075e+01
        1400  $\mathcal{L}_{res}$        1.05631225e+01
        1600  $\mathcal{L}_{res}$        9.64967447e+00
        1800  $\mathcal{L}_{res}$        8.80350941e+00
        2000  $\mathcal{L}_{res}$        7.73542900e+00
        2200  $\mathcal{L}_{res}$        7.10313864e+00
        2400  $\mathcal{L}_{res}$        5.97058112e+00
        2600  $\mathcal{L}_{res}$        6.09546960e+00
        2800  $\mathcal{L}_{res}$        5.02937128e+00
        3000  $\mathcal{L}_{res}$        4.66973350e+00
        3000  $\mathcal{L}_{res}$        5.09866044e+00
        4000  $\mathcal{L}_{res}$        1.79855078e-01
        5000  $\mathcal{L}_{res}$        3.71243609e-02
        6000  $\mathcal{L}_{res}$        2.24063220e-02
        7000  $\mathcal{L}_{res}$        1.92412453e-02
        8000  $\mathcal{L}_{res}$        1.72757094e-02
        9000  $\mathcal{L}_{res}$        1.44952698e-02
       10000  $\mathcal{L}_{res}$        1.29943497e-02
       11000  $\mathcal{L}_{res}$        1.12227471e-02
       12000  $\mathcal{L}_{res}$        1.06147854e-02
       13000  $\mathcal{L}_{res}$        9.82832172e-03
       14000  $\mathcal{L}_{res}$        8.66771865e-03
       14994  $\mathcal{L}_{res}$        7.64821055e-03
       15994  $\mathcal{L}_{res}$        7.28778727e-03
       16994  $\mathcal{L}_{res}$        6.51456818e-03
       17994  $\mathcal{L}_{res}$        6.45945539e-03
       18968  $\mathcal{L}_{res}$        6.16480096e-03
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        5.58821615e-01
         200  $\mathcal{L}_{bc0}$        8.19887602e-01
         400  $\mathcal{L}_{bc0}$        8.53249053e-01
         600  $\mathcal{L}_{bc0}$        9.71753769e-01
         800  $\mathcal{L}_{bc0}$        1.06615850e+00
        1000  $\mathcal{L}_{bc0}$        1.15428765e+00
        1200  $\mathcal{L}_{bc0}$        1.21751053e+00
        1400  $\mathcal{L}_{bc0}$        1.22087989e+00
        1600  $\mathcal{L}_{bc0}$        1.23109440e+00
        1800  $\mathcal{L}_{bc0}$        1.16009296e+00
        2000  $\mathcal{L}_{bc0}$        1.02138011e+00
        2200  $\mathcal{L}_{bc0}$        7.50441338e-01
        2400  $\mathcal{L}_{bc0}$        4.97853299e-01
        2600  $\mathcal{L}_{bc0}$        3.92588862e-01
        2800  $\mathcal{L}_{bc0}$        3.55593466e-01
        3000  $\mathcal{L}_{bc0}$        3.52437507e-01
        3000  $\mathcal{L}_{bc0}$        3.52437507e-01
        4000  $\mathcal{L}_{bc0}$        1.36297170e-01
        5000  $\mathcal{L}_{bc0}$        1.22961891e-01
        6000  $\mathcal{L}_{bc0}$        1.19653603e-01
        7000  $\mathcal{L}_{bc0}$        1.12658342e-01
        8000  $\mathcal{L}_{bc0}$        1.04292984e-01
        9000  $\mathcal{L}_{bc0}$        9.99026639e-02
       10000  $\mathcal{L}_{bc0}$        9.48960105e-02
       11000  $\mathcal{L}_{bc0}$        9.25734025e-02
       12000  $\mathcal{L}_{bc0}$        9.00081550e-02
       13000  $\mathcal{L}_{bc0}$        8.86268974e-02
       14000  $\mathcal{L}_{bc0}$        8.79537858e-02
       14994  $\mathcal{L}_{bc0}$        8.73886414e-02
       15994  $\mathcal{L}_{bc0}$        8.63701249e-02
       16994  $\mathcal{L}_{bc0}$        8.56748568e-02
       17994  $\mathcal{L}_{bc0}$        8.47587421e-02
       18968  $\mathcal{L}_{bc0}$        8.37578763e-02
--------------------------------------------------
           0     test loss        3.19089613e+03
         200     test loss        3.42863026e+01
         400     test loss        7.67159226e+00
