Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        1.37707771e+02
         200  $\mathcal{L}_{res}$        2.71537183e+00
         400  $\mathcal{L}_{res}$        2.01387510e+00
         600  $\mathcal{L}_{res}$        1.64824033e+00
         800  $\mathcal{L}_{res}$        1.31158004e+00
        1000  $\mathcal{L}_{res}$        1.08892544e+00
        1200  $\mathcal{L}_{res}$        7.99443339e-01
        1400  $\mathcal{L}_{res}$        5.74788904e-01
        1600  $\mathcal{L}_{res}$        4.77912293e-01
        1800  $\mathcal{L}_{res}$        1.79782048e+00
        2000  $\mathcal{L}_{res}$        3.44066911e-01
        2200  $\mathcal{L}_{res}$        3.58151921e-01
        2400  $\mathcal{L}_{res}$        5.25692566e-01
        2600  $\mathcal{L}_{res}$        3.01553470e-01
        2800  $\mathcal{L}_{res}$        2.46355875e-01
        3000  $\mathcal{L}_{res}$        3.50923530e-01
        3000  $\mathcal{L}_{res}$        3.88725420e-01
        4000  $\mathcal{L}_{res}$        1.51825015e-02
        5000  $\mathcal{L}_{res}$        8.65115316e-03
        6000  $\mathcal{L}_{res}$        5.98926064e-03
        7000  $\mathcal{L}_{res}$        3.74445102e-03
        8000  $\mathcal{L}_{res}$        2.45067542e-03
        9000  $\mathcal{L}_{res}$        1.60800511e-03
       10000  $\mathcal{L}_{res}$        1.12946408e-03
       11000  $\mathcal{L}_{res}$        9.14805681e-04
       11211  $\mathcal{L}_{res}$        8.82688257e-04
       11763  $\mathcal{L}_{res}$        7.48663639e-04
       12106  $\mathcal{L}_{res}$        6.96290966e-04
       12498  $\mathcal{L}_{res}$        6.18634157e-04
       12546  $\mathcal{L}_{res}$        6.11368590e-04
       12797  $\mathcal{L}_{res}$        5.78901308e-04
       13033  $\mathcal{L}_{res}$        5.50493347e-04
       13044  $\mathcal{L}_{res}$        5.50469221e-04
       13165  $\mathcal{L}_{res}$        5.40918218e-04
       13221  $\mathcal{L}_{res}$        5.29039857e-04
       13285  $\mathcal{L}_{res}$        5.20076118e-04
       13298  $\mathcal{L}_{res}$        5.19337564e-04
       13305  $\mathcal{L}_{res}$        5.18685507e-04
       13356  $\mathcal{L}_{res}$        5.15256091e-04
       13408  $\mathcal{L}_{res}$        5.11753353e-04
       13457  $\mathcal{L}_{res}$        5.07084139e-04
       13493  $\mathcal{L}_{res}$        5.04034030e-04
       13754  $\mathcal{L}_{res}$        4.73052034e-04
       13811  $\mathcal{L}_{res}$        4.67828498e-04
       13812  $\mathcal{L}_{res}$        4.67784066e-04
       13841  $\mathcal{L}_{res}$        4.64256100e-04
       13963  $\mathcal{L}_{res}$        4.54982466e-04
       14023  $\mathcal{L}_{res}$        4.50303631e-04
       14047  $\mathcal{L}_{res}$        4.47887866e-04
       14138  $\mathcal{L}_{res}$        4.42693889e-04
       14166  $\mathcal{L}_{res}$        4.40093873e-04
       14173  $\mathcal{L}_{res}$        4.39334504e-04
       14197  $\mathcal{L}_{res}$        4.35897230e-04
       14214  $\mathcal{L}_{res}$        4.34547095e-04
       14221  $\mathcal{L}_{res}$        4.34333669e-04
       14261  $\mathcal{L}_{res}$        4.28109206e-04
       14377  $\mathcal{L}_{res}$        4.14753488e-04
       14468  $\mathcal{L}_{res}$        4.08708057e-04
       14538  $\mathcal{L}_{res}$        4.05261680e-04
       14549  $\mathcal{L}_{res}$        4.04883889e-04
       14563  $\mathcal{L}_{res}$        4.02773226e-04
       14627  $\mathcal{L}_{res}$        3.97252636e-04
       14811  $\mathcal{L}_{res}$        3.80793105e-04
       14901  $\mathcal{L}_{res}$        3.73566858e-04
       14926  $\mathcal{L}_{res}$        3.70840134e-04
       14969  $\mathcal{L}_{res}$        3.67711521e-04
       15052  $\mathcal{L}_{res}$        3.62594846e-04
       15081  $\mathcal{L}_{res}$        3.62207861e-04
       15084  $\mathcal{L}_{res}$        3.62329246e-04
       15085  $\mathcal{L}_{res}$        3.62336473e-04
       15086  $\mathcal{L}_{res}$        3.62417134e-04
       15100  $\mathcal{L}_{res}$        3.61806292e-04
       15105  $\mathcal{L}_{res}$        3.61713145e-04
       15106  $\mathcal{L}_{res}$        3.61709112e-04
       15108  $\mathcal{L}_{res}$        3.61694887e-04
       15111  $\mathcal{L}_{res}$        3.61587089e-04
       15118  $\mathcal{L}_{res}$        3.61754740e-04
       15232  $\mathcal{L}_{res}$        3.55095278e-04
       15326  $\mathcal{L}_{res}$        3.50263610e-04
