Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        8.00783562e+03
         200  $\mathcal{L}_{res}$        6.37832805e+01
         400  $\mathcal{L}_{res}$        2.32688760e+01
         600  $\mathcal{L}_{res}$        1.64475392e+01
         800  $\mathcal{L}_{res}$        1.31757390e+01
        1000  $\mathcal{L}_{res}$        1.14503271e+01
        1200  $\mathcal{L}_{res}$        1.07304635e+01
        1400  $\mathcal{L}_{res}$        9.61925671e+00
        1600  $\mathcal{L}_{res}$        8.70793100e+00
        1800  $\mathcal{L}_{res}$        1.19802231e+01
        2000  $\mathcal{L}_{res}$        7.87061072e+00
        2200  $\mathcal{L}_{res}$        7.42119261e+00
        2400  $\mathcal{L}_{res}$        7.07193107e+00
        2600  $\mathcal{L}_{res}$        5.73680888e+00
        2800  $\mathcal{L}_{res}$        7.21358185e+00
        3000  $\mathcal{L}_{res}$        5.59585187e+00
        3000  $\mathcal{L}_{res}$        5.35201612e+00
        4000  $\mathcal{L}_{res}$        1.24580378e-01
        5000  $\mathcal{L}_{res}$        2.96852515e-02
        6000  $\mathcal{L}_{res}$        2.05127402e-02
        7000  $\mathcal{L}_{res}$        1.51199203e-02
        8000  $\mathcal{L}_{res}$        1.17790028e-02
        9000  $\mathcal{L}_{res}$        9.78239911e-03
       10000  $\mathcal{L}_{res}$        9.11391303e-03
       11000  $\mathcal{L}_{res}$        7.96340777e-03
       12000  $\mathcal{L}_{res}$        7.49504615e-03
       13000  $\mathcal{L}_{res}$        6.75405853e-03
       14000  $\mathcal{L}_{res}$        5.83530791e-03
       15000  $\mathcal{L}_{res}$        5.27502782e-03
       16000  $\mathcal{L}_{res}$        5.98214624e-03
       17000  $\mathcal{L}_{res}$        6.59670454e-03
       18000  $\mathcal{L}_{res}$        7.59371450e-03
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        3.02916110e+00
         200  $\mathcal{L}_{bc0}$        1.00881558e+00
         400  $\mathcal{L}_{bc0}$        1.08878175e+00
         600  $\mathcal{L}_{bc0}$        1.19945723e+00
         800  $\mathcal{L}_{bc0}$        1.24299645e+00
        1000  $\mathcal{L}_{bc0}$        1.25240308e+00
        1200  $\mathcal{L}_{bc0}$        1.27600872e+00
        1400  $\mathcal{L}_{bc0}$        1.28096364e+00
        1600  $\mathcal{L}_{bc0}$        1.27995353e+00
        1800  $\mathcal{L}_{bc0}$        1.11035460e+00
        2000  $\mathcal{L}_{bc0}$        1.19605003e+00
        2200  $\mathcal{L}_{bc0}$        1.09704075e+00
        2400  $\mathcal{L}_{bc0}$        9.65841616e-01
        2600  $\mathcal{L}_{bc0}$        8.47863260e-01
        2800  $\mathcal{L}_{bc0}$        7.75592992e-01
        3000  $\mathcal{L}_{bc0}$        6.35584989e-01
        3000  $\mathcal{L}_{bc0}$        6.35584989e-01
        4000  $\mathcal{L}_{bc0}$        4.44335441e-01
        5000  $\mathcal{L}_{bc0}$        4.33013966e-01
        6000  $\mathcal{L}_{bc0}$        4.16077761e-01
        7000  $\mathcal{L}_{bc0}$        4.11895623e-01
        8000  $\mathcal{L}_{bc0}$        4.09252496e-01
        9000  $\mathcal{L}_{bc0}$        4.06288179e-01
       10000  $\mathcal{L}_{bc0}$        4.02660145e-01
       11000  $\mathcal{L}_{bc0}$        3.99621441e-01
       12000  $\mathcal{L}_{bc0}$        3.97028348e-01
       13000  $\mathcal{L}_{bc0}$        3.95373292e-01
       14000  $\mathcal{L}_{bc0}$        3.93830946e-01
       15000  $\mathcal{L}_{bc0}$        3.92406789e-01
       16000  $\mathcal{L}_{bc0}$        3.89459162e-01
       17000  $\mathcal{L}_{bc0}$        3.86030382e-01
       18000  $\mathcal{L}_{bc0}$        3.81242198e-01
--------------------------------------------------
           0     test loss        8.46081767e+03
         200     test loss        4.08800346e+01
