Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        6.83167902e+01
         200  $\mathcal{L}_{res}$        1.17241627e+00
         400  $\mathcal{L}_{res}$        7.46658375e-01
         600  $\mathcal{L}_{res}$        4.36197160e-01
         800  $\mathcal{L}_{res}$        3.52465437e-01
        1000  $\mathcal{L}_{res}$        3.43160509e-01
        1200  $\mathcal{L}_{res}$        3.03372055e-01
        1400  $\mathcal{L}_{res}$        2.65586493e-01
        1600  $\mathcal{L}_{res}$        2.50688032e-01
        1800  $\mathcal{L}_{res}$        2.24409290e-01
        2000  $\mathcal{L}_{res}$        2.00403011e-01
        2200  $\mathcal{L}_{res}$        1.57972187e-01
        2400  $\mathcal{L}_{res}$        1.41884895e-01
        2600  $\mathcal{L}_{res}$        1.10221656e-01
        2800  $\mathcal{L}_{res}$        9.51175817e-02
        3000  $\mathcal{L}_{res}$        9.78065563e-02
        3000  $\mathcal{L}_{res}$        8.77377413e-02
        4000  $\mathcal{L}_{res}$        9.25988600e-04
        5000  $\mathcal{L}_{res}$        3.28284502e-04
        6000  $\mathcal{L}_{res}$        1.32724205e-04
        6069  $\mathcal{L}_{res}$        1.26609633e-04
        6267  $\mathcal{L}_{res}$        1.11953158e-04
        6318  $\mathcal{L}_{res}$        1.10170876e-04
        6352  $\mathcal{L}_{res}$        1.06887961e-04
        6389  $\mathcal{L}_{res}$        1.04372988e-04
        6486  $\mathcal{L}_{res}$        9.91778237e-05
        6525  $\mathcal{L}_{res}$        9.59557677e-05
        6641  $\mathcal{L}_{res}$        8.88348219e-05
        6648  $\mathcal{L}_{res}$        8.86771031e-05
        6699  $\mathcal{L}_{res}$        8.69667933e-05
        6787  $\mathcal{L}_{res}$        8.30887101e-05
        6823  $\mathcal{L}_{res}$        8.15646165e-05
        6858  $\mathcal{L}_{res}$        8.05962680e-05
        6870  $\mathcal{L}_{res}$        8.02726181e-05
        6918  $\mathcal{L}_{res}$        7.83957916e-05
        6951  $\mathcal{L}_{res}$        7.65925962e-05
        6953  $\mathcal{L}_{res}$        7.65783234e-05
        6969  $\mathcal{L}_{res}$        7.59420886e-05
        6974  $\mathcal{L}_{res}$        7.58685688e-05
        6992  $\mathcal{L}_{res}$        7.53445602e-05
        7000  $\mathcal{L}_{res}$        7.51539293e-05
        7001  $\mathcal{L}_{res}$        7.51417932e-05
        7015  $\mathcal{L}_{res}$        7.45898852e-05
        7027  $\mathcal{L}_{res}$        7.42355466e-05
        7044  $\mathcal{L}_{res}$        7.36651005e-05
        7105  $\mathcal{L}_{res}$        7.05630756e-05
        7167  $\mathcal{L}_{res}$        6.81381113e-05
        7179  $\mathcal{L}_{res}$        6.78643694e-05
        7180  $\mathcal{L}_{res}$        6.78581979e-05
        7197  $\mathcal{L}_{res}$        6.74600915e-05
        7198  $\mathcal{L}_{res}$        6.74542172e-05
        7199  $\mathcal{L}_{res}$        6.74542172e-05
        7200  $\mathcal{L}_{res}$        6.74542172e-05
        7201  $\mathcal{L}_{res}$        6.74542172e-05
        7202  $\mathcal{L}_{res}$        6.74542172e-05
        7203  $\mathcal{L}_{res}$        6.74542172e-05
        7204  $\mathcal{L}_{res}$        6.74542172e-05
        7205  $\mathcal{L}_{res}$        6.74542172e-05
        7206  $\mathcal{L}_{res}$        6.74542172e-05
        7207  $\mathcal{L}_{res}$        6.74542172e-05
        7208  $\mathcal{L}_{res}$        6.74542172e-05
        7209  $\mathcal{L}_{res}$        6.74542172e-05
        7210  $\mathcal{L}_{res}$        6.74542172e-05
        7211  $\mathcal{L}_{res}$        6.74542172e-05
        7212  $\mathcal{L}_{res}$        6.74542172e-05
        7213  $\mathcal{L}_{res}$        6.74542172e-05
        7214  $\mathcal{L}_{res}$        6.74542172e-05
        7215  $\mathcal{L}_{res}$        6.74542172e-05
        7216  $\mathcal{L}_{res}$        6.74542172e-05
        7217  $\mathcal{L}_{res}$        6.74542172e-05
        7218  $\mathcal{L}_{res}$        6.74542172e-05
        7219  $\mathcal{L}_{res}$        6.74542172e-05
        7220  $\mathcal{L}_{res}$        6.74542172e-05
        7221  $\mathcal{L}_{res}$        6.74542172e-05
        7222  $\mathcal{L}_{res}$        6.74542172e-05
        7223  $\mathcal{L}_{res}$        6.74542172e-05
        7224  $\mathcal{L}_{res}$        6.74542172e-05
        7225  $\mathcal{L}_{res}$        6.74542172e-05
        7226  $\mathcal{L}_{res}$        6.74542172e-05
        7227  $\mathcal{L}_{res}$        6.74542172e-05
        7228  $\mathcal{L}_{res}$        6.74542172e-05
        7229  $\mathcal{L}_{res}$        6.74542172e-05
        7230  $\mathcal{L}_{res}$        6.74542172e-05
        7231  $\mathcal{L}_{res}$        6.74542172e-05
        7232  $\mathcal{L}_{res}$        6.74542172e-05
        7233  $\mathcal{L}_{res}$        6.74542172e-05
        7234  $\mathcal{L}_{res}$        6.74542172e-05
        7235  $\mathcal{L}_{res}$        6.74542172e-05
        7236  $\mathcal{L}_{res}$        6.74542172e-05
        7237  $\mathcal{L}_{res}$        6.74542172e-05
        7238  $\mathcal{L}_{res}$        6.74542172e-05
        7239  $\mathcal{L}_{res}$        6.74542172e-05
        7240  $\mathcal{L}_{res}$        6.74542172e-05
        7241  $\mathcal{L}_{res}$        6.74542172e-05
        7242  $\mathcal{L}_{res}$        6.74542172e-05
        7243  $\mathcal{L}_{res}$        6.74542172e-05
        7244  $\mathcal{L}_{res}$        6.74542172e-05
        7245  $\mathcal{L}_{res}$        6.74542172e-05
        7246  $\mathcal{L}_{res}$        6.74542172e-05
        7247  $\mathcal{L}_{res}$        6.74542172e-05
        7248  $\mathcal{L}_{res}$        6.74542172e-05
        7249  $\mathcal{L}_{res}$        6.74542172e-05
        7250  $\mathcal{L}_{res}$        6.74542172e-05
        7251  $\mathcal{L}_{res}$        6.74542172e-05
        7252  $\mathcal{L}_{res}$        6.74542172e-05
        7253  $\mathcal{L}_{res}$        6.74542172e-05
        7254  $\mathcal{L}_{res}$        6.74542172e-05
        7255  $\mathcal{L}_{res}$        6.74542172e-05
        7256  $\mathcal{L}_{res}$        6.74542172e-05
        7257  $\mathcal{L}_{res}$        6.74542172e-05
        7258  $\mathcal{L}_{res}$        6.74542172e-05
        7259  $\mathcal{L}_{res}$        6.74542172e-05
        7260  $\mathcal{L}_{res}$        6.74542172e-05
        7261  $\mathcal{L}_{res}$        6.74542172e-05
        7262  $\mathcal{L}_{res}$        6.74542172e-05
        7263  $\mathcal{L}_{res}$        6.74542172e-05
        7264  $\mathcal{L}_{res}$        6.74542172e-05
        8264  $\mathcal{L}_{res}$        7.73322981e-05
        8528  $\mathcal{L}_{res}$        6.40393797e-05
        8544  $\mathcal{L}_{res}$        6.33749167e-05
        8569  $\mathcal{L}_{res}$        6.19873005e-05
        8626  $\mathcal{L}_{res}$        6.06162949e-05
        8668  $\mathcal{L}_{res}$        5.97073326e-05
        8745  $\mathcal{L}_{res}$        5.75189555e-05
        8747  $\mathcal{L}_{res}$        5.75018602e-05
        8753  $\mathcal{L}_{res}$        5.73491231e-05
        8758  $\mathcal{L}_{res}$        5.72460990e-05
        8767  $\mathcal{L}_{res}$        5.71573783e-05
        8803  $\mathcal{L}_{res}$        5.59922437e-05
        8822  $\mathcal{L}_{res}$        5.57606395e-05
        8836  $\mathcal{L}_{res}$        5.54413234e-05
        8837  $\mathcal{L}_{res}$        5.54413234e-05
        8838  $\mathcal{L}_{res}$        5.54413234e-05
        8839  $\mathcal{L}_{res}$        5.54413234e-05
        8840  $\mathcal{L}_{res}$        5.54413234e-05
        8841  $\mathcal{L}_{res}$        5.54413234e-05
        8842  $\mathcal{L}_{res}$        5.54413234e-05
        8843  $\mathcal{L}_{res}$        5.54413234e-05
        8844  $\mathcal{L}_{res}$        5.54413234e-05
        8845  $\mathcal{L}_{res}$        5.54413234e-05
        8846  $\mathcal{L}_{res}$        5.54413234e-05
        8847  $\mathcal{L}_{res}$        5.54413234e-05
        8848  $\mathcal{L}_{res}$        5.54413234e-05
        8849  $\mathcal{L}_{res}$        5.54413234e-05
        8850  $\mathcal{L}_{res}$        5.54413234e-05
        8851  $\mathcal{L}_{res}$        5.54413234e-05
        8852  $\mathcal{L}_{res}$        5.54413234e-05
        8853  $\mathcal{L}_{res}$        5.54413234e-05
        8854  $\mathcal{L}_{res}$        5.54413234e-05
        8855  $\mathcal{L}_{res}$        5.54413234e-05
        8856  $\mathcal{L}_{res}$        5.54413234e-05
        8857  $\mathcal{L}_{res}$        5.54413234e-05
        8858  $\mathcal{L}_{res}$        5.54413234e-05
        8859  $\mathcal{L}_{res}$        5.54413234e-05
        8860  $\mathcal{L}_{res}$        5.54413234e-05
        8861  $\mathcal{L}_{res}$        5.54413234e-05
        8862  $\mathcal{L}_{res}$        5.54413234e-05
        8863  $\mathcal{L}_{res}$        5.54413234e-05
        8864  $\mathcal{L}_{res}$        5.54413234e-05
        8865  $\mathcal{L}_{res}$        5.54413234e-05
        8866  $\mathcal{L}_{res}$        5.54413234e-05
        8867  $\mathcal{L}_{res}$        5.54413234e-05
        8868  $\mathcal{L}_{res}$        5.54413234e-05
        8869  $\mathcal{L}_{res}$        5.54413234e-05
        8870  $\mathcal{L}_{res}$        5.54413234e-05
        8871  $\mathcal{L}_{res}$        5.54413234e-05
        8872  $\mathcal{L}_{res}$        5.54413234e-05
        8873  $\mathcal{L}_{res}$        5.54413234e-05
        8874  $\mathcal{L}_{res}$        5.54413234e-05
        8875  $\mathcal{L}_{res}$        5.54413234e-05
        8876  $\mathcal{L}_{res}$        5.54413234e-05
        8877  $\mathcal{L}_{res}$        5.54413234e-05
        8878  $\mathcal{L}_{res}$        5.54413234e-05
        8879  $\mathcal{L}_{res}$        5.54413234e-05
        8880  $\mathcal{L}_{res}$        5.54413234e-05
        8881  $\mathcal{L}_{res}$        5.54413234e-05
        8882  $\mathcal{L}_{res}$        5.54413234e-05
        8883  $\mathcal{L}_{res}$        5.54413234e-05
        8884  $\mathcal{L}_{res}$        5.54413234e-05
        8885  $\mathcal{L}_{res}$        5.54413234e-05
        8886  $\mathcal{L}_{res}$        5.54413234e-05
        8887  $\mathcal{L}_{res}$        5.54413234e-05
        8888  $\mathcal{L}_{res}$        5.54413234e-05
        8889  $\mathcal{L}_{res}$        5.54413234e-05
        8890  $\mathcal{L}_{res}$        5.54413234e-05
        8891  $\mathcal{L}_{res}$        5.54413234e-05
        8892  $\mathcal{L}_{res}$        5.54413234e-05
        8893  $\mathcal{L}_{res}$        5.54413234e-05
        8894  $\mathcal{L}_{res}$        5.54413234e-05
        8895  $\mathcal{L}_{res}$        5.54413234e-05
        8896  $\mathcal{L}_{res}$        5.54413234e-05
        8897  $\mathcal{L}_{res}$        5.54413234e-05
        8898  $\mathcal{L}_{res}$        5.54413234e-05
        8899  $\mathcal{L}_{res}$        5.54413234e-05
        8900  $\mathcal{L}_{res}$        5.54413234e-05
        8901  $\mathcal{L}_{res}$        5.54413234e-05
        8902  $\mathcal{L}_{res}$        5.54413234e-05
        8903  $\mathcal{L}_{res}$        5.54413234e-05
        8904  $\mathcal{L}_{res}$        5.54413234e-05
        8905  $\mathcal{L}_{res}$        5.54413234e-05
        8906  $\mathcal{L}_{res}$        5.54413234e-05
        8907  $\mathcal{L}_{res}$        5.54413234e-05
        8908  $\mathcal{L}_{res}$        5.54413234e-05
        8909  $\mathcal{L}_{res}$        5.54413234e-05
        8910  $\mathcal{L}_{res}$        5.54413234e-05
        8911  $\mathcal{L}_{res}$        5.54413234e-05
        8912  $\mathcal{L}_{res}$        5.54413234e-05
        8913  $\mathcal{L}_{res}$        5.54413234e-05
        8914  $\mathcal{L}_{res}$        5.54413234e-05
        8915  $\mathcal{L}_{res}$        5.54413234e-05
        8916  $\mathcal{L}_{res}$        5.54413234e-05
        8917  $\mathcal{L}_{res}$        5.54413234e-05
        8918  $\mathcal{L}_{res}$        5.54413234e-05
        8919  $\mathcal{L}_{res}$        5.54413234e-05
        8920  $\mathcal{L}_{res}$        5.54413234e-05
        8921  $\mathcal{L}_{res}$        5.54413234e-05
        8922  $\mathcal{L}_{res}$        5.54413234e-05
        9251  $\mathcal{L}_{res}$        7.34130743e-05
        9343  $\mathcal{L}_{res}$        6.42457839e-05
        9456  $\mathcal{L}_{res}$        5.66618129e-05
        9500  $\mathcal{L}_{res}$        5.45696436e-05
        9528  $\mathcal{L}_{res}$        5.34235208e-05
        9645  $\mathcal{L}_{res}$        4.67171732e-05
        9656  $\mathcal{L}_{res}$        4.64324634e-05
        9690  $\mathcal{L}_{res}$        4.53640664e-05
        9691  $\mathcal{L}_{res}$        4.53537291e-05
        9717  $\mathcal{L}_{res}$        4.49276461e-05
        9720  $\mathcal{L}_{res}$        4.48282525e-05
        9731  $\mathcal{L}_{res}$        4.46460644e-05
        9783  $\mathcal{L}_{res}$        4.30735258e-05
        9790  $\mathcal{L}_{res}$        4.29487714e-05
        9791  $\mathcal{L}_{res}$        4.29494512e-05
        9792  $\mathcal{L}_{res}$        4.29376180e-05
        9794  $\mathcal{L}_{res}$        4.29087325e-05
        9796  $\mathcal{L}_{res}$        4.28965494e-05
        9824  $\mathcal{L}_{res}$        4.23570991e-05
        9825  $\mathcal{L}_{res}$        4.23570991e-05
        9826  $\mathcal{L}_{res}$        4.23570991e-05
        9827  $\mathcal{L}_{res}$        4.23570991e-05
        9828  $\mathcal{L}_{res}$        4.23570991e-05
        9829  $\mathcal{L}_{res}$        4.23570991e-05
        9830  $\mathcal{L}_{res}$        4.23570991e-05
        9831  $\mathcal{L}_{res}$        4.23570991e-05
        9832  $\mathcal{L}_{res}$        4.23570991e-05
        9833  $\mathcal{L}_{res}$        4.23570991e-05
        9834  $\mathcal{L}_{res}$        4.23570991e-05
        9835  $\mathcal{L}_{res}$        4.23570991e-05
        9836  $\mathcal{L}_{res}$        4.23570991e-05
        9837  $\mathcal{L}_{res}$        4.23570991e-05
        9838  $\mathcal{L}_{res}$        4.23570991e-05
        9839  $\mathcal{L}_{res}$        4.23570991e-05
        9840  $\mathcal{L}_{res}$        4.23570991e-05
        9841  $\mathcal{L}_{res}$        4.23570991e-05
        9842  $\mathcal{L}_{res}$        4.23570991e-05
        9843  $\mathcal{L}_{res}$        4.23570991e-05
        9844  $\mathcal{L}_{res}$        4.23570991e-05
        9845  $\mathcal{L}_{res}$        4.23570991e-05
        9846  $\mathcal{L}_{res}$        4.23570991e-05
        9847  $\mathcal{L}_{res}$        4.23570991e-05
        9848  $\mathcal{L}_{res}$        4.23570991e-05
        9849  $\mathcal{L}_{res}$        4.23570991e-05
        9850  $\mathcal{L}_{res}$        4.23570991e-05
        9851  $\mathcal{L}_{res}$        4.23570991e-05
        9852  $\mathcal{L}_{res}$        4.23570991e-05
        9853  $\mathcal{L}_{res}$        4.23570991e-05
        9854  $\mathcal{L}_{res}$        4.23570991e-05
        9855  $\mathcal{L}_{res}$        4.23570991e-05
        9856  $\mathcal{L}_{res}$        4.23570991e-05
        9857  $\mathcal{L}_{res}$        4.23570991e-05
        9858  $\mathcal{L}_{res}$        4.23570991e-05
        9859  $\mathcal{L}_{res}$        4.23570991e-05
        9860  $\mathcal{L}_{res}$        4.23570991e-05
        9861  $\mathcal{L}_{res}$        4.23570991e-05
        9862  $\mathcal{L}_{res}$        4.23570991e-05
        9863  $\mathcal{L}_{res}$        4.23570991e-05
        9864  $\mathcal{L}_{res}$        4.23570991e-05
        9865  $\mathcal{L}_{res}$        4.23570991e-05
        9866  $\mathcal{L}_{res}$        4.23570991e-05
        9867  $\mathcal{L}_{res}$        4.23570991e-05
        9868  $\mathcal{L}_{res}$        4.23570991e-05
        9869  $\mathcal{L}_{res}$        4.23570991e-05
        9870  $\mathcal{L}_{res}$        4.23570991e-05
        9871  $\mathcal{L}_{res}$        4.23570991e-05
        9872  $\mathcal{L}_{res}$        4.23570991e-05
        9873  $\mathcal{L}_{res}$        4.23570991e-05
        9874  $\mathcal{L}_{res}$        4.23570991e-05
        9875  $\mathcal{L}_{res}$        4.23570991e-05
        9876  $\mathcal{L}_{res}$        4.23570991e-05
        9877  $\mathcal{L}_{res}$        4.23570991e-05
        9878  $\mathcal{L}_{res}$        4.23570991e-05
        9879  $\mathcal{L}_{res}$        4.23570991e-05
        9880  $\mathcal{L}_{res}$        4.23570991e-05
        9881  $\mathcal{L}_{res}$        4.23570991e-05
        9882  $\mathcal{L}_{res}$        4.23570991e-05
        9883  $\mathcal{L}_{res}$        4.23570991e-05
        9884  $\mathcal{L}_{res}$        4.23570991e-05
        9885  $\mathcal{L}_{res}$        4.23570991e-05
        9886  $\mathcal{L}_{res}$        4.23570991e-05
        9887  $\mathcal{L}_{res}$        4.23570991e-05
        9888  $\mathcal{L}_{res}$        4.23570991e-05
        9889  $\mathcal{L}_{res}$        4.23570991e-05
        9890  $\mathcal{L}_{res}$        4.23570991e-05
        9891  $\mathcal{L}_{res}$        4.23570991e-05
        9892  $\mathcal{L}_{res}$        4.23570991e-05
        9893  $\mathcal{L}_{res}$        4.23570991e-05
        9894  $\mathcal{L}_{res}$        4.23570991e-05
        9895  $\mathcal{L}_{res}$        4.23570991e-05
