Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        2.07260997e+03
         200  $\mathcal{L}_{res}$        1.20774120e+01
         400  $\mathcal{L}_{res}$        6.43757304e+00
         600  $\mathcal{L}_{res}$        4.71536027e+00
         800  $\mathcal{L}_{res}$        3.79836166e+00
        1000  $\mathcal{L}_{res}$        3.41728144e+00
        1200  $\mathcal{L}_{res}$        3.08958795e+00
        1400  $\mathcal{L}_{res}$        2.69360756e+00
        1600  $\mathcal{L}_{res}$        2.51464175e+00
        1800  $\mathcal{L}_{res}$        3.21267713e+00
        2000  $\mathcal{L}_{res}$        2.15544754e+00
        2200  $\mathcal{L}_{res}$        1.61629513e+00
        2400  $\mathcal{L}_{res}$        1.54955473e+00
        2600  $\mathcal{L}_{res}$        1.18337094e+00
        2800  $\mathcal{L}_{res}$        9.80227296e-01
        3000  $\mathcal{L}_{res}$        9.59393712e-01
        3000  $\mathcal{L}_{res}$        9.02937275e-01
        4000  $\mathcal{L}_{res}$        4.11835184e-02
        5000  $\mathcal{L}_{res}$        1.32357099e-02
        6000  $\mathcal{L}_{res}$        8.83574691e-03
        7000  $\mathcal{L}_{res}$        7.20239133e-03
        8000  $\mathcal{L}_{res}$        6.66203557e-03
        9000  $\mathcal{L}_{res}$        6.24813331e-03
       10000  $\mathcal{L}_{res}$        4.74359799e-03
       11000  $\mathcal{L}_{res}$        3.14800509e-03
       12000  $\mathcal{L}_{res}$        2.18243208e-03
       13000  $\mathcal{L}_{res}$        1.58342622e-03
       14000  $\mathcal{L}_{res}$        1.17596932e-03
       14313  $\mathcal{L}_{res}$        1.08695265e-03
       14709  $\mathcal{L}_{res}$        1.00868193e-03
       14850  $\mathcal{L}_{res}$        9.84675315e-04
       15403  $\mathcal{L}_{res}$        8.73859437e-04
       15570  $\mathcal{L}_{res}$        8.44236251e-04
       15642  $\mathcal{L}_{res}$        8.30943604e-04
       15968  $\mathcal{L}_{res}$        7.89333138e-04
       16008  $\mathcal{L}_{res}$        7.84580311e-04
       16036  $\mathcal{L}_{res}$        7.81457663e-04
       16597  $\mathcal{L}_{res}$        6.87742814e-04
       16620  $\mathcal{L}_{res}$        6.85485993e-04
       16621  $\mathcal{L}_{res}$        6.85508712e-04
       16713  $\mathcal{L}_{res}$        6.74821826e-04
       16739  $\mathcal{L}_{res}$        6.72202765e-04
       16741  $\mathcal{L}_{res}$        6.72219798e-04
       16756  $\mathcal{L}_{res}$        6.71565906e-04
       16864  $\mathcal{L}_{res}$        6.62948784e-04
       16973  $\mathcal{L}_{res}$        6.45721238e-04
       17058  $\mathcal{L}_{res}$        6.38996038e-04
       17323  $\mathcal{L}_{res}$        6.01263571e-04
       17324  $\mathcal{L}_{res}$        6.01263571e-04
       17325  $\mathcal{L}_{res}$        6.01263571e-04
       17326  $\mathcal{L}_{res}$        6.01263571e-04
       17327  $\mathcal{L}_{res}$        6.01263571e-04
       17328  $\mathcal{L}_{res}$        6.01263571e-04
       17329  $\mathcal{L}_{res}$        6.01263571e-04
       17330  $\mathcal{L}_{res}$        6.01263571e-04
       17331  $\mathcal{L}_{res}$        6.01263571e-04
       17332  $\mathcal{L}_{res}$        6.01263571e-04
       17333  $\mathcal{L}_{res}$        6.01263571e-04
       17334  $\mathcal{L}_{res}$        6.01263571e-04
       17335  $\mathcal{L}_{res}$        6.01263571e-04
       17336  $\mathcal{L}_{res}$        6.01263571e-04
       17337  $\mathcal{L}_{res}$        6.01263571e-04
       17338  $\mathcal{L}_{res}$        6.01263571e-04
       17339  $\mathcal{L}_{res}$        6.01263571e-04
       17340  $\mathcal{L}_{res}$        6.01263571e-04
       17341  $\mathcal{L}_{res}$        6.01263571e-04
       17342  $\mathcal{L}_{res}$        6.01263571e-04
       17343  $\mathcal{L}_{res}$        6.01263571e-04
       17344  $\mathcal{L}_{res}$        6.01263571e-04
       17345  $\mathcal{L}_{res}$        6.01263571e-04
       17346  $\mathcal{L}_{res}$        6.01263571e-04
       17347  $\mathcal{L}_{res}$        6.01263571e-04
       17348  $\mathcal{L}_{res}$        6.01263571e-04
       17349  $\mathcal{L}_{res}$        6.01263571e-04
       17350  $\mathcal{L}_{res}$        6.01263571e-04
       17351  $\mathcal{L}_{res}$        6.01263571e-04
       17352  $\mathcal{L}_{res}$        6.01263571e-04
       17353  $\mathcal{L}_{res}$        6.01263571e-04
       17354  $\mathcal{L}_{res}$        6.01263571e-04
       17355  $\mathcal{L}_{res}$        6.01263571e-04
       17356  $\mathcal{L}_{res}$        6.01263571e-04
       17357  $\mathcal{L}_{res}$        6.01263571e-04
       17358  $\mathcal{L}_{res}$        6.01263571e-04
       17359  $\mathcal{L}_{res}$        6.01263571e-04
       17360  $\mathcal{L}_{res}$        6.01263571e-04
       17361  $\mathcal{L}_{res}$        6.01263571e-04
       17362  $\mathcal{L}_{res}$        6.01263571e-04
       17363  $\mathcal{L}_{res}$        6.01263571e-04
       17364  $\mathcal{L}_{res}$        6.01263571e-04
       17365  $\mathcal{L}_{res}$        6.01263571e-04
       17366  $\mathcal{L}_{res}$        6.01263571e-04
       17367  $\mathcal{L}_{res}$        6.01263571e-04
       17368  $\mathcal{L}_{res}$        6.01263571e-04
       17369  $\mathcal{L}_{res}$        6.01263571e-04
       17370  $\mathcal{L}_{res}$        6.01263571e-04
       17371  $\mathcal{L}_{res}$        6.01263571e-04
       17372  $\mathcal{L}_{res}$        6.01263571e-04
       17373  $\mathcal{L}_{res}$        6.01263571e-04
       17374  $\mathcal{L}_{res}$        6.01263571e-04
       17375  $\mathcal{L}_{res}$        6.01263571e-04
       17376  $\mathcal{L}_{res}$        6.01263571e-04
       17377  $\mathcal{L}_{res}$        6.01263571e-04
       17378  $\mathcal{L}_{res}$        6.01263571e-04
       17379  $\mathcal{L}_{res}$        6.01263571e-04
       17380  $\mathcal{L}_{res}$        6.01263571e-04
       17381  $\mathcal{L}_{res}$        6.01263571e-04
       17382  $\mathcal{L}_{res}$        6.01263571e-04
       17383  $\mathcal{L}_{res}$        6.01263571e-04
       17384  $\mathcal{L}_{res}$        6.01263571e-04
       17385  $\mathcal{L}_{res}$        6.01263571e-04
       17386  $\mathcal{L}_{res}$        6.01263571e-04
       17387  $\mathcal{L}_{res}$        6.01263571e-04
       17388  $\mathcal{L}_{res}$        6.01263571e-04
       17389  $\mathcal{L}_{res}$        6.01263571e-04
       17390  $\mathcal{L}_{res}$        6.01263571e-04
