Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        2.54579930e+03
         200  $\mathcal{L}_{res}$        1.77349387e+01
         400  $\mathcal{L}_{res}$        8.44432889e+00
         600  $\mathcal{L}_{res}$        6.39631637e+00
         800  $\mathcal{L}_{res}$        5.17800735e+00
        1000  $\mathcal{L}_{res}$        4.59355429e+00
        1200  $\mathcal{L}_{res}$        4.11704658e+00
        1400  $\mathcal{L}_{res}$        3.53577035e+00
        1600  $\mathcal{L}_{res}$        3.22586166e+00
        1800  $\mathcal{L}_{res}$        3.05224825e+00
        2000  $\mathcal{L}_{res}$        2.62947320e+00
        2200  $\mathcal{L}_{res}$        2.56113662e+00
        2400  $\mathcal{L}_{res}$        2.19980606e+00
        2600  $\mathcal{L}_{res}$        1.93483488e+00
        2800  $\mathcal{L}_{res}$        1.75344794e+00
        3000  $\mathcal{L}_{res}$        1.58858480e+00
        3000  $\mathcal{L}_{res}$        1.66156763e+00
        4000  $\mathcal{L}_{res}$        3.08864954e-02
        5000  $\mathcal{L}_{res}$        1.70048621e-02
        6000  $\mathcal{L}_{res}$        1.67997378e-02
        7000  $\mathcal{L}_{res}$        7.57238166e-03
        8000  $\mathcal{L}_{res}$        5.09586765e-03
        9000  $\mathcal{L}_{res}$        4.40135661e-03
       10000  $\mathcal{L}_{res}$        3.11780272e-03
       11000  $\mathcal{L}_{res}$        2.07085679e-03
       12000  $\mathcal{L}_{res}$        1.46164623e-03
       12843  $\mathcal{L}_{res}$        1.20052236e-03
       13639  $\mathcal{L}_{res}$        9.73936934e-04
       13903  $\mathcal{L}_{res}$        9.03429687e-04
       14044  $\mathcal{L}_{res}$        8.80474682e-04
       14120  $\mathcal{L}_{res}$        8.65031601e-04
       14412  $\mathcal{L}_{res}$        8.18812611e-04
       14416  $\mathcal{L}_{res}$        8.19113713e-04
       14678  $\mathcal{L}_{res}$        7.77067969e-04
       14701  $\mathcal{L}_{res}$        7.73968089e-04
       14885  $\mathcal{L}_{res}$        7.44888507e-04
       14995  $\mathcal{L}_{res}$        7.29121851e-04
       15053  $\mathcal{L}_{res}$        7.23580632e-04
       15059  $\mathcal{L}_{res}$        7.22965128e-04
       15072  $\mathcal{L}_{res}$        7.21602046e-04
       15092  $\mathcal{L}_{res}$        7.20562627e-04
       15476  $\mathcal{L}_{res}$        6.76952831e-04
       15513  $\mathcal{L}_{res}$        6.72940449e-04
       15523  $\mathcal{L}_{res}$        6.72299189e-04
       15547  $\mathcal{L}_{res}$        6.69344975e-04
       15604  $\mathcal{L}_{res}$        6.62880933e-04
       15613  $\mathcal{L}_{res}$        6.62039021e-04
       15738  $\mathcal{L}_{res}$        6.45071525e-04
       15784  $\mathcal{L}_{res}$        6.43301144e-04
       16014  $\mathcal{L}_{res}$        6.20136285e-04
       16071  $\mathcal{L}_{res}$        6.19142391e-04
       16140  $\mathcal{L}_{res}$        6.14746111e-04
       16141  $\mathcal{L}_{res}$        6.14807104e-04
       16164  $\mathcal{L}_{res}$        6.14212265e-04
       16248  $\mathcal{L}_{res}$        6.05585232e-04
       16648  $\mathcal{L}_{res}$        5.75055766e-04
       16688  $\mathcal{L}_{res}$        5.74958909e-04
       16707  $\mathcal{L}_{res}$        5.73048752e-04
       16828  $\mathcal{L}_{res}$        5.68660176e-04
       16836  $\mathcal{L}_{res}$        5.66766582e-04
       16871  $\mathcal{L}_{res}$        5.64676180e-04
       16942  $\mathcal{L}_{res}$        5.63943397e-04
       16944  $\mathcal{L}_{res}$        5.63722630e-04
       16966  $\mathcal{L}_{res}$        5.62208793e-04
       17007  $\mathcal{L}_{res}$        5.60352275e-04
       17095  $\mathcal{L}_{res}$        5.48784657e-04
       17185  $\mathcal{L}_{res}$        5.36782531e-04
       17193  $\mathcal{L}_{res}$        5.36565018e-04
       17210  $\mathcal{L}_{res}$        5.34451020e-04
       17239  $\mathcal{L}_{res}$        5.32437410e-04
       17442  $\mathcal{L}_{res}$        5.02514392e-04
       17467  $\mathcal{L}_{res}$        5.00384899e-04
       17469  $\mathcal{L}_{res}$        5.00281013e-04
       17494  $\mathcal{L}_{res}$        5.01231845e-04
       17644  $\mathcal{L}_{res}$        4.89307494e-04
       17701  $\mathcal{L}_{res}$        4.86011796e-04
       17754  $\mathcal{L}_{res}$        4.81476985e-04
       17755  $\mathcal{L}_{res}$        4.81462968e-04
       17763  $\mathcal{L}_{res}$        4.80451577e-04
       17809  $\mathcal{L}_{res}$        4.77420553e-04
       17810  $\mathcal{L}_{res}$        4.77465809e-04
       18014  $\mathcal{L}_{res}$        4.57600723e-04
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        3.01657219e+00
         200  $\mathcal{L}_{bc0}$        1.21776644e+00
         400  $\mathcal{L}_{bc0}$        1.12538116e+00
         600  $\mathcal{L}_{bc0}$        1.17829220e+00
         800  $\mathcal{L}_{bc0}$        1.19510026e+00
        1000  $\mathcal{L}_{bc0}$        1.18952428e+00
        1200  $\mathcal{L}_{bc0}$        1.17489806e+00
        1400  $\mathcal{L}_{bc0}$        1.16007106e+00
        1600  $\mathcal{L}_{bc0}$        1.12892197e+00
        1800  $\mathcal{L}_{bc0}$        1.08474229e+00
        2000  $\mathcal{L}_{bc0}$        1.00518678e+00
        2200  $\mathcal{L}_{bc0}$        9.26960857e-01
        2400  $\mathcal{L}_{bc0}$        8.15033264e-01
        2600  $\mathcal{L}_{bc0}$        6.99402502e-01
        2800  $\mathcal{L}_{bc0}$        6.29653240e-01
        3000  $\mathcal{L}_{bc0}$        5.98725722e-01
        3000  $\mathcal{L}_{bc0}$        5.98725722e-01
        4000  $\mathcal{L}_{bc0}$        4.63579224e-01
        5000  $\mathcal{L}_{bc0}$        4.22771009e-01
        6000  $\mathcal{L}_{bc0}$        3.86818236e-01
        7000  $\mathcal{L}_{bc0}$        3.70067387e-01
        8000  $\mathcal{L}_{bc0}$        3.63715088e-01
        9000  $\mathcal{L}_{bc0}$        3.59834598e-01
       10000  $\mathcal{L}_{bc0}$        3.57895406e-01
       11000  $\mathcal{L}_{bc0}$        3.57648799e-01
       12000  $\mathcal{L}_{bc0}$        3.57537389e-01
       12843  $\mathcal{L}_{bc0}$        3.57450973e-01
       13639  $\mathcal{L}_{bc0}$        3.57394283e-01
       13903  $\mathcal{L}_{bc0}$        3.57380065e-01
       14044  $\mathcal{L}_{bc0}$        3.57367635e-01
       14120  $\mathcal{L}_{bc0}$        3.57364124e-01
       14412  $\mathcal{L}_{bc0}$        3.57337750e-01
       14416  $\mathcal{L}_{bc0}$        3.57337209e-01
       14678  $\mathcal{L}_{bc0}$        3.57313901e-01
       14701  $\mathcal{L}_{bc0}$        3.57313697e-01
       14885  $\mathcal{L}_{bc0}$        3.57310217e-01
       14995  $\mathcal{L}_{bc0}$        3.57302926e-01
       15053  $\mathcal{L}_{bc0}$        3.57299167e-01
       15059  $\mathcal{L}_{bc0}$        3.57298876e-01
       15072  $\mathcal{L}_{bc0}$        3.57298643e-01
       15092  $\mathcal{L}_{bc0}$        3.57296710e-01
       15476  $\mathcal{L}_{bc0}$        3.57254573e-01
       15513  $\mathcal{L}_{bc0}$        3.57253382e-01
       15523  $\mathcal{L}_{bc0}$        3.57253034e-01
       15547  $\mathcal{L}_{bc0}$        3.57252747e-01
       15604  $\mathcal{L}_{bc0}$        3.57248697e-01
       15613  $\mathcal{L}_{bc0}$        3.57248563e-01
       15738  $\mathcal{L}_{bc0}$        3.57236125e-01
       15784  $\mathcal{L}_{bc0}$        3.57229589e-01
       16014  $\mathcal{L}_{bc0}$        3.57211015e-01
       16071  $\mathcal{L}_{bc0}$        3.57205134e-01
       16140  $\mathcal{L}_{bc0}$        3.57201358e-01
       16141  $\mathcal{L}_{bc0}$        3.57201287e-01
       16164  $\mathcal{L}_{bc0}$        3.57199829e-01
       16248  $\mathcal{L}_{bc0}$        3.57196452e-01
       16648  $\mathcal{L}_{bc0}$        3.57169817e-01
       16688  $\mathcal{L}_{bc0}$        3.57166991e-01
       16707  $\mathcal{L}_{bc0}$        3.57166995e-01
       16828  $\mathcal{L}_{bc0}$        3.57153335e-01
       16836  $\mathcal{L}_{bc0}$        3.57153744e-01
       16871  $\mathcal{L}_{bc0}$        3.57151233e-01
       16942  $\mathcal{L}_{bc0}$        3.57142792e-01
       16944  $\mathcal{L}_{bc0}$        3.57142943e-01
       16966  $\mathcal{L}_{bc0}$        3.57143271e-01
       17007  $\mathcal{L}_{bc0}$        3.57142400e-01
       17095  $\mathcal{L}_{bc0}$        3.57141841e-01
       17185  $\mathcal{L}_{bc0}$        3.57140149e-01
       17193  $\mathcal{L}_{bc0}$        3.57139600e-01
       17210  $\mathcal{L}_{bc0}$        3.57138761e-01
       17239  $\mathcal{L}_{bc0}$        3.57137907e-01
       17442  $\mathcal{L}_{bc0}$        3.57131286e-01
       17467  $\mathcal{L}_{bc0}$        3.57130423e-01
       17469  $\mathcal{L}_{bc0}$        3.57130454e-01
       17494  $\mathcal{L}_{bc0}$        3.57127599e-01
       17644  $\mathcal{L}_{bc0}$        3.57120160e-01
       17701  $\mathcal{L}_{bc0}$        3.57118801e-01
       17754  $\mathcal{L}_{bc0}$        3.57117717e-01
       17755  $\mathcal{L}_{bc0}$        3.57117723e-01
       17763  $\mathcal{L}_{bc0}$        3.57118395e-01
       17809  $\mathcal{L}_{bc0}$        3.57116569e-01
       17810  $\mathcal{L}_{bc0}$        3.57116514e-01
       18014  $\mathcal{L}_{bc0}$        3.57111621e-01
--------------------------------------------------
           0     test loss        2.61479873e+03
         200     test loss        1.18573030e+01
         400     test loss        4.68862078e+00
         600     test loss        3.06797399e+00
         800     test loss        2.41296969e+00
        1000     test loss        2.03248603e+00
        1200     test loss        1.77093642e+00
        1400     test loss        1.61423125e+00
        1600     test loss        1.48248732e+00
        1800     test loss        1.38308398e+00
        2000     test loss        1.28777066e+00
        2200     test loss        1.16789263e+00
        2400     test loss        1.03912956e+00
        2600     test loss        9.28628263e-01
        2800     test loss        8.45210308e-01
        3000     test loss        8.13504161e-01
        3000     test loss        8.13504161e-01
        4000     test loss        4.71638885e-01
        5000     test loss        4.26238490e-01
        6000     test loss        3.91547609e-01
        7000     test loss        3.73067156e-01
        8000     test loss        3.66020776e-01
        9000     test loss        3.61584005e-01
       10000     test loss        3.58948572e-01
       11000     test loss        3.58530544e-01
       12000     test loss        3.58086774e-01
