Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        6.81903379e+03
         200  $\mathcal{L}_{res}$        5.19692850e+01
         400  $\mathcal{L}_{res}$        2.03406061e+01
         600  $\mathcal{L}_{res}$        1.51726956e+01
         800  $\mathcal{L}_{res}$        1.25874534e+01
        1000  $\mathcal{L}_{res}$        1.11000901e+01
        1200  $\mathcal{L}_{res}$        9.77640526e+00
        1400  $\mathcal{L}_{res}$        9.12159167e+00
        1600  $\mathcal{L}_{res}$        8.28217271e+00
        1800  $\mathcal{L}_{res}$        7.81875591e+00
        2000  $\mathcal{L}_{res}$        7.30935930e+00
        2200  $\mathcal{L}_{res}$        6.98851565e+00
        2400  $\mathcal{L}_{res}$        6.23818486e+00
        2600  $\mathcal{L}_{res}$        5.94469849e+00
        2800  $\mathcal{L}_{res}$        5.83089734e+00
        3000  $\mathcal{L}_{res}$        4.93407032e+00
        3000  $\mathcal{L}_{res}$        5.04180961e+00
        4000  $\mathcal{L}_{res}$        9.15753597e-02
        5000  $\mathcal{L}_{res}$        3.57192271e-02
        6000  $\mathcal{L}_{res}$        1.90750256e-02
        7000  $\mathcal{L}_{res}$        1.21234982e-02
        8000  $\mathcal{L}_{res}$        8.78828790e-03
        9000  $\mathcal{L}_{res}$        7.17585868e-03
       10000  $\mathcal{L}_{res}$        5.47184776e-03
       11000  $\mathcal{L}_{res}$        5.34497257e-03
       12000  $\mathcal{L}_{res}$        4.88571247e-03
       13000  $\mathcal{L}_{res}$        4.38993814e-03
       14000  $\mathcal{L}_{res}$        3.94229668e-03
       15000  $\mathcal{L}_{res}$        3.74311367e-03
       16000  $\mathcal{L}_{res}$        4.49671069e-03
       17000  $\mathcal{L}_{res}$        5.66626844e-03
       18000  $\mathcal{L}_{res}$        5.67303218e-03
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        2.93112174e+00
         200  $\mathcal{L}_{bc0}$        1.32810696e+00
