Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        4.00041176e+03
         200  $\mathcal{L}_{res}$        7.84166393e+01
         400  $\mathcal{L}_{res}$        2.56145042e+01
         600  $\mathcal{L}_{res}$        1.93288009e+01
         800  $\mathcal{L}_{res}$        1.68361811e+01
        1000  $\mathcal{L}_{res}$        1.52045192e+01
        1200  $\mathcal{L}_{res}$        1.39851610e+01
        1400  $\mathcal{L}_{res}$        1.36159288e+01
        1600  $\mathcal{L}_{res}$        1.20609147e+01
        1800  $\mathcal{L}_{res}$        1.10104848e+01
        2000  $\mathcal{L}_{res}$        1.00066584e+01
        2200  $\mathcal{L}_{res}$        9.25990482e+00
        2400  $\mathcal{L}_{res}$        8.03381424e+00
        2600  $\mathcal{L}_{res}$        7.82152293e+00
        2800  $\mathcal{L}_{res}$        6.09647847e+00
        3000  $\mathcal{L}_{res}$        6.73737856e+00
        3000  $\mathcal{L}_{res}$        7.19704813e+00
        4000  $\mathcal{L}_{res}$        1.13836848e-01
        5000  $\mathcal{L}_{res}$        3.27001848e-02
        6000  $\mathcal{L}_{res}$        1.95609856e-02
        7000  $\mathcal{L}_{res}$        1.75987549e-02
        8000  $\mathcal{L}_{res}$        1.62777494e-02
        9000  $\mathcal{L}_{res}$        1.34572232e-02
       10000  $\mathcal{L}_{res}$        1.05371611e-02
       11000  $\mathcal{L}_{res}$        8.78925225e-03
       12000  $\mathcal{L}_{res}$        7.02881304e-03
       13000  $\mathcal{L}_{res}$        6.04001152e-03
       14000  $\mathcal{L}_{res}$        5.48957850e-03
       15000  $\mathcal{L}_{res}$        4.95144810e-03
       16000  $\mathcal{L}_{res}$        4.76909438e-03
       17000  $\mathcal{L}_{res}$        4.04321296e-03
       18000  $\mathcal{L}_{res}$        3.65293691e-03
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        1.04668993e+00
         200  $\mathcal{L}_{bc0}$        7.95061456e-01
         400  $\mathcal{L}_{bc0}$        7.74061516e-01
         600  $\mathcal{L}_{bc0}$        8.60762205e-01
         800  $\mathcal{L}_{bc0}$        9.38323008e-01
        1000  $\mathcal{L}_{bc0}$        9.96946787e-01
        1200  $\mathcal{L}_{bc0}$        1.05362086e+00
