Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        2.49055708e+04
         200  $\mathcal{L}_{res}$        3.67099040e+02
         400  $\mathcal{L}_{res}$        9.93506787e+01
         600  $\mathcal{L}_{res}$        5.44726056e+01
         800  $\mathcal{L}_{res}$        4.19996880e+01
        1000  $\mathcal{L}_{res}$        3.36509095e+01
        1200  $\mathcal{L}_{res}$        3.00245908e+01
        1400  $\mathcal{L}_{res}$        2.50892721e+01
        1600  $\mathcal{L}_{res}$        2.26796293e+01
        1800  $\mathcal{L}_{res}$        2.09768198e+01
        2000  $\mathcal{L}_{res}$        2.99020420e+01
        2200  $\mathcal{L}_{res}$        3.29637881e+01
        2400  $\mathcal{L}_{res}$        1.81025172e+01
        2600  $\mathcal{L}_{res}$        1.70493041e+01
        2800  $\mathcal{L}_{res}$        1.58857719e+01
        3000  $\mathcal{L}_{res}$        1.75896130e+01
        3000  $\mathcal{L}_{res}$        1.75166834e+01
        4000  $\mathcal{L}_{res}$        2.80479771e-01
        5000  $\mathcal{L}_{res}$        6.09185287e-02
        6000  $\mathcal{L}_{res}$        3.16802697e-02
        7000  $\mathcal{L}_{res}$        2.19734282e-02
        8000  $\mathcal{L}_{res}$        1.97475723e-02
        9000  $\mathcal{L}_{res}$        1.80618505e-02
       10000  $\mathcal{L}_{res}$        1.37132265e-02
       11000  $\mathcal{L}_{res}$        1.20954731e-02
       12000  $\mathcal{L}_{res}$        1.02556630e-02
       13000  $\mathcal{L}_{res}$        8.75029563e-03
       14000  $\mathcal{L}_{res}$        7.87187576e-03
       15000  $\mathcal{L}_{res}$        7.04165027e-03
       16000  $\mathcal{L}_{res}$        6.12714728e-03
       17000  $\mathcal{L}_{res}$        5.28313284e-03
       18000  $\mathcal{L}_{res}$        4.73346314e-03
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        1.86630244e+01
         200  $\mathcal{L}_{bc0}$        1.38718719e+00
         400  $\mathcal{L}_{bc0}$        1.17033851e+00
         600  $\mathcal{L}_{bc0}$        1.23633048e+00
         800  $\mathcal{L}_{bc0}$        1.28198910e+00
        1000  $\mathcal{L}_{bc0}$        1.32235844e+00
        1200  $\mathcal{L}_{bc0}$        1.33439242e+00
        1400  $\mathcal{L}_{bc0}$        1.36898193e+00
        1600  $\mathcal{L}_{bc0}$        1.40397489e+00
        1800  $\mathcal{L}_{bc0}$        1.45409756e+00
