Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        2.45859743e+02
         200  $\mathcal{L}_{res}$        1.64385719e+00
         400  $\mathcal{L}_{res}$        1.20501164e+00
         600  $\mathcal{L}_{res}$        9.16862821e-01
         800  $\mathcal{L}_{res}$        7.94888157e-01
        1000  $\mathcal{L}_{res}$        6.99193082e-01
        1200  $\mathcal{L}_{res}$        6.47868563e-01
        1400  $\mathcal{L}_{res}$        5.01338321e-01
        1600  $\mathcal{L}_{res}$        4.34924835e-01
        1800  $\mathcal{L}_{res}$        4.08757539e-01
        2000  $\mathcal{L}_{res}$        3.47456905e-01
        2200  $\mathcal{L}_{res}$        3.54137728e-01
        2400  $\mathcal{L}_{res}$        3.02845875e-01
        2600  $\mathcal{L}_{res}$        3.24512735e-01
        2800  $\mathcal{L}_{res}$        2.86277251e-01
        3000  $\mathcal{L}_{res}$        2.61262297e-01
        3000  $\mathcal{L}_{res}$        2.79943124e-01
        4000  $\mathcal{L}_{res}$        2.09868716e-02
        5000  $\mathcal{L}_{res}$        7.68760982e-03
        6000  $\mathcal{L}_{res}$        3.51968301e-03
        7000  $\mathcal{L}_{res}$        2.21694461e-03
        8000  $\mathcal{L}_{res}$        1.34712296e-03
        9000  $\mathcal{L}_{res}$        9.22395825e-04
       10000  $\mathcal{L}_{res}$        5.62967327e-04
       10167  $\mathcal{L}_{res}$        5.43463180e-04
       10749  $\mathcal{L}_{res}$        4.63934131e-04
       11604  $\mathcal{L}_{res}$        3.73892263e-04
       11686  $\mathcal{L}_{res}$        3.63471522e-04
       11808  $\mathcal{L}_{res}$        3.59869413e-04
       12162  $\mathcal{L}_{res}$        3.49834943e-04
       12390  $\mathcal{L}_{res}$        3.37305515e-04
       12478  $\mathcal{L}_{res}$        3.29625804e-04
       12531  $\mathcal{L}_{res}$        3.29556129e-04
       12534  $\mathcal{L}_{res}$        3.29518880e-04
       12610  $\mathcal{L}_{res}$        3.31961125e-04
       12798  $\mathcal{L}_{res}$        3.35687984e-04
       13024  $\mathcal{L}_{res}$        3.28272012e-04
       13216  $\mathcal{L}_{res}$        3.29174863e-04
       13278  $\mathcal{L}_{res}$        3.35787337e-04
       13313  $\mathcal{L}_{res}$        3.42104479e-04
       13343  $\mathcal{L}_{res}$        3.40262345e-04
       13355  $\mathcal{L}_{res}$        3.38648171e-04
       13388  $\mathcal{L}_{res}$        3.37671551e-04
       14039  $\mathcal{L}_{res}$        3.18460048e-04
       14053  $\mathcal{L}_{res}$        3.17320732e-04
       14910  $\mathcal{L}_{res}$        2.79970974e-04
       15123  $\mathcal{L}_{res}$        2.71220534e-04
       15175  $\mathcal{L}_{res}$        2.69730602e-04
       15311  $\mathcal{L}_{res}$        2.61879161e-04
       15631  $\mathcal{L}_{res}$        2.54168792e-04
       15644  $\mathcal{L}_{res}$        2.53145476e-04
       15700  $\mathcal{L}_{res}$        2.52697186e-04
       15720  $\mathcal{L}_{res}$        2.51899331e-04
       15818  $\mathcal{L}_{res}$        2.44738357e-04
       15907  $\mathcal{L}_{res}$        2.37928570e-04
       16016  $\mathcal{L}_{res}$        2.37920476e-04
       16046  $\mathcal{L}_{res}$        2.35290032e-04
       16067  $\mathcal{L}_{res}$        2.33621491e-04
       16091  $\mathcal{L}_{res}$        2.33024623e-04
       16177  $\mathcal{L}_{res}$        2.25716367e-04
       16370  $\mathcal{L}_{res}$        2.17034337e-04
       16376  $\mathcal{L}_{res}$        2.16537558e-04
       16563  $\mathcal{L}_{res}$        2.00899605e-04
       16636  $\mathcal{L}_{res}$        1.94941471e-04
       16654  $\mathcal{L}_{res}$        1.94767302e-04
       16661  $\mathcal{L}_{res}$        1.94247962e-04
       16720  $\mathcal{L}_{res}$        1.91823955e-04
       16817  $\mathcal{L}_{res}$        1.86074304e-04
       16927  $\mathcal{L}_{res}$        1.80075188e-04
       16939  $\mathcal{L}_{res}$        1.79270678e-04
       16962  $\mathcal{L}_{res}$        1.79574144e-04
       16983  $\mathcal{L}_{res}$        1.79186527e-04
       17004  $\mathcal{L}_{res}$        1.78818117e-04
       17012  $\mathcal{L}_{res}$        1.78627514e-04
       17017  $\mathcal{L}_{res}$        1.78499779e-04
       17030  $\mathcal{L}_{res}$        1.78195961e-04
       17046  $\mathcal{L}_{res}$        1.78156136e-04
       17092  $\mathcal{L}_{res}$        1.77421566e-04
       17110  $\mathcal{L}_{res}$        1.76734040e-04
       17142  $\mathcal{L}_{res}$        1.74552701e-04
       17311  $\mathcal{L}_{res}$        1.66018944e-04
       17403  $\mathcal{L}_{res}$        1.57935545e-04
       17500  $\mathcal{L}_{res}$        1.56523217e-04
       17531  $\mathcal{L}_{res}$        1.55197264e-04
       17554  $\mathcal{L}_{res}$        1.55004762e-04
       17622  $\mathcal{L}_{res}$        1.51060356e-04
       17646  $\mathcal{L}_{res}$        1.50248649e-04
       17697  $\mathcal{L}_{res}$        1.47084320e-04
       17779  $\mathcal{L}_{res}$        1.43843503e-04
       17827  $\mathcal{L}_{res}$        1.42728246e-04
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        1.41895990e+00
         200  $\mathcal{L}_{bc0}$        4.79295125e-01
         400  $\mathcal{L}_{bc0}$        4.82336733e-01
         600  $\mathcal{L}_{bc0}$        4.64693605e-01
         800  $\mathcal{L}_{bc0}$        4.33763947e-01
        1000  $\mathcal{L}_{bc0}$        4.11691235e-01
        1200  $\mathcal{L}_{bc0}$        3.90834612e-01
        1400  $\mathcal{L}_{bc0}$        3.51029193e-01
        1600  $\mathcal{L}_{bc0}$        3.20163334e-01
        1800  $\mathcal{L}_{bc0}$        3.14393733e-01
        2000  $\mathcal{L}_{bc0}$        3.06434382e-01
        2200  $\mathcal{L}_{bc0}$        2.98868592e-01
        2400  $\mathcal{L}_{bc0}$        2.91429593e-01
        2600  $\mathcal{L}_{bc0}$        2.83441150e-01
        2800  $\mathcal{L}_{bc0}$        2.73982220e-01
        3000  $\mathcal{L}_{bc0}$        2.68937970e-01
        3000  $\mathcal{L}_{bc0}$        2.68937970e-01
        4000  $\mathcal{L}_{bc0}$        1.37624708e-01
        5000  $\mathcal{L}_{bc0}$        1.24076708e-01
        6000  $\mathcal{L}_{bc0}$        1.20918913e-01
        7000  $\mathcal{L}_{bc0}$        1.18943345e-01
        8000  $\mathcal{L}_{bc0}$        1.18195523e-01
        9000  $\mathcal{L}_{bc0}$        1.17809044e-01
       10000  $\mathcal{L}_{bc0}$        1.17634337e-01
       10167  $\mathcal{L}_{bc0}$        1.17616621e-01
       10749  $\mathcal{L}_{bc0}$        1.17571531e-01
       11604  $\mathcal{L}_{bc0}$        1.17507135e-01
       11686  $\mathcal{L}_{bc0}$        1.17504634e-01
       11808  $\mathcal{L}_{bc0}$        1.17489988e-01
       12162  $\mathcal{L}_{bc0}$        1.17442754e-01
       12390  $\mathcal{L}_{bc0}$        1.17413090e-01
       12478  $\mathcal{L}_{bc0}$        1.17409135e-01
       12531  $\mathcal{L}_{bc0}$        1.17404389e-01
       12534  $\mathcal{L}_{bc0}$        1.17404310e-01
       12610  $\mathcal{L}_{bc0}$        1.17396237e-01
       12798  $\mathcal{L}_{bc0}$        1.17361837e-01
       13024  $\mathcal{L}_{bc0}$        1.17338911e-01
       13216  $\mathcal{L}_{bc0}$        1.17316690e-01
       13278  $\mathcal{L}_{bc0}$        1.17300764e-01
       13313  $\mathcal{L}_{bc0}$        1.17288056e-01
       13343  $\mathcal{L}_{bc0}$        1.17284840e-01
       13355  $\mathcal{L}_{bc0}$        1.17285774e-01
       13388  $\mathcal{L}_{bc0}$        1.17284207e-01
       14039  $\mathcal{L}_{bc0}$        1.17175282e-01
       14053  $\mathcal{L}_{bc0}$        1.17175224e-01
       14910  $\mathcal{L}_{bc0}$        1.17069004e-01
       15123  $\mathcal{L}_{bc0}$        1.17045151e-01
       15175  $\mathcal{L}_{bc0}$        1.17042681e-01
       15311  $\mathcal{L}_{bc0}$        1.17031103e-01
       15631  $\mathcal{L}_{bc0}$        1.17003192e-01
