Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        4.27557776e+02
         200  $\mathcal{L}_{res}$        2.54110559e+00
         400  $\mathcal{L}_{res}$        1.73320469e+00
         600  $\mathcal{L}_{res}$        1.52828647e+00
         800  $\mathcal{L}_{res}$        1.22079178e+00
        1000  $\mathcal{L}_{res}$        1.05762265e+00
        1200  $\mathcal{L}_{res}$        8.42996144e-01
        1400  $\mathcal{L}_{res}$        7.53696761e-01
        1600  $\mathcal{L}_{res}$        5.89799316e-01
        1800  $\mathcal{L}_{res}$        4.90462015e-01
        2000  $\mathcal{L}_{res}$        3.74914383e-01
        2200  $\mathcal{L}_{res}$        3.21381988e-01
        2400  $\mathcal{L}_{res}$        2.65207497e-01
        2600  $\mathcal{L}_{res}$        2.43529723e-01
        2800  $\mathcal{L}_{res}$        2.12704080e-01
        3000  $\mathcal{L}_{res}$        1.90060435e-01
        3000  $\mathcal{L}_{res}$        1.95587710e-01
        4000  $\mathcal{L}_{res}$        1.72265968e-02
        5000  $\mathcal{L}_{res}$        4.76846325e-03
        6000  $\mathcal{L}_{res}$        5.66767608e-03
        7000  $\mathcal{L}_{res}$        2.10100959e-03
        8000  $\mathcal{L}_{res}$        8.60186069e-04
        9000  $\mathcal{L}_{res}$        4.50163990e-04
       10000  $\mathcal{L}_{res}$        2.59171484e-04
       10434  $\mathcal{L}_{res}$        2.14786536e-04
       10647  $\mathcal{L}_{res}$        1.89805886e-04
       10745  $\mathcal{L}_{res}$        1.84113173e-04
       10792  $\mathcal{L}_{res}$        1.83199636e-04
       10795  $\mathcal{L}_{res}$        1.83177792e-04
       10797  $\mathcal{L}_{res}$        1.83094185e-04
       11034  $\mathcal{L}_{res}$        1.72531909e-04
       11041  $\mathcal{L}_{res}$        1.72317173e-04
       11188  $\mathcal{L}_{res}$        1.61607069e-04
       11231  $\mathcal{L}_{res}$        1.60087432e-04
       11309  $\mathcal{L}_{res}$        1.57115703e-04
       11383  $\mathcal{L}_{res}$        1.53604272e-04
       11402  $\mathcal{L}_{res}$        1.53012028e-04
       11407  $\mathcal{L}_{res}$        1.52881753e-04
       11445  $\mathcal{L}_{res}$        1.51351179e-04
       11452  $\mathcal{L}_{res}$        1.51117234e-04
       11464  $\mathcal{L}_{res}$        1.50497914e-04
       11528  $\mathcal{L}_{res}$        1.48418323e-04
       11574  $\mathcal{L}_{res}$        1.45773970e-04
       11605  $\mathcal{L}_{res}$        1.44360619e-04
       11668  $\mathcal{L}_{res}$        1.42414023e-04
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        4.01546809e+00
