Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        2.32485433e+01
         200  $\mathcal{L}_{res}$        3.01958767e-01
         400  $\mathcal{L}_{res}$        1.99357343e-01
         600  $\mathcal{L}_{res}$        1.37318169e-01
         800  $\mathcal{L}_{res}$        1.20568894e-01
        1000  $\mathcal{L}_{res}$        1.29010438e-01
        1200  $\mathcal{L}_{res}$        1.11911323e-01
        1400  $\mathcal{L}_{res}$        9.50860917e-02
        1600  $\mathcal{L}_{res}$        8.42893300e-02
        1800  $\mathcal{L}_{res}$        7.65118082e-02
        2000  $\mathcal{L}_{res}$        7.25991298e-02
        2200  $\mathcal{L}_{res}$        6.12208028e-02
        2400  $\mathcal{L}_{res}$        7.78622540e-02
        2600  $\mathcal{L}_{res}$        5.20296595e-02
        2800  $\mathcal{L}_{res}$        4.94058885e-02
        3000  $\mathcal{L}_{res}$        5.26648317e-02
        3000  $\mathcal{L}_{res}$        4.87047069e-02
        4000  $\mathcal{L}_{res}$        2.42694898e-03
        5000  $\mathcal{L}_{res}$        6.47445157e-04
        5881  $\mathcal{L}_{res}$        2.63117526e-04
        6631  $\mathcal{L}_{res}$        1.75476209e-04
        6663  $\mathcal{L}_{res}$        1.73924919e-04
        6679  $\mathcal{L}_{res}$        1.73521487e-04
        6868  $\mathcal{L}_{res}$        1.55989610e-04
        7052  $\mathcal{L}_{res}$        1.41894300e-04
        7057  $\mathcal{L}_{res}$        1.41696932e-04
        7070  $\mathcal{L}_{res}$        1.41215617e-04
        7090  $\mathcal{L}_{res}$        1.40569095e-04
        7199  $\mathcal{L}_{res}$        1.33952972e-04
        7328  $\mathcal{L}_{res}$        1.22916609e-04
        7364  $\mathcal{L}_{res}$        1.19726499e-04
        7387  $\mathcal{L}_{res}$        1.18640858e-04
        7402  $\mathcal{L}_{res}$        1.18126693e-04
        7523  $\mathcal{L}_{res}$        1.10020679e-04
        7565  $\mathcal{L}_{res}$        1.07997250e-04
        7586  $\mathcal{L}_{res}$        1.06844388e-04
        7590  $\mathcal{L}_{res}$        1.06777077e-04
        7660  $\mathcal{L}_{res}$        1.04569827e-04
        7676  $\mathcal{L}_{res}$        1.04177606e-04
        7689  $\mathcal{L}_{res}$        1.03913055e-04
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        3.74314111e-01
         200  $\mathcal{L}_{bc0}$        4.64359341e-01
         400  $\mathcal{L}_{bc0}$        4.00325593e-01
         600  $\mathcal{L}_{bc0}$        3.23360343e-01
         800  $\mathcal{L}_{bc0}$        2.61144140e-01
        1000  $\mathcal{L}_{bc0}$        2.13202988e-01
        1200  $\mathcal{L}_{bc0}$        1.92234286e-01
        1400  $\mathcal{L}_{bc0}$        1.82048199e-01
        1600  $\mathcal{L}_{bc0}$        1.75450956e-01
        1800  $\mathcal{L}_{bc0}$        1.70361802e-01
        2000  $\mathcal{L}_{bc0}$        1.64839846e-01
        2200  $\mathcal{L}_{bc0}$        1.58022267e-01
        2400  $\mathcal{L}_{bc0}$        1.52342843e-01
        2600  $\mathcal{L}_{bc0}$        1.46051056e-01
        2800  $\mathcal{L}_{bc0}$        1.42436845e-01
        3000  $\mathcal{L}_{bc0}$        1.36944898e-01
        3000  $\mathcal{L}_{bc0}$        1.36944898e-01
        4000  $\mathcal{L}_{bc0}$        7.69050972e-02
        5000  $\mathcal{L}_{bc0}$        7.57965093e-02
        5881  $\mathcal{L}_{bc0}$        7.57532530e-02
        6631  $\mathcal{L}_{bc0}$        7.57350837e-02
        6663  $\mathcal{L}_{bc0}$        7.57345078e-02
        6679  $\mathcal{L}_{bc0}$        7.57341625e-02
        6868  $\mathcal{L}_{bc0}$        7.57306567e-02
        7052  $\mathcal{L}_{bc0}$        7.57269192e-02
        7057  $\mathcal{L}_{bc0}$        7.57269057e-02
        7070  $\mathcal{L}_{bc0}$        7.57268639e-02
        7090  $\mathcal{L}_{bc0}$        7.57269043e-02
        7199  $\mathcal{L}_{bc0}$        7.57257100e-02
        7328  $\mathcal{L}_{bc0}$        7.57252897e-02
        7364  $\mathcal{L}_{bc0}$        7.57259498e-02
        7387  $\mathcal{L}_{bc0}$        7.57258908e-02
        7402  $\mathcal{L}_{bc0}$        7.57255508e-02
        7523  $\mathcal{L}_{bc0}$        7.57250320e-02
