Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        8.67895048e+03
         200  $\mathcal{L}_{res}$        7.98635042e+01
         400  $\mathcal{L}_{res}$        2.88212559e+01
         600  $\mathcal{L}_{res}$        2.08042060e+01
         800  $\mathcal{L}_{res}$        1.76023230e+01
        1000  $\mathcal{L}_{res}$        1.55255883e+01
        1200  $\mathcal{L}_{res}$        1.34134097e+01
        1400  $\mathcal{L}_{res}$        1.22060869e+01
        1600  $\mathcal{L}_{res}$        1.18165856e+01
        1800  $\mathcal{L}_{res}$        1.04849405e+01
        2000  $\mathcal{L}_{res}$        9.98531573e+00
        2200  $\mathcal{L}_{res}$        8.91994279e+00
        2400  $\mathcal{L}_{res}$        8.71214886e+00
        2600  $\mathcal{L}_{res}$        8.14872274e+00
        2800  $\mathcal{L}_{res}$        7.66797809e+00
        3000  $\mathcal{L}_{res}$        7.12103571e+00
        3000  $\mathcal{L}_{res}$        7.11310265e+00
        4000  $\mathcal{L}_{res}$        1.56725695e-01
        5000  $\mathcal{L}_{res}$        5.26537247e-02
        6000  $\mathcal{L}_{res}$        2.99208344e-02
        7000  $\mathcal{L}_{res}$        1.64454766e-02
        8000  $\mathcal{L}_{res}$        1.16878880e-02
        9000  $\mathcal{L}_{res}$        9.29147169e-03
       10000  $\mathcal{L}_{res}$        8.60024292e-03
       11000  $\mathcal{L}_{res}$        7.95362997e-03
       12000  $\mathcal{L}_{res}$        6.06865699e-03
       13000  $\mathcal{L}_{res}$        5.54573040e-03
       14000  $\mathcal{L}_{res}$        4.59430522e-03
       15000  $\mathcal{L}_{res}$        3.97399854e-03
       16000  $\mathcal{L}_{res}$        3.65029003e-03
       17000  $\mathcal{L}_{res}$        3.09115483e-03
       18000  $\mathcal{L}_{res}$        3.01816820e-03
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        3.03299618e+00
         200  $\mathcal{L}_{bc0}$        1.31347984e+00
         400  $\mathcal{L}_{bc0}$        1.16018899e+00
         600  $\mathcal{L}_{bc0}$        1.18004035e+00
         800  $\mathcal{L}_{bc0}$        1.18606032e+00
        1000  $\mathcal{L}_{bc0}$        1.19899947e+00
        1200  $\mathcal{L}_{bc0}$        1.22521869e+00
        1400  $\mathcal{L}_{bc0}$        1.27485311e+00
        1600  $\mathcal{L}_{bc0}$        1.32425660e+00
        1800  $\mathcal{L}_{bc0}$        1.32704455e+00
        2000  $\mathcal{L}_{bc0}$        1.35015278e+00
        2200  $\mathcal{L}_{bc0}$        1.29301795e+00
        2400  $\mathcal{L}_{bc0}$        1.23028969e+00
        2600  $\mathcal{L}_{bc0}$        1.18372560e+00
        2800  $\mathcal{L}_{bc0}$        1.03242178e+00
        3000  $\mathcal{L}_{bc0}$        9.20710971e-01
        3000  $\mathcal{L}_{bc0}$        9.20710971e-01
        4000  $\mathcal{L}_{bc0}$        4.21028767e-01
        5000  $\mathcal{L}_{bc0}$        4.10597094e-01
        6000  $\mathcal{L}_{bc0}$        4.00718296e-01
        7000  $\mathcal{L}_{bc0}$        3.91101188e-01
        8000  $\mathcal{L}_{bc0}$        3.85861773e-01
        9000  $\mathcal{L}_{bc0}$        3.82747386e-01
