Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        3.06818613e+01
         200  $\mathcal{L}_{res}$        3.35233306e-01
         400  $\mathcal{L}_{res}$        2.81237570e-01
         600  $\mathcal{L}_{res}$        2.26746273e-01
         800  $\mathcal{L}_{res}$        1.81350649e-01
        1000  $\mathcal{L}_{res}$        1.83608122e-01
        1200  $\mathcal{L}_{res}$        1.35472891e-01
        1400  $\mathcal{L}_{res}$        2.16303603e-01
        1600  $\mathcal{L}_{res}$        1.32891998e-01
        1800  $\mathcal{L}_{res}$        1.20483431e-01
        2000  $\mathcal{L}_{res}$        1.32067926e-01
        2200  $\mathcal{L}_{res}$        1.03704674e-01
        2400  $\mathcal{L}_{res}$        8.98847633e-02
        2600  $\mathcal{L}_{res}$        8.90650215e-02
        2800  $\mathcal{L}_{res}$        7.95750161e-02
        3000  $\mathcal{L}_{res}$        7.51478403e-02
        3000  $\mathcal{L}_{res}$        7.39336019e-02
        4000  $\mathcal{L}_{res}$        5.16366316e-03
        5000  $\mathcal{L}_{res}$        1.07764731e-03
        6000  $\mathcal{L}_{res}$        3.49527824e-04
        7000  $\mathcal{L}_{res}$        1.91194879e-04
        7309  $\mathcal{L}_{res}$        1.68735485e-04
        7466  $\mathcal{L}_{res}$        1.60920112e-04
        7852  $\mathcal{L}_{res}$        1.35335567e-04
        8143  $\mathcal{L}_{res}$        1.11271454e-04
        8446  $\mathcal{L}_{res}$        9.09509837e-05
        8461  $\mathcal{L}_{res}$        9.01584612e-05
        8591  $\mathcal{L}_{res}$        8.51381033e-05
        8689  $\mathcal{L}_{res}$        8.04923357e-05
        8717  $\mathcal{L}_{res}$        7.98408191e-05
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        1.32451162e+00
         200  $\mathcal{L}_{bc0}$        4.63518106e-01
         400  $\mathcal{L}_{bc0}$        4.32716893e-01
         600  $\mathcal{L}_{bc0}$        4.17454891e-01
         800  $\mathcal{L}_{bc0}$        4.18594726e-01
        1000  $\mathcal{L}_{bc0}$        3.15581730e-01
        1200  $\mathcal{L}_{bc0}$        2.50641332e-01
        1400  $\mathcal{L}_{bc0}$        2.26042110e-01
        1600  $\mathcal{L}_{bc0}$        2.04219259e-01
        1800  $\mathcal{L}_{bc0}$        1.88518117e-01
        2000  $\mathcal{L}_{bc0}$        1.79581156e-01
