Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        1.29661121e+02
         200  $\mathcal{L}_{res}$        9.69469056e-01
         400  $\mathcal{L}_{res}$        7.21201855e-01
         600  $\mathcal{L}_{res}$        6.25479078e-01
         800  $\mathcal{L}_{res}$        5.43076336e-01
        1000  $\mathcal{L}_{res}$        4.91905274e-01
        1200  $\mathcal{L}_{res}$        3.95117674e-01
        1400  $\mathcal{L}_{res}$        3.10925566e-01
        1600  $\mathcal{L}_{res}$        2.71968813e-01
        1800  $\mathcal{L}_{res}$        2.15341522e-01
        2000  $\mathcal{L}_{res}$        1.81067685e-01
        2200  $\mathcal{L}_{res}$        1.51165057e-01
        2400  $\mathcal{L}_{res}$        1.38803734e-01
        2600  $\mathcal{L}_{res}$        1.23941805e-01
        2800  $\mathcal{L}_{res}$        1.20689037e-01
        3000  $\mathcal{L}_{res}$        1.15285265e-01
        3000  $\mathcal{L}_{res}$        1.10538530e-01
        4000  $\mathcal{L}_{res}$        7.63751592e-03
        5000  $\mathcal{L}_{res}$        2.58143981e-03
        6000  $\mathcal{L}_{res}$        1.10588343e-03
        7000  $\mathcal{L}_{res}$        5.70068811e-04
        8000  $\mathcal{L}_{res}$        3.52918603e-04
        8168  $\mathcal{L}_{res}$        3.22524563e-04
        8525  $\mathcal{L}_{res}$        2.61271911e-04
        8914  $\mathcal{L}_{res}$        2.25141904e-04
        8996  $\mathcal{L}_{res}$        2.22564073e-04
        9057  $\mathcal{L}_{res}$        2.23257214e-04
        9139  $\mathcal{L}_{res}$        2.25787044e-04
        9179  $\mathcal{L}_{res}$        2.23344452e-04
        9349  $\mathcal{L}_{res}$        2.29472861e-04
        9578  $\mathcal{L}_{res}$        2.28969929e-04
        9593  $\mathcal{L}_{res}$        2.25879737e-04
       10593  $\mathcal{L}_{res}$        4.97897640e-04
       11593  $\mathcal{L}_{res}$        9.82663294e-04
       12593  $\mathcal{L}_{res}$        3.67523621e-04
       13593  $\mathcal{L}_{res}$        1.95785938e-04
       13650  $\mathcal{L}_{res}$        1.91594970e-04
       13737  $\mathcal{L}_{res}$        1.86022299e-04
       14069  $\mathcal{L}_{res}$        1.55877504e-04
       14254  $\mathcal{L}_{res}$        1.43778214e-04
       14304  $\mathcal{L}_{res}$        1.41273328e-04
       14318  $\mathcal{L}_{res}$        1.40993282e-04
       14398  $\mathcal{L}_{res}$        1.37118260e-04
       14451  $\mathcal{L}_{res}$        1.35219615e-04
       14526  $\mathcal{L}_{res}$        1.32182746e-04
