Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        1.06222183e+04
         200  $\mathcal{L}_{res}$        1.36074362e+02
         400  $\mathcal{L}_{res}$        3.97677492e+01
         600  $\mathcal{L}_{res}$        2.76194827e+01
         800  $\mathcal{L}_{res}$        2.38691347e+01
        1000  $\mathcal{L}_{res}$        2.05486090e+01
        1200  $\mathcal{L}_{res}$        1.83129596e+01
        1400  $\mathcal{L}_{res}$        1.64466538e+01
        1600  $\mathcal{L}_{res}$        1.57407625e+01
        1800  $\mathcal{L}_{res}$        1.48701125e+01
        2000  $\mathcal{L}_{res}$        1.64076006e+01
        2200  $\mathcal{L}_{res}$        1.35812107e+01
        2400  $\mathcal{L}_{res}$        1.22351511e+01
        2600  $\mathcal{L}_{res}$        1.20650951e+01
        2800  $\mathcal{L}_{res}$        1.06557134e+01
        3000  $\mathcal{L}_{res}$        9.77877232e+00
        3000  $\mathcal{L}_{res}$        1.01620971e+01
        4000  $\mathcal{L}_{res}$        2.85708393e-01
        5000  $\mathcal{L}_{res}$        7.56959932e-02
        6000  $\mathcal{L}_{res}$        1.79637467e-02
        7000  $\mathcal{L}_{res}$        1.36482980e-02
        8000  $\mathcal{L}_{res}$        1.14497482e-02
        9000  $\mathcal{L}_{res}$        8.67223715e-03
       10000  $\mathcal{L}_{res}$        6.35730269e-03
       11000  $\mathcal{L}_{res}$        6.21527589e-03
       12000  $\mathcal{L}_{res}$        5.31776887e-03
       13000  $\mathcal{L}_{res}$        4.70539730e-03
       14000  $\mathcal{L}_{res}$        3.63866288e-03
       15000  $\mathcal{L}_{res}$        3.11028985e-03
       16000  $\mathcal{L}_{res}$        2.57409733e-03
       17000  $\mathcal{L}_{res}$        2.36780647e-03
       18000  $\mathcal{L}_{res}$        2.11233703e-03
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        3.48976516e+00
         200  $\mathcal{L}_{bc0}$        9.86685808e-01
         400  $\mathcal{L}_{bc0}$        9.37597957e-01
         600  $\mathcal{L}_{bc0}$        1.02120226e+00
         800  $\mathcal{L}_{bc0}$        1.07951394e+00
        1000  $\mathcal{L}_{bc0}$        1.13018351e+00
        1200  $\mathcal{L}_{bc0}$        1.18077777e+00
        1400  $\mathcal{L}_{bc0}$        1.22922562e+00
