Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        1.93875220e+01
         200  $\mathcal{L}_{res}$        4.64491867e-01
         400  $\mathcal{L}_{res}$        3.63075503e-01
         600  $\mathcal{L}_{res}$        2.68167237e-01
         800  $\mathcal{L}_{res}$        2.27668393e-01
        1000  $\mathcal{L}_{res}$        1.54576946e-01
        1200  $\mathcal{L}_{res}$        1.24255895e-01
        1400  $\mathcal{L}_{res}$        1.14404180e-01
        1600  $\mathcal{L}_{res}$        9.58061603e-02
        1800  $\mathcal{L}_{res}$        8.48598360e-02
        2000  $\mathcal{L}_{res}$        7.87545400e-02
        2200  $\mathcal{L}_{res}$        7.72922545e-02
        2400  $\mathcal{L}_{res}$        7.48263589e-02
        2600  $\mathcal{L}_{res}$        6.26943531e-02
        2800  $\mathcal{L}_{res}$        5.92363350e-02
        3000  $\mathcal{L}_{res}$        7.18440021e-02
        3000  $\mathcal{L}_{res}$        6.11888958e-02
        4000  $\mathcal{L}_{res}$        4.00604110e-03
        5000  $\mathcal{L}_{res}$        1.28168581e-03
        5903  $\mathcal{L}_{res}$        6.50238483e-04
        6903  $\mathcal{L}_{res}$        3.74767851e-04
        7074  $\mathcal{L}_{res}$        3.51992296e-04
        7524  $\mathcal{L}_{res}$        2.90830151e-04
        7534  $\mathcal{L}_{res}$        2.90045358e-04
        7543  $\mathcal{L}_{res}$        2.89111253e-04
        7703  $\mathcal{L}_{res}$        2.68298580e-04
        7840  $\mathcal{L}_{res}$        2.60479418e-04
        7849  $\mathcal{L}_{res}$        2.60221677e-04
        7912  $\mathcal{L}_{res}$        2.56873432e-04
        7956  $\mathcal{L}_{res}$        2.54020573e-04
        7983  $\mathcal{L}_{res}$        2.52433938e-04
        8130  $\mathcal{L}_{res}$        2.37884175e-04
        8221  $\mathcal{L}_{res}$        2.32565243e-04
        8266  $\mathcal{L}_{res}$        2.29934180e-04
        8364  $\mathcal{L}_{res}$        2.24021626e-04
        8381  $\mathcal{L}_{res}$        2.22783553e-04
        8386  $\mathcal{L}_{res}$        2.22553598e-04
        8457  $\mathcal{L}_{res}$        2.18695648e-04
        8546  $\mathcal{L}_{res}$        2.13052454e-04
        8554  $\mathcal{L}_{res}$        2.12472792e-04
        8619  $\mathcal{L}_{res}$        2.09243244e-04
        8640  $\mathcal{L}_{res}$        2.08586483e-04
        8702  $\mathcal{L}_{res}$        2.05662480e-04
        8754  $\mathcal{L}_{res}$        2.02247494e-04
        8776  $\mathcal{L}_{res}$        2.01160695e-04
        8834  $\mathcal{L}_{res}$        1.97073240e-04
        8858  $\mathcal{L}_{res}$        1.96092459e-04
        8926  $\mathcal{L}_{res}$        1.90669089e-04
        8939  $\mathcal{L}_{res}$        1.89732059e-04
        8949  $\mathcal{L}_{res}$        1.89235593e-04
        9024  $\mathcal{L}_{res}$        1.84288332e-04
        9029  $\mathcal{L}_{res}$        1.84230689e-04
        9067  $\mathcal{L}_{res}$        1.82493145e-04
        9113  $\mathcal{L}_{res}$        1.80033612e-04
        9188  $\mathcal{L}_{res}$        1.74807051e-04
        9229  $\mathcal{L}_{res}$        1.72282427e-04
        9238  $\mathcal{L}_{res}$        1.72060048e-04
        9261  $\mathcal{L}_{res}$        1.70482745e-04
        9281  $\mathcal{L}_{res}$        1.70096149e-04
        9286  $\mathcal{L}_{res}$        1.69994591e-04
        9307  $\mathcal{L}_{res}$        1.69282034e-04
        9334  $\mathcal{L}_{res}$        1.67939509e-04
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        1.10074777e+00
         200  $\mathcal{L}_{bc0}$        4.19176770e-01
         400  $\mathcal{L}_{bc0}$        4.04620740e-01
         600  $\mathcal{L}_{bc0}$        3.88554553e-01
         800  $\mathcal{L}_{bc0}$        2.92799661e-01
        1000  $\mathcal{L}_{bc0}$        2.34720403e-01
        1200  $\mathcal{L}_{bc0}$        2.00948491e-01
        1400  $\mathcal{L}_{bc0}$        1.85187000e-01
        1600  $\mathcal{L}_{bc0}$        1.76880985e-01
        1800  $\mathcal{L}_{bc0}$        1.71936748e-01
        2000  $\mathcal{L}_{bc0}$        1.67512561e-01
        2200  $\mathcal{L}_{bc0}$        1.64891207e-01
        2400  $\mathcal{L}_{bc0}$        1.62847899e-01
        2600  $\mathcal{L}_{bc0}$        1.60483796e-01
        2800  $\mathcal{L}_{bc0}$        1.58297801e-01
        3000  $\mathcal{L}_{bc0}$        1.56741545e-01
        3000  $\mathcal{L}_{bc0}$        1.56741545e-01
        4000  $\mathcal{L}_{bc0}$        8.00160580e-02
        5000  $\mathcal{L}_{bc0}$        7.63801549e-02
        5903  $\mathcal{L}_{bc0}$        7.59108116e-02
        6903  $\mathcal{L}_{bc0}$        7.57879794e-02
        7074  $\mathcal{L}_{bc0}$        7.57728898e-02
        7524  $\mathcal{L}_{bc0}$        7.57628408e-02
