Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        3.19479662e+01
         200  $\mathcal{L}_{res}$        7.39627911e-01
         400  $\mathcal{L}_{res}$        5.72380917e-01
         600  $\mathcal{L}_{res}$        4.06685629e-01
         800  $\mathcal{L}_{res}$        2.48151065e-01
        1000  $\mathcal{L}_{res}$        1.80503907e-01
        1200  $\mathcal{L}_{res}$        1.56545573e-01
        1400  $\mathcal{L}_{res}$        1.28328943e-01
        1600  $\mathcal{L}_{res}$        9.82296043e-02
        1800  $\mathcal{L}_{res}$        8.56378947e-02
        2000  $\mathcal{L}_{res}$        7.53216024e-02
        2200  $\mathcal{L}_{res}$        1.16618319e-01
        2400  $\mathcal{L}_{res}$        7.54934295e-02
        2600  $\mathcal{L}_{res}$        6.02886987e-02
        2800  $\mathcal{L}_{res}$        5.47988060e-02
        3000  $\mathcal{L}_{res}$        6.40005003e-02
        3000  $\mathcal{L}_{res}$        5.19084927e-02
        4000  $\mathcal{L}_{res}$        3.66795550e-03
        5000  $\mathcal{L}_{res}$        9.17024630e-04
        6000  $\mathcal{L}_{res}$        3.69464947e-04
        7000  $\mathcal{L}_{res}$        1.72077208e-04
        7412  $\mathcal{L}_{res}$        1.33789603e-04
        7447  $\mathcal{L}_{res}$        1.32163425e-04
        7573  $\mathcal{L}_{res}$        1.21637994e-04
        7598  $\mathcal{L}_{res}$        1.20894799e-04
        7633  $\mathcal{L}_{res}$        1.19719724e-04
        7820  $\mathcal{L}_{res}$        1.12965160e-04
        7835  $\mathcal{L}_{res}$        1.12481494e-04
        7862  $\mathcal{L}_{res}$        1.11294918e-04
        7873  $\mathcal{L}_{res}$        1.10949354e-04
        7899  $\mathcal{L}_{res}$        1.09999568e-04
        7914  $\mathcal{L}_{res}$        1.09433693e-04
        7934  $\mathcal{L}_{res}$        1.08978889e-04
        7938  $\mathcal{L}_{res}$        1.08718960e-04
        7961  $\mathcal{L}_{res}$        1.08121370e-04
        8095  $\mathcal{L}_{res}$        1.02653961e-04
        8161  $\mathcal{L}_{res}$        1.00332251e-04
        8197  $\mathcal{L}_{res}$        9.89421142e-05
        8253  $\mathcal{L}_{res}$        9.60227154e-05
        8262  $\mathcal{L}_{res}$        9.58679246e-05
