Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        9.74411116e+02
         200  $\mathcal{L}_{res}$        1.85168077e+00
         400  $\mathcal{L}_{res}$        1.43661471e+00
         600  $\mathcal{L}_{res}$        1.21192248e+00
         800  $\mathcal{L}_{res}$        1.07749202e+00
        1000  $\mathcal{L}_{res}$        9.66494735e-01
        1200  $\mathcal{L}_{res}$        8.93600193e-01
        1400  $\mathcal{L}_{res}$        8.05512992e-01
        1600  $\mathcal{L}_{res}$        7.20779161e-01
        1800  $\mathcal{L}_{res}$        6.72651892e-01
        2000  $\mathcal{L}_{res}$        5.77321438e-01
        2200  $\mathcal{L}_{res}$        5.13368847e-01
        2400  $\mathcal{L}_{res}$        3.38994480e-01
        2600  $\mathcal{L}_{res}$        2.60028137e-01
        2800  $\mathcal{L}_{res}$        2.30327195e-01
        3000  $\mathcal{L}_{res}$        1.79033994e-01
        3000  $\mathcal{L}_{res}$        2.15030151e-01
        4000  $\mathcal{L}_{res}$        9.66924502e-03
        5000  $\mathcal{L}_{res}$        4.37176889e-03
        6000  $\mathcal{L}_{res}$        2.21204641e-03
        7000  $\mathcal{L}_{res}$        1.55206727e-03
        8000  $\mathcal{L}_{res}$        1.13059232e-03
        9000  $\mathcal{L}_{res}$        7.43409628e-04
        9924  $\mathcal{L}_{res}$        5.68647638e-04
        9967  $\mathcal{L}_{res}$        5.62859201e-04
       10035  $\mathcal{L}_{res}$        5.55271564e-04
       10384  $\mathcal{L}_{res}$        4.78829019e-04
       10974  $\mathcal{L}_{res}$        4.23144594e-04
       11021  $\mathcal{L}_{res}$        4.17248618e-04
       11204  $\mathcal{L}_{res}$        4.09002302e-04
       11380  $\mathcal{L}_{res}$        4.00827096e-04
       11403  $\mathcal{L}_{res}$        4.00612174e-04
       11444  $\mathcal{L}_{res}$        3.97164627e-04
       11516  $\mathcal{L}_{res}$        3.92668874e-04
       11895  $\mathcal{L}_{res}$        3.71233506e-04
       12242  $\mathcal{L}_{res}$        3.41586599e-04
       12441  $\mathcal{L}_{res}$        3.29118274e-04
       12598  $\mathcal{L}_{res}$        3.19370044e-04
       12619  $\mathcal{L}_{res}$        3.16923140e-04
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        1.17461089e+01
         200  $\mathcal{L}_{bc0}$        4.56312187e-01
         400  $\mathcal{L}_{bc0}$        4.39463206e-01
         600  $\mathcal{L}_{bc0}$        4.35346329e-01
         800  $\mathcal{L}_{bc0}$        4.41789560e-01
        1000  $\mathcal{L}_{bc0}$        4.48929643e-01
        1200  $\mathcal{L}_{bc0}$        4.55628051e-01
        1400  $\mathcal{L}_{bc0}$        4.63783445e-01
        1600  $\mathcal{L}_{bc0}$        4.74213379e-01
