Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        8.38748632e+02
         200  $\mathcal{L}_{res}$        8.46280482e+00
         400  $\mathcal{L}_{res}$        4.76566882e+00
         600  $\mathcal{L}_{res}$        3.76449772e+00
         800  $\mathcal{L}_{res}$        3.07911839e+00
        1000  $\mathcal{L}_{res}$        2.76623732e+00
        1200  $\mathcal{L}_{res}$        2.49058707e+00
        1400  $\mathcal{L}_{res}$        2.18985069e+00
        1600  $\mathcal{L}_{res}$        1.88905346e+00
        1800  $\mathcal{L}_{res}$        1.51570468e+00
        2000  $\mathcal{L}_{res}$        1.24002972e+00
        2200  $\mathcal{L}_{res}$        9.26267374e-01
        2400  $\mathcal{L}_{res}$        8.91062572e-01
        2600  $\mathcal{L}_{res}$        5.96455540e-01
        2800  $\mathcal{L}_{res}$        4.83443949e-01
        3000  $\mathcal{L}_{res}$        4.85028469e-01
        3000  $\mathcal{L}_{res}$        4.67827852e-01
        4000  $\mathcal{L}_{res}$        1.27482681e-02
        5000  $\mathcal{L}_{res}$        8.26715448e-03
        6000  $\mathcal{L}_{res}$        5.24003128e-03
        7000  $\mathcal{L}_{res}$        2.88426637e-03
        8000  $\mathcal{L}_{res}$        2.32584659e-03
        9000  $\mathcal{L}_{res}$        2.07904787e-03
       10000  $\mathcal{L}_{res}$        2.03924330e-03
       11000  $\mathcal{L}_{res}$        2.45274502e-03
       12000  $\mathcal{L}_{res}$        2.19574116e-03
       13000  $\mathcal{L}_{res}$        1.57731354e-03
       14000  $\mathcal{L}_{res}$        1.19647316e-03
       15000  $\mathcal{L}_{res}$        8.89634754e-04
       15720  $\mathcal{L}_{res}$        7.21877345e-04
       16080  $\mathcal{L}_{res}$        6.56233411e-04
       16139  $\mathcal{L}_{res}$        6.48891385e-04
       16229  $\mathcal{L}_{res}$        6.33161250e-04
       16358  $\mathcal{L}_{res}$        6.21704226e-04
       16436  $\mathcal{L}_{res}$        6.15391995e-04
       16440  $\mathcal{L}_{res}$        6.15177311e-04
       16593  $\mathcal{L}_{res}$        5.98560376e-04
       16696  $\mathcal{L}_{res}$        5.82418662e-04
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        3.90734761e-01
         200  $\mathcal{L}_{bc0}$        8.95139866e-01
         400  $\mathcal{L}_{bc0}$        8.37972032e-01
         600  $\mathcal{L}_{bc0}$        8.88391307e-01
         800  $\mathcal{L}_{bc0}$        9.36882270e-01
        1000  $\mathcal{L}_{bc0}$        9.68610440e-01
        1200  $\mathcal{L}_{bc0}$        9.95198555e-01
        1400  $\mathcal{L}_{bc0}$        9.94209631e-01
        1600  $\mathcal{L}_{bc0}$        1.01555435e+00
        1800  $\mathcal{L}_{bc0}$        9.72681228e-01
        2000  $\mathcal{L}_{bc0}$        8.89610469e-01
        2200  $\mathcal{L}_{bc0}$        7.67269247e-01
        2400  $\mathcal{L}_{bc0}$        6.83320836e-01
        2600  $\mathcal{L}_{bc0}$        5.38310113e-01
        2800  $\mathcal{L}_{bc0}$        4.31346519e-01
        3000  $\mathcal{L}_{bc0}$        3.41989285e-01
        3000  $\mathcal{L}_{bc0}$        3.41989285e-01
        4000  $\mathcal{L}_{bc0}$        1.37934662e-01
        5000  $\mathcal{L}_{bc0}$        1.26829484e-01
        6000  $\mathcal{L}_{bc0}$        1.20687127e-01
        7000  $\mathcal{L}_{bc0}$        1.18450530e-01
        8000  $\mathcal{L}_{bc0}$        1.16735052e-01
        9000  $\mathcal{L}_{bc0}$        1.15550703e-01
       10000  $\mathcal{L}_{bc0}$        1.14171567e-01
       11000  $\mathcal{L}_{bc0}$        1.12090329e-01
       12000  $\mathcal{L}_{bc0}$        1.10165476e-01
       13000  $\mathcal{L}_{bc0}$        1.09730762e-01
       14000  $\mathcal{L}_{bc0}$        1.09488053e-01
       15000  $\mathcal{L}_{bc0}$        1.09320433e-01
       15720  $\mathcal{L}_{bc0}$        1.09298757e-01
       16080  $\mathcal{L}_{bc0}$        1.09280663e-01
