Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        4.23164179e+03
         200  $\mathcal{L}_{res}$        7.77238856e+01
         400  $\mathcal{L}_{res}$        2.56528558e+01
         600  $\mathcal{L}_{res}$        2.02040359e+01
         800  $\mathcal{L}_{res}$        1.79236067e+01
        1000  $\mathcal{L}_{res}$        1.65082093e+01
        1200  $\mathcal{L}_{res}$        1.53201193e+01
        1400  $\mathcal{L}_{res}$        1.41834626e+01
        1600  $\mathcal{L}_{res}$        1.34336168e+01
        1800  $\mathcal{L}_{res}$        1.23549151e+01
        2000  $\mathcal{L}_{res}$        1.11066521e+01
        2200  $\mathcal{L}_{res}$        1.01114707e+01
        2400  $\mathcal{L}_{res}$        8.73540169e+00
        2600  $\mathcal{L}_{res}$        8.56667231e+00
        2800  $\mathcal{L}_{res}$        1.20929672e+01
        3000  $\mathcal{L}_{res}$        6.59467394e+00
        3000  $\mathcal{L}_{res}$        7.02767892e+00
        4000  $\mathcal{L}_{res}$        1.35105831e-01
        5000  $\mathcal{L}_{res}$        6.37634390e-02
        5998  $\mathcal{L}_{res}$        1.94508405e-02
        6998  $\mathcal{L}_{res}$        1.38217146e-02
        7998  $\mathcal{L}_{res}$        1.09924387e-02
        8998  $\mathcal{L}_{res}$        8.94626067e-03
        9998  $\mathcal{L}_{res}$        8.01531007e-03
       10998  $\mathcal{L}_{res}$        7.76314588e-03
       11998  $\mathcal{L}_{res}$        6.72686627e-03
       12998  $\mathcal{L}_{res}$        6.50488404e-03
       13998  $\mathcal{L}_{res}$        6.37662650e-03
       14998  $\mathcal{L}_{res}$        5.46335828e-03
       15998  $\mathcal{L}_{res}$        4.60349612e-03
       16998  $\mathcal{L}_{res}$        3.75118774e-03
       17998  $\mathcal{L}_{res}$        3.08930502e-03
       18998  $\mathcal{L}_{res}$        2.72686349e-03
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        1.35506645e+00
         200  $\mathcal{L}_{bc0}$        1.13896716e+00
         400  $\mathcal{L}_{bc0}$        1.14663452e+00
         600  $\mathcal{L}_{bc0}$        1.24383791e+00
         800  $\mathcal{L}_{bc0}$        1.32926808e+00
        1000  $\mathcal{L}_{bc0}$        1.36913296e+00
        1200  $\mathcal{L}_{bc0}$        1.45506922e+00
        1400  $\mathcal{L}_{bc0}$        1.51377587e+00
        1600  $\mathcal{L}_{bc0}$        1.56094812e+00
        1800  $\mathcal{L}_{bc0}$        1.61178249e+00
        2000  $\mathcal{L}_{bc0}$        1.70346784e+00
        2200  $\mathcal{L}_{bc0}$        1.70931254e+00
        2400  $\mathcal{L}_{bc0}$        1.72336591e+00
        2600  $\mathcal{L}_{bc0}$        1.69921142e+00
        2800  $\mathcal{L}_{bc0}$        1.83836220e+00
        3000  $\mathcal{L}_{bc0}$        1.46722208e+00
        3000  $\mathcal{L}_{bc0}$        1.46722208e+00
        4000  $\mathcal{L}_{bc0}$        1.55963996e-01
        5000  $\mathcal{L}_{bc0}$        1.45674943e-01
        5998  $\mathcal{L}_{bc0}$        1.43492775e-01
        6998  $\mathcal{L}_{bc0}$        1.37887028e-01
        7998  $\mathcal{L}_{bc0}$        1.33570330e-01
        8998  $\mathcal{L}_{bc0}$        1.31266119e-01
