Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        9.00205325e+01
         200  $\mathcal{L}_{res}$        5.62683219e-01
         400  $\mathcal{L}_{res}$        4.72617148e-01
         600  $\mathcal{L}_{res}$        4.12934063e-01
         800  $\mathcal{L}_{res}$        3.55553464e-01
        1000  $\mathcal{L}_{res}$        3.21412955e-01
        1200  $\mathcal{L}_{res}$        2.55541865e-01
        1400  $\mathcal{L}_{res}$        1.95453537e-01
        1600  $\mathcal{L}_{res}$        1.95565829e-01
        1800  $\mathcal{L}_{res}$        1.68139948e-01
        2000  $\mathcal{L}_{res}$        1.51539420e-01
        2200  $\mathcal{L}_{res}$        1.35149358e-01
        2400  $\mathcal{L}_{res}$        4.10512402e-01
        2600  $\mathcal{L}_{res}$        1.22356927e-01
        2800  $\mathcal{L}_{res}$        1.21428959e-01
        3000  $\mathcal{L}_{res}$        1.22765618e-01
        3000  $\mathcal{L}_{res}$        1.18964745e-01
        4000  $\mathcal{L}_{res}$        5.65389684e-03
        5000  $\mathcal{L}_{res}$        2.33047349e-03
        6000  $\mathcal{L}_{res}$        1.12941186e-03
        7000  $\mathcal{L}_{res}$        5.79911663e-04
        7749  $\mathcal{L}_{res}$        3.68863339e-04
        7816  $\mathcal{L}_{res}$        3.65089107e-04
        8396  $\mathcal{L}_{res}$        2.71335837e-04
        8743  $\mathcal{L}_{res}$        2.58231329e-04
        8885  $\mathcal{L}_{res}$        2.51557447e-04
        9342  $\mathcal{L}_{res}$        2.24536449e-04
       10342  $\mathcal{L}_{res}$        4.15595605e-04
       11342  $\mathcal{L}_{res}$        5.34764791e-04
       12324  $\mathcal{L}_{res}$        2.52550039e-04
       12781  $\mathcal{L}_{res}$        1.95316788e-04
       13046  $\mathcal{L}_{res}$        1.70124231e-04
       13315  $\mathcal{L}_{res}$        1.44870459e-04
       13339  $\mathcal{L}_{res}$        1.43529128e-04
       13441  $\mathcal{L}_{res}$        1.38753089e-04
       13454  $\mathcal{L}_{res}$        1.38229979e-04
       13460  $\mathcal{L}_{res}$        1.38150970e-04
       13530  $\mathcal{L}_{res}$        1.34603546e-04
       13542  $\mathcal{L}_{res}$        1.34331163e-04
       13676  $\mathcal{L}_{res}$        1.26712984e-04
       13700  $\mathcal{L}_{res}$        1.25302292e-04
       13736  $\mathcal{L}_{res}$        1.23552769e-04
       13771  $\mathcal{L}_{res}$        1.21086295e-04
       13791  $\mathcal{L}_{res}$        1.19352908e-04
       13868  $\mathcal{L}_{res}$        1.16264881e-04
       13985  $\mathcal{L}_{res}$        1.10702335e-04
       14030  $\mathcal{L}_{res}$        1.07661414e-04
       14140  $\mathcal{L}_{res}$        1.01471046e-04
       14153  $\mathcal{L}_{res}$        1.00763867e-04
       14309  $\mathcal{L}_{res}$        9.24733279e-05
       14317  $\mathcal{L}_{res}$        9.22414455e-05
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        1.12413390e+00
         200  $\mathcal{L}_{bc0}$        4.83372635e-01
         400  $\mathcal{L}_{bc0}$        4.78049691e-01
         600  $\mathcal{L}_{bc0}$        4.76447644e-01
         800  $\mathcal{L}_{bc0}$        4.67467494e-01
        1000  $\mathcal{L}_{bc0}$        4.62639840e-01
        1200  $\mathcal{L}_{bc0}$        4.40469215e-01
        1400  $\mathcal{L}_{bc0}$        3.41994785e-01
        1600  $\mathcal{L}_{bc0}$        2.94687388e-01
        1800  $\mathcal{L}_{bc0}$        2.62700481e-01
        2000  $\mathcal{L}_{bc0}$        2.40960507e-01
        2200  $\mathcal{L}_{bc0}$        2.28495863e-01
        2400  $\mathcal{L}_{bc0}$        2.37200378e-01
        2600  $\mathcal{L}_{bc0}$        2.15770024e-01
        2800  $\mathcal{L}_{bc0}$        2.12342199e-01
        3000  $\mathcal{L}_{bc0}$        2.08655795e-01
        3000  $\mathcal{L}_{bc0}$        2.08655795e-01
        4000  $\mathcal{L}_{bc0}$        1.16045437e-01
        5000  $\mathcal{L}_{bc0}$        1.12961749e-01
        6000  $\mathcal{L}_{bc0}$        1.11604461e-01
        7000  $\mathcal{L}_{bc0}$        1.11395362e-01
        7749  $\mathcal{L}_{bc0}$        1.11349484e-01
