Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        1.10306096e+02
         200  $\mathcal{L}_{res}$        5.87338212e-01
         400  $\mathcal{L}_{res}$        4.34105777e-01
         600  $\mathcal{L}_{res}$        3.52175589e-01
         800  $\mathcal{L}_{res}$        3.32740132e-01
        1000  $\mathcal{L}_{res}$        3.00578900e-01
        1200  $\mathcal{L}_{res}$        2.93171485e-01
        1400  $\mathcal{L}_{res}$        2.55093494e-01
        1600  $\mathcal{L}_{res}$        2.34669856e-01
        1800  $\mathcal{L}_{res}$        2.12681466e-01
        2000  $\mathcal{L}_{res}$        1.89452289e-01
        2200  $\mathcal{L}_{res}$        1.94226746e-01
        2400  $\mathcal{L}_{res}$        1.79285332e-01
        2600  $\mathcal{L}_{res}$        1.89451959e-01
        2800  $\mathcal{L}_{res}$        1.78942490e-01
        3000  $\mathcal{L}_{res}$        1.68855864e-01
        3000  $\mathcal{L}_{res}$        1.75838018e-01
        4000  $\mathcal{L}_{res}$        1.26710121e-02
        5000  $\mathcal{L}_{res}$        4.83835368e-03
        6000  $\mathcal{L}_{res}$        2.81017024e-03
        7000  $\mathcal{L}_{res}$        1.56720595e-03
        8000  $\mathcal{L}_{res}$        8.26226488e-04
        8600  $\mathcal{L}_{res}$        6.44512095e-04
        8975  $\mathcal{L}_{res}$        5.59514865e-04
        9737  $\mathcal{L}_{res}$        4.00621424e-04
       10111  $\mathcal{L}_{res}$        3.50303973e-04
       10333  $\mathcal{L}_{res}$        3.17604077e-04
       10544  $\mathcal{L}_{res}$        2.91226554e-04
       10648  $\mathcal{L}_{res}$        2.82682137e-04
       10663  $\mathcal{L}_{res}$        2.83520282e-04
       10672  $\mathcal{L}_{res}$        2.83213696e-04
       10729  $\mathcal{L}_{res}$        2.75555462e-04
       10767  $\mathcal{L}_{res}$        2.72588239e-04
       10807  $\mathcal{L}_{res}$        2.69019788e-04
       10949  $\mathcal{L}_{res}$        2.59916318e-04
       10991  $\mathcal{L}_{res}$        2.59118595e-04
       11087  $\mathcal{L}_{res}$        2.56145078e-04
       11116  $\mathcal{L}_{res}$        2.56815504e-04
       11315  $\mathcal{L}_{res}$        2.49000447e-04
       11331  $\mathcal{L}_{res}$        2.50510128e-04
       11336  $\mathcal{L}_{res}$        2.50450945e-04
       11364  $\mathcal{L}_{res}$        2.49469407e-04
       11412  $\mathcal{L}_{res}$        2.50525794e-04
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        1.35506645e+00
         200  $\mathcal{L}_{bc0}$        4.84192866e-01
         400  $\mathcal{L}_{bc0}$        4.80565986e-01
         600  $\mathcal{L}_{bc0}$        4.27601811e-01
         800  $\mathcal{L}_{bc0}$        4.00810384e-01
        1000  $\mathcal{L}_{bc0}$        3.82433243e-01
        1200  $\mathcal{L}_{bc0}$        3.65330588e-01
        1400  $\mathcal{L}_{bc0}$        3.49147888e-01
        1600  $\mathcal{L}_{bc0}$        3.26469521e-01
        1800  $\mathcal{L}_{bc0}$        3.11143006e-01
        2000  $\mathcal{L}_{bc0}$        2.96504534e-01
        2200  $\mathcal{L}_{bc0}$        2.83644963e-01
        2400  $\mathcal{L}_{bc0}$        2.73977565e-01
        2600  $\mathcal{L}_{bc0}$        2.61281768e-01
        2800  $\mathcal{L}_{bc0}$        2.45554487e-01
        3000  $\mathcal{L}_{bc0}$        2.33392922e-01
        3000  $\mathcal{L}_{bc0}$        2.33392922e-01
        4000  $\mathcal{L}_{bc0}$        1.19584439e-01
        5000  $\mathcal{L}_{bc0}$        1.14144240e-01
        6000  $\mathcal{L}_{bc0}$        1.11772372e-01
        7000  $\mathcal{L}_{bc0}$        1.10902438e-01
        8000  $\mathcal{L}_{bc0}$        1.10644097e-01
        8600  $\mathcal{L}_{bc0}$        1.10541759e-01
        8975  $\mathcal{L}_{bc0}$        1.10482234e-01
        9737  $\mathcal{L}_{bc0}$        1.10407092e-01
       10111  $\mathcal{L}_{bc0}$        1.10384264e-01
       10333  $\mathcal{L}_{bc0}$        1.10367289e-01
       10544  $\mathcal{L}_{bc0}$        1.10345634e-01
       10648  $\mathcal{L}_{bc0}$        1.10338957e-01
       10663  $\mathcal{L}_{bc0}$        1.10337331e-01
       10672  $\mathcal{L}_{bc0}$        1.10336556e-01
       10729  $\mathcal{L}_{bc0}$        1.10338395e-01
       10767  $\mathcal{L}_{bc0}$        1.10337945e-01
       10807  $\mathcal{L}_{bc0}$        1.10334056e-01
       10949  $\mathcal{L}_{bc0}$        1.10323678e-01
       10991  $\mathcal{L}_{bc0}$        1.10320926e-01
       11087  $\mathcal{L}_{bc0}$        1.10311686e-01
       11116  $\mathcal{L}_{bc0}$        1.10307925e-01
       11315  $\mathcal{L}_{bc0}$        1.10291377e-01
       11331  $\mathcal{L}_{bc0}$        1.10287766e-01
       11336  $\mathcal{L}_{bc0}$        1.10287452e-01
       11364  $\mathcal{L}_{bc0}$        1.10285464e-01
       11412  $\mathcal{L}_{bc0}$        1.10280191e-01
--------------------------------------------------
           0     test loss        1.05306043e+02
         200     test loss        7.09188135e-01
         400     test loss        5.83557609e-01
         600     test loss        5.05435331e-01
         800     test loss        4.74564438e-01
        1000     test loss        4.51672333e-01
        1200     test loss        4.28227224e-01
        1400     test loss        4.02847949e-01
        1600     test loss        3.74557626e-01
        1800     test loss        3.47291878e-01
        2000     test loss        3.32020680e-01
        2200     test loss        3.16905863e-01
        2400     test loss        3.05617171e-01
        2600     test loss        2.94879979e-01
        2800     test loss        2.77265511e-01
        3000     test loss        2.64217105e-01
        3000     test loss        2.64217105e-01
        4000     test loss        1.22736407e-01
        5000     test loss        1.14924600e-01
        6000     test loss        1.12497261e-01
        7000     test loss        1.11330231e-01
        8000     test loss        1.10900908e-01
        8600     test loss        1.10794438e-01
        8975     test loss        1.10705233e-01
        9737     test loss        1.10570501e-01
       10111     test loss        1.10510531e-01
       10333     test loss        1.10489487e-01
       10544     test loss        1.10456891e-01
       10648     test loss        1.10453723e-01
       10663     test loss        1.10451657e-01
       10672     test loss        1.10448447e-01
       10729     test loss        1.10449529e-01
       10767     test loss        1.10450965e-01
       10807     test loss        1.10448535e-01
       10949     test loss        1.10428473e-01
       10991     test loss        1.10424561e-01
       11087     test loss        1.10402461e-01
       11116     test loss        1.10401687e-01
       11315     test loss        1.10391483e-01
       11331     test loss        1.10386211e-01
       11336     test loss        1.10385689e-01
       11364     test loss        1.10385828e-01
       11412     test loss        1.10382424e-01
--------------------------------------------------
           0    train loss        1.11661162e+02
         200    train loss        1.07153108e+00
         400    train loss        9.14671763e-01
         600    train loss        7.79777400e-01
         800    train loss        7.33550516e-01
        1000    train loss        6.83012142e-01
        1200    train loss        6.58502073e-01
        1400    train loss        6.04241382e-01
        1600    train loss        5.61139377e-01
        1800    train loss        5.23824473e-01
        2000    train loss        4.85956824e-01
        2200    train loss        4.77871709e-01
        2400    train loss        4.53262897e-01
        2600    train loss        4.50733726e-01
        2800    train loss        4.24496977e-01
        3000    train loss        4.02248786e-01
        3000    train loss        4.09230940e-01
        4000    train loss        1.32255452e-01
        5000    train loss        1.18982594e-01
        6000    train loss        1.14582542e-01
        7000    train loss        1.12469643e-01
        8000    train loss        1.11470324e-01
        8600    train loss        1.11186271e-01
        8975    train loss        1.11041749e-01
        9737    train loss        1.10807713e-01
       10111    train loss        1.10734568e-01
       10333    train loss        1.10684893e-01
       10544    train loss        1.10636860e-01
       10648    train loss        1.10621640e-01
       10663    train loss        1.10620852e-01
       10672    train loss        1.10619769e-01
       10729    train loss        1.10613950e-01
       10767    train loss        1.10610534e-01
       10807    train loss        1.10603076e-01
       10949    train loss        1.10583595e-01
       10991    train loss        1.10580044e-01
       11087    train loss        1.10567831e-01
       11116    train loss        1.10564740e-01
       11315    train loss        1.10540377e-01
       11331    train loss        1.10538276e-01
       11336    train loss        1.10537903e-01
       11364    train loss        1.10534933e-01
       11412    train loss        1.10530717e-01
--------------------------------------------------
