Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        4.52215934e+01
         200  $\mathcal{L}_{res}$        3.07754068e-01
         400  $\mathcal{L}_{res}$        2.72514720e-01
         600  $\mathcal{L}_{res}$        2.25319552e-01
         800  $\mathcal{L}_{res}$        1.86520474e-01
        1000  $\mathcal{L}_{res}$        1.51165342e-01
        1200  $\mathcal{L}_{res}$        1.38771535e-01
        1400  $\mathcal{L}_{res}$        1.23960443e-01
        1600  $\mathcal{L}_{res}$        1.19984286e-01
        1800  $\mathcal{L}_{res}$        1.17185888e-01
        2000  $\mathcal{L}_{res}$        1.14640860e-01
        2200  $\mathcal{L}_{res}$        1.02324175e-01
        2400  $\mathcal{L}_{res}$        9.64350218e-02
        2600  $\mathcal{L}_{res}$        8.25371226e-02
        2800  $\mathcal{L}_{res}$        7.38282897e-02
        3000  $\mathcal{L}_{res}$        7.57896086e-02
        3000  $\mathcal{L}_{res}$        7.33520376e-02
        4000  $\mathcal{L}_{res}$        3.51851610e-03
        5000  $\mathcal{L}_{res}$        6.13524156e-04
        5512  $\mathcal{L}_{res}$        3.81810392e-04
        6382  $\mathcal{L}_{res}$        2.05820653e-04
        6722  $\mathcal{L}_{res}$        1.63689824e-04
        6867  $\mathcal{L}_{res}$        1.46348303e-04
        6926  $\mathcal{L}_{res}$        1.42198005e-04
        6985  $\mathcal{L}_{res}$        1.38088635e-04
        7063  $\mathcal{L}_{res}$        1.33433348e-04
        7225  $\mathcal{L}_{res}$        1.21285155e-04
        7306  $\mathcal{L}_{res}$        1.17507622e-04
        7402  $\mathcal{L}_{res}$        1.10500652e-04
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        3.90734761e-01
         200  $\mathcal{L}_{bc0}$        5.33865062e-01
         400  $\mathcal{L}_{bc0}$        5.09349613e-01
         600  $\mathcal{L}_{bc0}$        4.66464774e-01
         800  $\mathcal{L}_{bc0}$        4.53032217e-01
        1000  $\mathcal{L}_{bc0}$        4.30196719e-01
        1200  $\mathcal{L}_{bc0}$        3.65821588e-01
        1400  $\mathcal{L}_{bc0}$        3.24495589e-01
        1600  $\mathcal{L}_{bc0}$        2.91315286e-01
        1800  $\mathcal{L}_{bc0}$        2.70978983e-01
        2000  $\mathcal{L}_{bc0}$        2.58774883e-01
        2200  $\mathcal{L}_{bc0}$        2.49606993e-01
        2400  $\mathcal{L}_{bc0}$        2.40602752e-01
        2600  $\mathcal{L}_{bc0}$        2.31974662e-01
        2800  $\mathcal{L}_{bc0}$        2.22791013e-01
        3000  $\mathcal{L}_{bc0}$        2.12374076e-01
        3000  $\mathcal{L}_{bc0}$        2.12374076e-01
        4000  $\mathcal{L}_{bc0}$        1.11291987e-01
        5000  $\mathcal{L}_{bc0}$        1.09310236e-01
        5512  $\mathcal{L}_{bc0}$        1.09238258e-01
        6382  $\mathcal{L}_{bc0}$        1.09213708e-01
        6722  $\mathcal{L}_{bc0}$        1.09210852e-01
        6867  $\mathcal{L}_{bc0}$        1.09209269e-01
        6926  $\mathcal{L}_{bc0}$        1.09207991e-01
        6985  $\mathcal{L}_{bc0}$        1.09207137e-01
        7063  $\mathcal{L}_{bc0}$        1.09206451e-01
        7225  $\mathcal{L}_{bc0}$        1.09204889e-01
        7306  $\mathcal{L}_{bc0}$        1.09203675e-01
        7402  $\mathcal{L}_{bc0}$        1.09203019e-01
--------------------------------------------------
           0     test loss        5.47690451e+01
         200     test loss        6.59159190e-01
         400     test loss        6.05173732e-01
         600     test loss        5.30640772e-01
         800     test loss        5.05885887e-01
        1000     test loss        4.61021477e-01
        1200     test loss        3.93890011e-01
        1400     test loss        3.51437362e-01
        1600     test loss        3.19837732e-01
        1800     test loss        3.03326948e-01
        2000     test loss        2.89733441e-01
        2200     test loss        2.77324848e-01
        2400     test loss        2.64796608e-01
        2600     test loss        2.51724101e-01
        2800     test loss        2.40406546e-01
        3000     test loss        2.30981766e-01
        3000     test loss        2.30981766e-01
        4000     test loss        1.13009866e-01
        5000     test loss        1.09652576e-01
        5512     test loss        1.09463598e-01
        6382     test loss        1.09361455e-01
        6722     test loss        1.09316073e-01
        6867     test loss        1.09301527e-01
        6926     test loss        1.09290886e-01
        6985     test loss        1.09288242e-01
        7063     test loss        1.09289269e-01
        7225     test loss        1.09275150e-01
        7306     test loss        1.09270669e-01
        7402     test loss        1.09265056e-01
--------------------------------------------------
           0    train loss        4.56123282e+01
         200    train loss        8.41619130e-01
         400    train loss        7.81864332e-01
         600    train loss        6.91784326e-01
         800    train loss        6.39552690e-01
        1000    train loss        5.81362060e-01
        1200    train loss        5.04593123e-01
        1400    train loss        4.48456033e-01
        1600    train loss        4.11299572e-01
        1800    train loss        3.88164871e-01
        2000    train loss        3.73415742e-01
        2200    train loss        3.51931168e-01
        2400    train loss        3.37037774e-01
        2600    train loss        3.14511785e-01
        2800    train loss        2.96619303e-01
        3000    train loss        2.88163684e-01
        3000    train loss        2.85726113e-01
        4000    train loss        1.14810503e-01
        5000    train loss        1.09923760e-01
        5512    train loss        1.09620069e-01
        6382    train loss        1.09419529e-01
        6722    train loss        1.09374542e-01
        6867    train loss        1.09355617e-01
        6926    train loss        1.09350189e-01
        6985    train loss        1.09345225e-01
        7063    train loss        1.09339884e-01
        7225    train loss        1.09326174e-01
        7306    train loss        1.09321183e-01
        7402    train loss        1.09313519e-01
--------------------------------------------------
