Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        4.61465250e+01
         200  $\mathcal{L}_{res}$        3.20221379e-01
         400  $\mathcal{L}_{res}$        2.99424994e-01
         600  $\mathcal{L}_{res}$        2.47955073e-01
         800  $\mathcal{L}_{res}$        2.13265993e-01
        1000  $\mathcal{L}_{res}$        2.04523560e-01
        1200  $\mathcal{L}_{res}$        1.79627438e-01
        1400  $\mathcal{L}_{res}$        1.66827699e-01
        1600  $\mathcal{L}_{res}$        1.78192492e-01
        1800  $\mathcal{L}_{res}$        1.43781206e-01
        2000  $\mathcal{L}_{res}$        1.21848309e-01
        2200  $\mathcal{L}_{res}$        1.03745892e-01
        2400  $\mathcal{L}_{res}$        9.23550685e-02
        2600  $\mathcal{L}_{res}$        9.18855954e-02
        2800  $\mathcal{L}_{res}$        1.73732929e-01
        3000  $\mathcal{L}_{res}$        7.89766840e-02
        3000  $\mathcal{L}_{res}$        7.92313248e-02
        4000  $\mathcal{L}_{res}$        3.59696571e-03
        5000  $\mathcal{L}_{res}$        1.03844984e-03
        6000  $\mathcal{L}_{res}$        4.71626418e-04
        7000  $\mathcal{L}_{res}$        2.61276213e-04
        8000  $\mathcal{L}_{res}$        1.68618072e-04
        8109  $\mathcal{L}_{res}$        1.56816822e-04
        8469  $\mathcal{L}_{res}$        1.29522524e-04
        8561  $\mathcal{L}_{res}$        1.21304651e-04
        8733  $\mathcal{L}_{res}$        1.15556249e-04
        8816  $\mathcal{L}_{res}$        1.10196093e-04
        8948  $\mathcal{L}_{res}$        1.03984775e-04
        8965  $\mathcal{L}_{res}$        1.02768485e-04
        9077  $\mathcal{L}_{res}$        9.76410659e-05
        9080  $\mathcal{L}_{res}$        9.76577567e-05
        9124  $\mathcal{L}_{res}$        9.58695972e-05
        9174  $\mathcal{L}_{res}$        9.40355011e-05
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        1.69686824e+00
         200  $\mathcal{L}_{bc0}$        5.31592792e-01
         400  $\mathcal{L}_{bc0}$        5.18921038e-01
         600  $\mathcal{L}_{bc0}$        4.91093713e-01
         800  $\mathcal{L}_{bc0}$        4.78211730e-01
