Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        9.78932643e+02
         200  $\mathcal{L}_{res}$        1.59195056e+00
         400  $\mathcal{L}_{res}$        1.28111859e+00
         600  $\mathcal{L}_{res}$        1.09783168e+00
         800  $\mathcal{L}_{res}$        9.89213265e-01
        1000  $\mathcal{L}_{res}$        9.05582998e-01
        1200  $\mathcal{L}_{res}$        8.49143732e-01
        1400  $\mathcal{L}_{res}$        7.76487503e-01
        1600  $\mathcal{L}_{res}$        7.08460665e-01
        1800  $\mathcal{L}_{res}$        6.74546966e-01
        2000  $\mathcal{L}_{res}$        6.03344357e-01
        2200  $\mathcal{L}_{res}$        5.52390754e-01
        2400  $\mathcal{L}_{res}$        3.98427230e-01
        2600  $\mathcal{L}_{res}$        2.97173923e-01
        2800  $\mathcal{L}_{res}$        2.53449229e-01
        3000  $\mathcal{L}_{res}$        1.92453604e-01
        3000  $\mathcal{L}_{res}$        2.20734800e-01
        4000  $\mathcal{L}_{res}$        9.67506791e-03
        5000  $\mathcal{L}_{res}$        4.16535608e-03
        6000  $\mathcal{L}_{res}$        2.42329188e-03
        7000  $\mathcal{L}_{res}$        1.62024457e-03
        8000  $\mathcal{L}_{res}$        1.25345498e-03
        9000  $\mathcal{L}_{res}$        9.55839032e-04
        9273  $\mathcal{L}_{res}$        8.88753004e-04
       10273  $\mathcal{L}_{res}$        6.87361620e-04
       10933  $\mathcal{L}_{res}$        5.77598389e-04
       11423  $\mathcal{L}_{res}$        4.84663285e-04
       11433  $\mathcal{L}_{res}$        4.84832501e-04
       11545  $\mathcal{L}_{res}$        4.78732411e-04
       12171  $\mathcal{L}_{res}$        3.89884926e-04
       12244  $\mathcal{L}_{res}$        3.83824583e-04
       12325  $\mathcal{L}_{res}$        3.80197992e-04
       12331  $\mathcal{L}_{res}$        3.80468616e-04
       12356  $\mathcal{L}_{res}$        3.79278115e-04
       12367  $\mathcal{L}_{res}$        3.76357977e-04
       12400  $\mathcal{L}_{res}$        3.70159362e-04
       12615  $\mathcal{L}_{res}$        3.60164439e-04
       12654  $\mathcal{L}_{res}$        3.58359407e-04
       12780  $\mathcal{L}_{res}$        3.58840658e-04
       12900  $\mathcal{L}_{res}$        3.54972768e-04
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        1.28534153e+01
         200  $\mathcal{L}_{bc0}$        5.28995152e-01
         400  $\mathcal{L}_{bc0}$        5.11071176e-01
         600  $\mathcal{L}_{bc0}$        5.04837284e-01
         800  $\mathcal{L}_{bc0}$        5.09654021e-01
        1000  $\mathcal{L}_{bc0}$        5.14839456e-01
        1200  $\mathcal{L}_{bc0}$        5.20655411e-01
        1400  $\mathcal{L}_{bc0}$        5.28888712e-01
        1600  $\mathcal{L}_{bc0}$        5.38920904e-01
        1800  $\mathcal{L}_{bc0}$        5.46459245e-01
        2000  $\mathcal{L}_{bc0}$        5.53554049e-01
        2200  $\mathcal{L}_{bc0}$        5.48799277e-01
        2400  $\mathcal{L}_{bc0}$        5.23790310e-01
        2600  $\mathcal{L}_{bc0}$        4.44933443e-01
