Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        4.44695074e+01
         200  $\mathcal{L}_{res}$        3.12511532e-01
         400  $\mathcal{L}_{res}$        2.91118376e-01
         600  $\mathcal{L}_{res}$        2.38064227e-01
         800  $\mathcal{L}_{res}$        2.11279665e-01
        1000  $\mathcal{L}_{res}$        2.11555987e-01
        1200  $\mathcal{L}_{res}$        1.89343198e-01
        1400  $\mathcal{L}_{res}$        1.69944202e-01
        1600  $\mathcal{L}_{res}$        1.91899459e-01
        1800  $\mathcal{L}_{res}$        1.29059904e-01
        2000  $\mathcal{L}_{res}$        1.13513378e-01
        2200  $\mathcal{L}_{res}$        9.85122660e-02
        2400  $\mathcal{L}_{res}$        1.04744312e-01
        2600  $\mathcal{L}_{res}$        9.01592007e-02
        2800  $\mathcal{L}_{res}$        8.29814963e-02
        3000  $\mathcal{L}_{res}$        7.96802104e-02
        3000  $\mathcal{L}_{res}$        7.99296978e-02
        4000  $\mathcal{L}_{res}$        5.38349103e-03
        5000  $\mathcal{L}_{res}$        2.31089200e-03
        6000  $\mathcal{L}_{res}$        8.76007208e-04
        6687  $\mathcal{L}_{res}$        5.98573138e-04
        7592  $\mathcal{L}_{res}$        4.48837134e-04
        7979  $\mathcal{L}_{res}$        3.99546820e-04
        8206  $\mathcal{L}_{res}$        3.79294287e-04
        8340  $\mathcal{L}_{res}$        3.59643268e-04
        8377  $\mathcal{L}_{res}$        3.54749094e-04
        8487  $\mathcal{L}_{res}$        3.43159267e-04
        8907  $\mathcal{L}_{res}$        3.07884869e-04
        8966  $\mathcal{L}_{res}$        3.01693543e-04
        9232  $\mathcal{L}_{res}$        2.61331837e-04
        9284  $\mathcal{L}_{res}$        2.56825878e-04
        9302  $\mathcal{L}_{res}$        2.56223598e-04
        9314  $\mathcal{L}_{res}$        2.54997021e-04
        9348  $\mathcal{L}_{res}$        2.52113119e-04
        9370  $\mathcal{L}_{res}$        2.51618704e-04
        9429  $\mathcal{L}_{res}$        2.47477244e-04
        9586  $\mathcal{L}_{res}$        2.39082506e-04
        9597  $\mathcal{L}_{res}$        2.39340152e-04
        9785  $\mathcal{L}_{res}$        2.24648802e-04
        9833  $\mathcal{L}_{res}$        2.17940098e-04
        9872  $\mathcal{L}_{res}$        2.13092552e-04
        9883  $\mathcal{L}_{res}$        2.12382673e-04
        9924  $\mathcal{L}_{res}$        2.10829976e-04
        9971  $\mathcal{L}_{res}$        2.09751084e-04
       10178  $\mathcal{L}_{res}$        1.99824332e-04
       10189  $\mathcal{L}_{res}$        1.99090378e-04
       10211  $\mathcal{L}_{res}$        1.97967530e-04
       10218  $\mathcal{L}_{res}$        1.97932121e-04
       10258  $\mathcal{L}_{res}$        1.96538567e-04
       10278  $\mathcal{L}_{res}$        1.95842648e-04
       10342  $\mathcal{L}_{res}$        1.92540843e-04
       10383  $\mathcal{L}_{res}$        1.89750389e-04
       10445  $\mathcal{L}_{res}$        1.85605385e-04
       10491  $\mathcal{L}_{res}$        1.83473431e-04
       10599  $\mathcal{L}_{res}$        1.73699183e-04
       10640  $\mathcal{L}_{res}$        1.70661752e-04
       10644  $\mathcal{L}_{res}$        1.70276560e-04
       10666  $\mathcal{L}_{res}$        1.69232249e-04
       10679  $\mathcal{L}_{res}$        1.68328229e-04
       10696  $\mathcal{L}_{res}$        1.67819051e-04
       10765  $\mathcal{L}_{res}$        1.62416380e-04
       10788  $\mathcal{L}_{res}$        1.61139360e-04
       11107  $\mathcal{L}_{res}$        1.39775102e-04
       11123  $\mathcal{L}_{res}$        1.39093194e-04
       11144  $\mathcal{L}_{res}$        1.38855192e-04
       11152  $\mathcal{L}_{res}$        1.38588272e-04
       11167  $\mathcal{L}_{res}$        1.37357187e-04
       11272  $\mathcal{L}_{res}$        1.31815297e-04
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        1.69686824e+00
         200  $\mathcal{L}_{bc0}$        5.33822593e-01
         400  $\mathcal{L}_{bc0}$        5.19703276e-01
         600  $\mathcal{L}_{bc0}$        4.88506002e-01
         800  $\mathcal{L}_{bc0}$        4.71970944e-01
        1000  $\mathcal{L}_{bc0}$        4.40990885e-01
        1200  $\mathcal{L}_{bc0}$        3.86270084e-01
        1400  $\mathcal{L}_{bc0}$        3.17722216e-01
        1600  $\mathcal{L}_{bc0}$        2.71223353e-01
        1800  $\mathcal{L}_{bc0}$        2.29911695e-01
        2000  $\mathcal{L}_{bc0}$        2.12300627e-01
        2200  $\mathcal{L}_{bc0}$        2.04430888e-01
        2400  $\mathcal{L}_{bc0}$        1.99704949e-01
        2600  $\mathcal{L}_{bc0}$        1.93743807e-01
        2800  $\mathcal{L}_{bc0}$        1.92284163e-01
        3000  $\mathcal{L}_{bc0}$        1.89122623e-01
        3000  $\mathcal{L}_{bc0}$        1.89122623e-01
        4000  $\mathcal{L}_{bc0}$        1.15353832e-01
        5000  $\mathcal{L}_{bc0}$        1.10274897e-01
        6000  $\mathcal{L}_{bc0}$        1.09611724e-01
        6687  $\mathcal{L}_{bc0}$        1.09502482e-01
        7592  $\mathcal{L}_{bc0}$        1.09378382e-01
        7979  $\mathcal{L}_{bc0}$        1.09345641e-01
        8206  $\mathcal{L}_{bc0}$        1.09320806e-01
        8340  $\mathcal{L}_{bc0}$        1.09322157e-01
        8377  $\mathcal{L}_{bc0}$        1.09321633e-01
        8487  $\mathcal{L}_{bc0}$        1.09313246e-01
        8907  $\mathcal{L}_{bc0}$        1.09278668e-01
        8966  $\mathcal{L}_{bc0}$        1.09276537e-01
        9232  $\mathcal{L}_{bc0}$        1.09269103e-01
        9284  $\mathcal{L}_{bc0}$        1.09267432e-01
        9302  $\mathcal{L}_{bc0}$        1.09266575e-01
        9314  $\mathcal{L}_{bc0}$        1.09267130e-01
        9348  $\mathcal{L}_{bc0}$        1.09267274e-01
