Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        5.89382108e+01
         200  $\mathcal{L}_{res}$        4.13293751e-01
         400  $\mathcal{L}_{res}$        3.81626459e-01
         600  $\mathcal{L}_{res}$        3.60414801e-01
         800  $\mathcal{L}_{res}$        3.31507676e-01
        1000  $\mathcal{L}_{res}$        2.95885901e-01
        1200  $\mathcal{L}_{res}$        2.26061895e-01
        1400  $\mathcal{L}_{res}$        1.81324503e-01
        1600  $\mathcal{L}_{res}$        1.58089922e-01
        1800  $\mathcal{L}_{res}$        1.45296329e-01
        2000  $\mathcal{L}_{res}$        1.44508436e-01
        2200  $\mathcal{L}_{res}$        1.36629850e-01
        2400  $\mathcal{L}_{res}$        1.29082629e-01
        2600  $\mathcal{L}_{res}$        1.20522935e-01
        2800  $\mathcal{L}_{res}$        2.47495157e-01
        3000  $\mathcal{L}_{res}$        9.87943352e-02
        3000  $\mathcal{L}_{res}$        9.60236402e-02
        4000  $\mathcal{L}_{res}$        4.97173553e-03
        5000  $\mathcal{L}_{res}$        5.71606661e-03
        6000  $\mathcal{L}_{res}$        2.76830185e-03
        7000  $\mathcal{L}_{res}$        1.69501625e-03
        8000  $\mathcal{L}_{res}$        1.29948936e-03
        9000  $\mathcal{L}_{res}$        9.94590346e-04
       10000  $\mathcal{L}_{res}$        6.17403534e-04
       10707  $\mathcal{L}_{res}$        4.92262924e-04
       10823  $\mathcal{L}_{res}$        4.74662937e-04
       11281  $\mathcal{L}_{res}$        4.20861227e-04
       11847  $\mathcal{L}_{res}$        3.54407721e-04
       12354  $\mathcal{L}_{res}$        3.01411973e-04
       12731  $\mathcal{L}_{res}$        2.73403981e-04
       12758  $\mathcal{L}_{res}$        2.71944611e-04
       12828  $\mathcal{L}_{res}$        2.68345634e-04
       12882  $\mathcal{L}_{res}$        2.66133602e-04
       12926  $\mathcal{L}_{res}$        2.63667592e-04
       13004  $\mathcal{L}_{res}$        2.57904233e-04
       13039  $\mathcal{L}_{res}$        2.56611807e-04
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        1.00882424e+00
         200  $\mathcal{L}_{bc0}$        5.10916288e-01
         400  $\mathcal{L}_{bc0}$        5.04961151e-01
         600  $\mathcal{L}_{bc0}$        4.98572622e-01
         800  $\mathcal{L}_{bc0}$        4.91483249e-01
        1000  $\mathcal{L}_{bc0}$        4.82158165e-01
        1200  $\mathcal{L}_{bc0}$        4.50764972e-01
        1400  $\mathcal{L}_{bc0}$        3.68466245e-01
        1600  $\mathcal{L}_{bc0}$        3.37243376e-01
        1800  $\mathcal{L}_{bc0}$        3.13231566e-01
        2000  $\mathcal{L}_{bc0}$        2.97654636e-01
        2200  $\mathcal{L}_{bc0}$        2.87233172e-01
        2400  $\mathcal{L}_{bc0}$        2.75953909e-01
        2600  $\mathcal{L}_{bc0}$        2.66854589e-01
        2800  $\mathcal{L}_{bc0}$        2.59359125e-01
        3000  $\mathcal{L}_{bc0}$        2.47695150e-01
        3000  $\mathcal{L}_{bc0}$        2.47695150e-01
        4000  $\mathcal{L}_{bc0}$        1.37654481e-01
        5000  $\mathcal{L}_{bc0}$        1.24664385e-01
        6000  $\mathcal{L}_{bc0}$        1.20398547e-01
        7000  $\mathcal{L}_{bc0}$        1.18557362e-01
        8000  $\mathcal{L}_{bc0}$        1.17576110e-01
        9000  $\mathcal{L}_{bc0}$        1.16685921e-01
       10000  $\mathcal{L}_{bc0}$        1.16449264e-01
       10707  $\mathcal{L}_{bc0}$        1.16402758e-01
       10823  $\mathcal{L}_{bc0}$        1.16398212e-01
       11281  $\mathcal{L}_{bc0}$        1.16378334e-01
