Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        2.88319336e+01
         200  $\mathcal{L}_{res}$        3.63678469e+00
         400  $\mathcal{L}_{res}$        1.43179827e+00
         600  $\mathcal{L}_{res}$        1.05388059e+00
         800  $\mathcal{L}_{res}$        8.66214574e-01
        1000  $\mathcal{L}_{res}$        6.43099434e-01
        1200  $\mathcal{L}_{res}$        5.73988410e-01
        1400  $\mathcal{L}_{res}$        3.44966629e-01
        1600  $\mathcal{L}_{res}$        2.83244025e-01
        1800  $\mathcal{L}_{res}$        2.40637252e-01
        2000  $\mathcal{L}_{res}$        2.11366143e-01
        2200  $\mathcal{L}_{res}$        1.94474848e-01
        2400  $\mathcal{L}_{res}$        1.78053227e-01
        2600  $\mathcal{L}_{res}$        1.55408568e-01
        2800  $\mathcal{L}_{res}$        1.54235364e-01
        3000  $\mathcal{L}_{res}$        1.43982775e-01
        3000  $\mathcal{L}_{res}$        1.74132342e-01
        4000  $\mathcal{L}_{res}$        8.32129414e-03
        5000  $\mathcal{L}_{res}$        4.27434592e-03
        6000  $\mathcal{L}_{res}$        2.92913057e-03
        7000  $\mathcal{L}_{res}$        2.02489682e-03
        8000  $\mathcal{L}_{res}$        1.23731847e-03
        9000  $\mathcal{L}_{res}$        7.16411519e-04
       10000  $\mathcal{L}_{res}$        5.03219952e-04
       11000  $\mathcal{L}_{res}$        3.69581807e-04
       11246  $\mathcal{L}_{res}$        3.41318313e-04
       11523  $\mathcal{L}_{res}$        3.13884178e-04
       11650  $\mathcal{L}_{res}$        3.03946337e-04
       12062  $\mathcal{L}_{res}$        2.74499493e-04
       12067  $\mathcal{L}_{res}$        2.74413724e-04
       12123  $\mathcal{L}_{res}$        2.70977240e-04
       12527  $\mathcal{L}_{res}$        2.52449960e-04
       12561  $\mathcal{L}_{res}$        2.51725577e-04
       12637  $\mathcal{L}_{res}$        2.48918998e-04
       12674  $\mathcal{L}_{res}$        2.47120976e-04
       12679  $\mathcal{L}_{res}$        2.47083708e-04
       12726  $\mathcal{L}_{res}$        2.45319125e-04
       12829  $\mathcal{L}_{res}$        2.40808863e-04
       12877  $\mathcal{L}_{res}$        2.38470216e-04
       12938  $\mathcal{L}_{res}$        2.36082797e-04
       13106  $\mathcal{L}_{res}$        2.28424062e-04
       13155  $\mathcal{L}_{res}$        2.25944092e-04
       13194  $\mathcal{L}_{res}$        2.24578405e-04
       13310  $\mathcal{L}_{res}$        2.19242875e-04
       13447  $\mathcal{L}_{res}$        2.11992774e-04
       13450  $\mathcal{L}_{res}$        2.11907313e-04
       13460  $\mathcal{L}_{res}$        2.11568609e-04
       13488  $\mathcal{L}_{res}$        2.10705034e-04
       13509  $\mathcal{L}_{res}$        2.10044300e-04
       13581  $\mathcal{L}_{res}$        2.07754514e-04
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        3.75348987e+01
         200  $\mathcal{L}_{bc0}$        1.09904693e+01
         400  $\mathcal{L}_{bc0}$        8.25722148e+00
         600  $\mathcal{L}_{bc0}$        7.30830382e+00
         800  $\mathcal{L}_{bc0}$        6.61533622e+00
        1000  $\mathcal{L}_{bc0}$        6.20770542e+00
        1200  $\mathcal{L}_{bc0}$        6.04658420e+00
        1400  $\mathcal{L}_{bc0}$        5.82086966e+00
        1600  $\mathcal{L}_{bc0}$        5.73505675e+00
        1800  $\mathcal{L}_{bc0}$        5.63414965e+00
        2000  $\mathcal{L}_{bc0}$        5.55713800e+00
        2200  $\mathcal{L}_{bc0}$        5.46993061e+00
        2400  $\mathcal{L}_{bc0}$        5.42563383e+00
        2600  $\mathcal{L}_{bc0}$        5.38460004e+00
        2800  $\mathcal{L}_{bc0}$        5.32361270e+00
        3000  $\mathcal{L}_{bc0}$        5.29126479e+00
        3000  $\mathcal{L}_{bc0}$        5.29126479e+00
        4000  $\mathcal{L}_{bc0}$        4.83767299e+00
        5000  $\mathcal{L}_{bc0}$        4.83720889e+00
        6000  $\mathcal{L}_{bc0}$        4.83710544e+00
        7000  $\mathcal{L}_{bc0}$        4.83706499e+00
        8000  $\mathcal{L}_{bc0}$        4.83705517e+00
        9000  $\mathcal{L}_{bc0}$        4.83703690e+00
       10000  $\mathcal{L}_{bc0}$        4.83702224e+00
       11000  $\mathcal{L}_{bc0}$        4.83701194e+00
       11246  $\mathcal{L}_{bc0}$        4.83701034e+00
       11523  $\mathcal{L}_{bc0}$        4.83700644e+00
       11650  $\mathcal{L}_{bc0}$        4.83700626e+00
       12062  $\mathcal{L}_{bc0}$        4.83700802e+00
       12067  $\mathcal{L}_{bc0}$        4.83700797e+00
       12123  $\mathcal{L}_{bc0}$        4.83700832e+00
       12527  $\mathcal{L}_{bc0}$        4.83700647e+00
       12561  $\mathcal{L}_{bc0}$        4.83700630e+00
       12637  $\mathcal{L}_{bc0}$        4.83700572e+00
       12674  $\mathcal{L}_{bc0}$        4.83700583e+00
       12679  $\mathcal{L}_{bc0}$        4.83700581e+00
       12726  $\mathcal{L}_{bc0}$        4.83700586e+00
       12829  $\mathcal{L}_{bc0}$        4.83700612e+00
       12877  $\mathcal{L}_{bc0}$        4.83700609e+00
       12938  $\mathcal{L}_{bc0}$        4.83700639e+00
       13106  $\mathcal{L}_{bc0}$        4.83700527e+00
       13155  $\mathcal{L}_{bc0}$        4.83700529e+00
       13194  $\mathcal{L}_{bc0}$        4.83700519e+00
       13310  $\mathcal{L}_{bc0}$        4.83700486e+00
       13447  $\mathcal{L}_{bc0}$        4.83700478e+00
       13450  $\mathcal{L}_{bc0}$        4.83700480e+00
       13460  $\mathcal{L}_{bc0}$        4.83700481e+00
       13488  $\mathcal{L}_{bc0}$        4.83700473e+00
       13509  $\mathcal{L}_{bc0}$        4.83700483e+00
       13581  $\mathcal{L}_{bc0}$        4.83700475e+00
--------------------------------------------------
           0     test loss        5.95343451e+01
         200     test loss        1.18263624e+01
         400     test loss        8.37949423e+00
         600     test loss        7.41001230e+00
         800     test loss        6.76596881e+00
        1000     test loss        6.30469189e+00
        1200     test loss        6.22652243e+00
        1400     test loss        5.86842416e+00
        1600     test loss        5.77414068e+00
        1800     test loss        5.66797909e+00
        2000     test loss        5.58998955e+00
        2200     test loss        5.50294792e+00
        2400     test loss        5.45609143e+00
        2600     test loss        5.41475464e+00
        2800     test loss        5.35088406e+00
        3000     test loss        5.31817770e+00
        3000     test loss        5.31817770e+00
        4000     test loss        4.84005713e+00
        5000     test loss        4.83834285e+00
        6000     test loss        4.83773643e+00
        7000     test loss        4.83773725e+00
        8000     test loss        4.83756214e+00
        9000     test loss        4.83736332e+00
       10000     test loss        4.83730443e+00
       11000     test loss        4.83718863e+00
       11246     test loss        4.83716977e+00
       11523     test loss        4.83714954e+00
       11650     test loss        4.83713835e+00
       12062     test loss        4.83711753e+00
       12067     test loss        4.83711712e+00
       12123     test loss        4.83711671e+00
       12527     test loss        4.83710471e+00
       12561     test loss        4.83710498e+00
       12637     test loss        4.83710388e+00
       12674     test loss        4.83710414e+00
       12679     test loss        4.83710381e+00
       12726     test loss        4.83710108e+00
       12829     test loss        4.83709686e+00
       12877     test loss        4.83709495e+00
       12938     test loss        4.83709697e+00
       13106     test loss        4.83709563e+00
       13155     test loss        4.83710008e+00
       13194     test loss        4.83709676e+00
       13310     test loss        4.83709473e+00
       13447     test loss        4.83709111e+00
       13450     test loss        4.83709122e+00
       13460     test loss        4.83709218e+00
       13488     test loss        4.83709497e+00
       13509     test loss        4.83709413e+00
       13581     test loss        4.83709333e+00
--------------------------------------------------
           0    train loss        6.63668323e+01
         200    train loss        1.46272540e+01
         400    train loss        9.68901974e+00
         600    train loss        8.36218441e+00
         800    train loss        7.48155079e+00
        1000    train loss        6.85080485e+00
        1200    train loss        6.62057261e+00
        1400    train loss        6.16583629e+00
        1600    train loss        6.01830077e+00
        1800    train loss        5.87478690e+00
        2000    train loss        5.76850414e+00
        2200    train loss        5.66440545e+00
        2400    train loss        5.60368705e+00
        2600    train loss        5.54000861e+00
        2800    train loss        5.47784807e+00
        3000    train loss        5.43524757e+00
        3000    train loss        5.46539713e+00
        4000    train loss        4.84599429e+00
        5000    train loss        4.84148324e+00
        6000    train loss        4.84003457e+00
        7000    train loss        4.83908989e+00
        8000    train loss        4.83829249e+00
        9000    train loss        4.83775331e+00
       10000    train loss        4.83752546e+00
       11000    train loss        4.83738152e+00
       11246    train loss        4.83735166e+00
       11523    train loss        4.83732032e+00
       11650    train loss        4.83731021e+00
       12062    train loss        4.83728252e+00
       12067    train loss        4.83728238e+00
       12123    train loss        4.83727929e+00
       12527    train loss        4.83725892e+00
       12561    train loss        4.83725803e+00
       12637    train loss        4.83725464e+00
       12674    train loss        4.83725295e+00
       12679    train loss        4.83725289e+00
       12726    train loss        4.83725117e+00
       12829    train loss        4.83724693e+00
       12877    train loss        4.83724456e+00
       12938    train loss        4.83724247e+00
       13106    train loss        4.83723370e+00
       13155    train loss        4.83723124e+00
       13194    train loss        4.83722977e+00
       13310    train loss        4.83722411e+00
       13447    train loss        4.83721677e+00
       13450    train loss        4.83721670e+00
       13460    train loss        4.83721638e+00
       13488    train loss        4.83721543e+00
       13509    train loss        4.83721488e+00
       13581    train loss        4.83721251e+00
--------------------------------------------------
