Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        1.59982050e+02
         200  $\mathcal{L}_{res}$        4.14464319e+00
         400  $\mathcal{L}_{res}$        3.30821010e+00
         600  $\mathcal{L}_{res}$        1.68987213e+00
         800  $\mathcal{L}_{res}$        1.33558156e+00
        1000  $\mathcal{L}_{res}$        9.63448981e-01
        1200  $\mathcal{L}_{res}$        8.07242076e-01
        1400  $\mathcal{L}_{res}$        9.75064375e-01
        1600  $\mathcal{L}_{res}$        5.35857061e-01
        1800  $\mathcal{L}_{res}$        4.12507306e-01
        2000  $\mathcal{L}_{res}$        3.48185184e-01
        2200  $\mathcal{L}_{res}$        3.10604164e-01
        2400  $\mathcal{L}_{res}$        2.75966415e-01
        2600  $\mathcal{L}_{res}$        2.29430886e-01
        2800  $\mathcal{L}_{res}$        2.05057555e-01
        3000  $\mathcal{L}_{res}$        2.26277664e-01
        3000  $\mathcal{L}_{res}$        1.96088832e-01
        4000  $\mathcal{L}_{res}$        9.56818710e-03
        5000  $\mathcal{L}_{res}$        5.65971394e-03
        6000  $\mathcal{L}_{res}$        3.81535947e-03
        7000  $\mathcal{L}_{res}$        1.95204064e-03
        8000  $\mathcal{L}_{res}$        1.12935293e-03
        9000  $\mathcal{L}_{res}$        7.42414567e-04
       10000  $\mathcal{L}_{res}$        5.26627329e-04
       11000  $\mathcal{L}_{res}$        3.86501403e-04
       11108  $\mathcal{L}_{res}$        3.71745287e-04
       11480  $\mathcal{L}_{res}$        3.37112822e-04
       11612  $\mathcal{L}_{res}$        3.25431698e-04
       12093  $\mathcal{L}_{res}$        2.85073881e-04
       12096  $\mathcal{L}_{res}$        2.85064742e-04
       12726  $\mathcal{L}_{res}$        2.36455945e-04
       12830  $\mathcal{L}_{res}$        2.29095778e-04
       12868  $\mathcal{L}_{res}$        2.26414451e-04
       12951  $\mathcal{L}_{res}$        2.18913064e-04
       12965  $\mathcal{L}_{res}$        2.18025877e-04
       12992  $\mathcal{L}_{res}$        2.16320650e-04
       13062  $\mathcal{L}_{res}$        2.12585999e-04
       13159  $\mathcal{L}_{res}$        2.08113417e-04
       13186  $\mathcal{L}_{res}$        2.06920639e-04
       13338  $\mathcal{L}_{res}$        1.99465450e-04
       13355  $\mathcal{L}_{res}$        1.99324783e-04
       13391  $\mathcal{L}_{res}$        1.97266372e-04
       13420  $\mathcal{L}_{res}$        1.96083443e-04
       13433  $\mathcal{L}_{res}$        1.95673407e-04
       13501  $\mathcal{L}_{res}$        1.91421695e-04
       13565  $\mathcal{L}_{res}$        1.88154844e-04
       13599  $\mathcal{L}_{res}$        1.86668409e-04
       13606  $\mathcal{L}_{res}$        1.86557615e-04
       13612  $\mathcal{L}_{res}$        1.86390665e-04
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        4.42724940e+01
         200  $\mathcal{L}_{bc0}$        1.28538837e+01
         400  $\mathcal{L}_{bc0}$        8.57011430e+00
         600  $\mathcal{L}_{bc0}$        7.55589019e+00
         800  $\mathcal{L}_{bc0}$        6.80715086e+00
        1000  $\mathcal{L}_{bc0}$        6.02128596e+00
        1200  $\mathcal{L}_{bc0}$        5.68128882e+00
        1400  $\mathcal{L}_{bc0}$        5.48956132e+00
        1600  $\mathcal{L}_{bc0}$        5.20857112e+00
        1800  $\mathcal{L}_{bc0}$        5.07553414e+00
        2000  $\mathcal{L}_{bc0}$        5.01383724e+00
        2200  $\mathcal{L}_{bc0}$        4.98761110e+00
        2400  $\mathcal{L}_{bc0}$        4.96311640e+00
        2600  $\mathcal{L}_{bc0}$        4.93676454e+00
        2800  $\mathcal{L}_{bc0}$        4.92683648e+00
        3000  $\mathcal{L}_{bc0}$        4.92617974e+00
        3000  $\mathcal{L}_{bc0}$        4.92617974e+00
        4000  $\mathcal{L}_{bc0}$        4.84828417e+00
        5000  $\mathcal{L}_{bc0}$        4.84187735e+00
        6000  $\mathcal{L}_{bc0}$        4.83752188e+00
        7000  $\mathcal{L}_{bc0}$        4.83710966e+00
        8000  $\mathcal{L}_{bc0}$        4.83702624e+00
        9000  $\mathcal{L}_{bc0}$        4.83701927e+00
       10000  $\mathcal{L}_{bc0}$        4.83701890e+00
       11000  $\mathcal{L}_{bc0}$        4.83701412e+00
       11108  $\mathcal{L}_{bc0}$        4.83701488e+00
       11480  $\mathcal{L}_{bc0}$        4.83701231e+00
       11612  $\mathcal{L}_{bc0}$        4.83701175e+00
       12093  $\mathcal{L}_{bc0}$        4.83701026e+00
       12096  $\mathcal{L}_{bc0}$        4.83701014e+00
       12726  $\mathcal{L}_{bc0}$        4.83700726e+00
       12830  $\mathcal{L}_{bc0}$        4.83700729e+00
       12868  $\mathcal{L}_{bc0}$        4.83700723e+00
       12951  $\mathcal{L}_{bc0}$        4.83700779e+00
       12965  $\mathcal{L}_{bc0}$        4.83700797e+00
       12992  $\mathcal{L}_{bc0}$        4.83700816e+00
       13062  $\mathcal{L}_{bc0}$        4.83700850e+00
       13159  $\mathcal{L}_{bc0}$        4.83700773e+00
       13186  $\mathcal{L}_{bc0}$        4.83700777e+00
       13338  $\mathcal{L}_{bc0}$        4.83700625e+00
       13355  $\mathcal{L}_{bc0}$        4.83700597e+00
       13391  $\mathcal{L}_{bc0}$        4.83700594e+00
       13420  $\mathcal{L}_{bc0}$        4.83700545e+00
       13433  $\mathcal{L}_{bc0}$        4.83700544e+00
       13501  $\mathcal{L}_{bc0}$        4.83700524e+00
       13565  $\mathcal{L}_{bc0}$        4.83700483e+00
       13599  $\mathcal{L}_{bc0}$        4.83700451e+00
       13606  $\mathcal{L}_{bc0}$        4.83700442e+00
       13612  $\mathcal{L}_{bc0}$        4.83700444e+00
--------------------------------------------------
           0     test loss        2.10470307e+02
         200     test loss        1.41503988e+01
         400     test loss        9.23111832e+00
         600     test loss        7.78332266e+00
         800     test loss        6.95051205e+00
        1000     test loss        6.10736015e+00
        1200     test loss        5.77475410e+00
        1400     test loss        5.76944969e+00
        1600     test loss        5.29782709e+00
        1800     test loss        5.13624616e+00
        2000     test loss        5.05810207e+00
        2200     test loss        5.02599139e+00
        2400     test loss        4.99689174e+00
        2600     test loss        4.96826549e+00
        2800     test loss        4.95698331e+00
        3000     test loss        4.95687588e+00
        3000     test loss        4.95687588e+00
        4000     test loss        4.85221535e+00
        5000     test loss        4.84403199e+00
        6000     test loss        4.83901358e+00
        7000     test loss        4.83801406e+00
        8000     test loss        4.83762467e+00
        9000     test loss        4.83740240e+00
       10000     test loss        4.83724228e+00
       11000     test loss        4.83717522e+00
       11108     test loss        4.83717984e+00
       11480     test loss        4.83715335e+00
       11612     test loss        4.83713908e+00
       12093     test loss        4.83711558e+00
       12096     test loss        4.83711469e+00
       12726     test loss        4.83708669e+00
       12830     test loss        4.83708290e+00
       12868     test loss        4.83708118e+00
       12951     test loss        4.83708012e+00
       12965     test loss        4.83707906e+00
       12992     test loss        4.83707759e+00
       13062     test loss        4.83707672e+00
       13159     test loss        4.83707245e+00
       13186     test loss        4.83707167e+00
       13338     test loss        4.83706675e+00
       13355     test loss        4.83706714e+00
       13391     test loss        4.83706594e+00
       13420     test loss        4.83706484e+00
       13433     test loss        4.83706578e+00
       13501     test loss        4.83706499e+00
       13565     test loss        4.83706336e+00
       13599     test loss        4.83706182e+00
       13606     test loss        4.83706190e+00
       13612     test loss        4.83706238e+00
--------------------------------------------------
           0    train loss        2.04254544e+02
         200    train loss        1.69985269e+01
         400    train loss        1.18783244e+01
         600    train loss        9.24576232e+00
         800    train loss        8.14273242e+00
        1000    train loss        6.98473494e+00
        1200    train loss        6.48853090e+00
        1400    train loss        6.46462569e+00
        1600    train loss        5.74442818e+00
        1800    train loss        5.48804144e+00
        2000    train loss        5.36202243e+00
        2200    train loss        5.29821526e+00
        2400    train loss        5.23908282e+00
        2600    train loss        5.16619543e+00
        2800    train loss        5.13189403e+00
        3000    train loss        5.15245741e+00
        3000    train loss        5.12226857e+00
        4000    train loss        4.85785235e+00
        5000    train loss        4.84753706e+00
        6000    train loss        4.84133724e+00
        7000    train loss        4.83906170e+00
        8000    train loss        4.83815559e+00
        9000    train loss        4.83776169e+00
       10000    train loss        4.83754553e+00
       11000    train loss        4.83740062e+00
       11108    train loss        4.83738663e+00
       11480    train loss        4.83734943e+00
       11612    train loss        4.83733718e+00
       12093    train loss        4.83729533e+00
       12096    train loss        4.83729521e+00
       12726    train loss        4.83724371e+00
       12830    train loss        4.83723639e+00
       12868    train loss        4.83723364e+00
       12951    train loss        4.83722671e+00
       12965    train loss        4.83722600e+00
       12992    train loss        4.83722448e+00
       13062    train loss        4.83722109e+00
       13159    train loss        4.83721585e+00
       13186    train loss        4.83721469e+00
       13338    train loss        4.83720572e+00
       13355    train loss        4.83720529e+00
       13391    train loss        4.83720321e+00
       13420    train loss        4.83720154e+00
       13433    train loss        4.83720111e+00
       13501    train loss        4.83719666e+00
       13565    train loss        4.83719299e+00
       13599    train loss        4.83719118e+00
       13606    train loss        4.83719098e+00
       13612    train loss        4.83719083e+00
--------------------------------------------------
