Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        1.50924746e+02
         200  $\mathcal{L}_{res}$        4.04854839e+00
         400  $\mathcal{L}_{res}$        3.08118326e+00
         600  $\mathcal{L}_{res}$        1.66674819e+00
         800  $\mathcal{L}_{res}$        1.27406909e+00
        1000  $\mathcal{L}_{res}$        9.25034799e-01
        1200  $\mathcal{L}_{res}$        6.97874808e-01
        1400  $\mathcal{L}_{res}$        5.54794503e-01
        1600  $\mathcal{L}_{res}$        4.44773322e-01
        1800  $\mathcal{L}_{res}$        3.41140172e-01
        2000  $\mathcal{L}_{res}$        2.93322175e-01
        2200  $\mathcal{L}_{res}$        2.69471926e-01
        2400  $\mathcal{L}_{res}$        2.33084152e-01
        2600  $\mathcal{L}_{res}$        1.98150910e-01
        2800  $\mathcal{L}_{res}$        1.77882396e-01
        3000  $\mathcal{L}_{res}$        1.94165814e-01
        3000  $\mathcal{L}_{res}$        1.72619287e-01
        4000  $\mathcal{L}_{res}$        6.17558610e-03
        5000  $\mathcal{L}_{res}$        2.67425126e-03
        6000  $\mathcal{L}_{res}$        2.05989391e-03
        7000  $\mathcal{L}_{res}$        1.40331941e-03
        8000  $\mathcal{L}_{res}$        8.57118776e-04
        9000  $\mathcal{L}_{res}$        5.82422400e-04
        9112  $\mathcal{L}_{res}$        5.68385215e-04
        9892  $\mathcal{L}_{res}$        4.60373016e-04
       10110  $\mathcal{L}_{res}$        4.29589593e-04
       10526  $\mathcal{L}_{res}$        3.76932205e-04
       10659  $\mathcal{L}_{res}$        3.66271161e-04
       10738  $\mathcal{L}_{res}$        3.61598832e-04
       10974  $\mathcal{L}_{res}$        3.41048020e-04
       11012  $\mathcal{L}_{res}$        3.38636910e-04
       11074  $\mathcal{L}_{res}$        3.33850645e-04
       11202  $\mathcal{L}_{res}$        3.24092721e-04
       11292  $\mathcal{L}_{res}$        3.19148838e-04
       11297  $\mathcal{L}_{res}$        3.19081223e-04
       11327  $\mathcal{L}_{res}$        3.16907256e-04
       11335  $\mathcal{L}_{res}$        3.16725492e-04
       11341  $\mathcal{L}_{res}$        3.16526724e-04
       11420  $\mathcal{L}_{res}$        3.12336404e-04
       11614  $\mathcal{L}_{res}$        2.98777348e-04
       11709  $\mathcal{L}_{res}$        2.93813715e-04
       11793  $\mathcal{L}_{res}$        2.89670282e-04
