Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        1.24599883e+02
         200  $\mathcal{L}_{res}$        7.05602538e-01
         400  $\mathcal{L}_{res}$        5.64279932e-01
         600  $\mathcal{L}_{res}$        5.14909988e-01
         800  $\mathcal{L}_{res}$        4.72865963e-01
        1000  $\mathcal{L}_{res}$        4.42035108e-01
        1200  $\mathcal{L}_{res}$        3.83545283e-01
        1400  $\mathcal{L}_{res}$        4.10591701e-01
        1600  $\mathcal{L}_{res}$        2.47921157e-01
        1800  $\mathcal{L}_{res}$        1.98707392e-01
        2000  $\mathcal{L}_{res}$        1.68743692e-01
        2200  $\mathcal{L}_{res}$        1.49726368e-01
        2400  $\mathcal{L}_{res}$        1.78823279e-01
        2600  $\mathcal{L}_{res}$        1.34831960e-01
        2800  $\mathcal{L}_{res}$        1.35741600e-01
        3000  $\mathcal{L}_{res}$        1.43243113e-01
        3000  $\mathcal{L}_{res}$        1.37380496e-01
        4000  $\mathcal{L}_{res}$        8.47548520e-03
        5000  $\mathcal{L}_{res}$        2.69866660e-03
        6000  $\mathcal{L}_{res}$        1.26239452e-03
        7000  $\mathcal{L}_{res}$        5.92043401e-04
        7064  $\mathcal{L}_{res}$        5.62444211e-04
        8064  $\mathcal{L}_{res}$        3.02128228e-04
        9064  $\mathcal{L}_{res}$        2.70188808e-04
       10064  $\mathcal{L}_{res}$        5.71297148e-04
       11064  $\mathcal{L}_{res}$        4.02101090e-04
       12064  $\mathcal{L}_{res}$        1.92642491e-04
       12627  $\mathcal{L}_{res}$        1.34270990e-04
       12751  $\mathcal{L}_{res}$        1.24892992e-04
       12788  $\mathcal{L}_{res}$        1.22933015e-04
       12798  $\mathcal{L}_{res}$        1.22782435e-04
       12820  $\mathcal{L}_{res}$        1.21864424e-04
       12881  $\mathcal{L}_{res}$        1.19804473e-04
       12916  $\mathcal{L}_{res}$        1.18468225e-04
       12926  $\mathcal{L}_{res}$        1.18255014e-04
       13018  $\mathcal{L}_{res}$        1.15862480e-04
       13055  $\mathcal{L}_{res}$        1.14172388e-04
       13136  $\mathcal{L}_{res}$        1.09335807e-04
       13163  $\mathcal{L}_{res}$        1.07970725e-04
       13193  $\mathcal{L}_{res}$        1.06652460e-04
       13220  $\mathcal{L}_{res}$        1.04464920e-04
       13264  $\mathcal{L}_{res}$        1.03655343e-04
       13308  $\mathcal{L}_{res}$        1.01868439e-04
       13328  $\mathcal{L}_{res}$        1.01504558e-04
       13339  $\mathcal{L}_{res}$        1.01184364e-04
       13411  $\mathcal{L}_{res}$        9.86785610e-05
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        1.17815751e+00
