Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        4.17706810e+01
         200  $\mathcal{L}_{res}$        3.48039590e+00
         400  $\mathcal{L}_{res}$        1.64205094e+00
         600  $\mathcal{L}_{res}$        1.10163411e+00
         800  $\mathcal{L}_{res}$        6.41007366e-01
        1000  $\mathcal{L}_{res}$        4.12651488e-01
        1200  $\mathcal{L}_{res}$        2.90766732e-01
        1400  $\mathcal{L}_{res}$        2.43598232e-01
        1600  $\mathcal{L}_{res}$        2.47947262e-01
        1800  $\mathcal{L}_{res}$        2.00915720e-01
        2000  $\mathcal{L}_{res}$        1.84229003e-01
        2200  $\mathcal{L}_{res}$        1.77271860e-01
        2400  $\mathcal{L}_{res}$        1.60240277e-01
        2600  $\mathcal{L}_{res}$        1.38265254e-01
        2800  $\mathcal{L}_{res}$        1.64489837e-01
        3000  $\mathcal{L}_{res}$        1.51870136e-01
        3000  $\mathcal{L}_{res}$        3.24920133e-01
        4000  $\mathcal{L}_{res}$        7.34546177e-03
        5000  $\mathcal{L}_{res}$        2.17040527e-03
        6000  $\mathcal{L}_{res}$        9.41603168e-04
        7000  $\mathcal{L}_{res}$        5.59560201e-04
        8000  $\mathcal{L}_{res}$        3.73343801e-04
        8308  $\mathcal{L}_{res}$        3.33611120e-04
        8329  $\mathcal{L}_{res}$        3.32261947e-04
        8519  $\mathcal{L}_{res}$        3.13866537e-04
        8907  $\mathcal{L}_{res}$        2.78756742e-04
        9095  $\mathcal{L}_{res}$        2.64917902e-04
        9164  $\mathcal{L}_{res}$        2.60700687e-04
        9560  $\mathcal{L}_{res}$        2.30255823e-04
        9720  $\mathcal{L}_{res}$        2.17601122e-04
        9772  $\mathcal{L}_{res}$        2.14995201e-04
        9800  $\mathcal{L}_{res}$        2.13911590e-04
        9888  $\mathcal{L}_{res}$        2.08028969e-04
        9974  $\mathcal{L}_{res}$        2.03310786e-04
        9996  $\mathcal{L}_{res}$        2.02218944e-04
       10065  $\mathcal{L}_{res}$        1.98615300e-04
       10091  $\mathcal{L}_{res}$        1.97764765e-04
       10137  $\mathcal{L}_{res}$        1.94823146e-04
       10195  $\mathcal{L}_{res}$        1.91184672e-04
       10227  $\mathcal{L}_{res}$        1.89631256e-04
       10235  $\mathcal{L}_{res}$        1.89356825e-04
       10243  $\mathcal{L}_{res}$        1.89251123e-04
       10287  $\mathcal{L}_{res}$        1.87311646e-04
       10289  $\mathcal{L}_{res}$        1.87177980e-04
       10305  $\mathcal{L}_{res}$        1.86574461e-04
       10461  $\mathcal{L}_{res}$        1.77079794e-04
       10471  $\mathcal{L}_{res}$        1.76726329e-04
       10476  $\mathcal{L}_{res}$        1.76657422e-04
       10494  $\mathcal{L}_{res}$        1.76113995e-04
       10497  $\mathcal{L}_{res}$        1.76009400e-04
       10500  $\mathcal{L}_{res}$        1.75961375e-04
       10504  $\mathcal{L}_{res}$        1.75866592e-04
       10584  $\mathcal{L}_{res}$        1.72441927e-04
       10591  $\mathcal{L}_{res}$        1.72291741e-04
       10598  $\mathcal{L}_{res}$        1.72147750e-04
       10640  $\mathcal{L}_{res}$        1.70572564e-04
       10764  $\mathcal{L}_{res}$        1.65555090e-04
       10786  $\mathcal{L}_{res}$        1.64976685e-04
       10862  $\mathcal{L}_{res}$        1.62119963e-04
       10897  $\mathcal{L}_{res}$        1.60680085e-04
       10953  $\mathcal{L}_{res}$        1.58432899e-04
       10982  $\mathcal{L}_{res}$        1.57522333e-04
       11018  $\mathcal{L}_{res}$        1.56130339e-04
       11029  $\mathcal{L}_{res}$        1.55817894e-04
       11031  $\mathcal{L}_{res}$        1.55822883e-04
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        6.00324039e+01
         200  $\mathcal{L}_{bc0}$        1.32638531e+01
         400  $\mathcal{L}_{bc0}$        9.94168633e+00
         600  $\mathcal{L}_{bc0}$        8.28984727e+00
         800  $\mathcal{L}_{bc0}$        7.32660087e+00
        1000  $\mathcal{L}_{bc0}$        6.95038517e+00
        1200  $\mathcal{L}_{bc0}$        6.83150863e+00
        1400  $\mathcal{L}_{bc0}$        6.73480234e+00
        1600  $\mathcal{L}_{bc0}$        6.66603082e+00
        1800  $\mathcal{L}_{bc0}$        6.58441991e+00
        2000  $\mathcal{L}_{bc0}$        6.49385542e+00
        2200  $\mathcal{L}_{bc0}$        6.47727891e+00
        2400  $\mathcal{L}_{bc0}$        6.35876696e+00
        2600  $\mathcal{L}_{bc0}$        6.28226653e+00
        2800  $\mathcal{L}_{bc0}$        6.33209932e+00
        3000  $\mathcal{L}_{bc0}$        6.21587342e+00
        3000  $\mathcal{L}_{bc0}$        6.21587342e+00
        4000  $\mathcal{L}_{bc0}$        5.78520929e+00
        5000  $\mathcal{L}_{bc0}$        5.78488188e+00
        6000  $\mathcal{L}_{bc0}$        5.78484686e+00
        7000  $\mathcal{L}_{bc0}$        5.78482760e+00
        8000  $\mathcal{L}_{bc0}$        5.78482342e+00
        8308  $\mathcal{L}_{bc0}$        5.78482054e+00
        8329  $\mathcal{L}_{bc0}$        5.78482033e+00
        8519  $\mathcal{L}_{bc0}$        5.78482001e+00
        8907  $\mathcal{L}_{bc0}$        5.78482099e+00
        9095  $\mathcal{L}_{bc0}$        5.78481991e+00
        9164  $\mathcal{L}_{bc0}$        5.78481971e+00
        9560  $\mathcal{L}_{bc0}$        5.78481822e+00
        9720  $\mathcal{L}_{bc0}$        5.78481812e+00
        9772  $\mathcal{L}_{bc0}$        5.78481787e+00
        9800  $\mathcal{L}_{bc0}$        5.78481786e+00
        9888  $\mathcal{L}_{bc0}$        5.78481779e+00
        9974  $\mathcal{L}_{bc0}$        5.78481765e+00
        9996  $\mathcal{L}_{bc0}$        5.78481779e+00
       10065  $\mathcal{L}_{bc0}$        5.78481801e+00
       10091  $\mathcal{L}_{bc0}$        5.78481789e+00
       10137  $\mathcal{L}_{bc0}$        5.78481813e+00
       10195  $\mathcal{L}_{bc0}$        5.78481838e+00
       10227  $\mathcal{L}_{bc0}$        5.78481834e+00
       10235  $\mathcal{L}_{bc0}$        5.78481842e+00
       10243  $\mathcal{L}_{bc0}$        5.78481838e+00
       10287  $\mathcal{L}_{bc0}$        5.78481849e+00
       10289  $\mathcal{L}_{bc0}$        5.78481858e+00
       10305  $\mathcal{L}_{bc0}$        5.78481848e+00
       10461  $\mathcal{L}_{bc0}$        5.78481861e+00
       10471  $\mathcal{L}_{bc0}$        5.78481862e+00
       10476  $\mathcal{L}_{bc0}$        5.78481855e+00
       10494  $\mathcal{L}_{bc0}$        5.78481844e+00
       10497  $\mathcal{L}_{bc0}$        5.78481846e+00
       10500  $\mathcal{L}_{bc0}$        5.78481847e+00
       10504  $\mathcal{L}_{bc0}$        5.78481845e+00
       10584  $\mathcal{L}_{bc0}$        5.78481817e+00
       10591  $\mathcal{L}_{bc0}$        5.78481815e+00
       10598  $\mathcal{L}_{bc0}$        5.78481810e+00
       10640  $\mathcal{L}_{bc0}$        5.78481787e+00
       10764  $\mathcal{L}_{bc0}$        5.78481733e+00
       10786  $\mathcal{L}_{bc0}$        5.78481700e+00
       10862  $\mathcal{L}_{bc0}$        5.78481685e+00
       10897  $\mathcal{L}_{bc0}$        5.78481702e+00
       10953  $\mathcal{L}_{bc0}$        5.78481701e+00
       10982  $\mathcal{L}_{bc0}$        5.78481681e+00
       11018  $\mathcal{L}_{bc0}$        5.78481676e+00
       11029  $\mathcal{L}_{bc0}$        5.78481683e+00
       11031  $\mathcal{L}_{bc0}$        5.78481680e+00
--------------------------------------------------
           0     test loss        9.54656589e+01
         200     test loss        1.40367183e+01
         400     test loss        1.01268534e+01
         600     test loss        8.43298432e+00
         800     test loss        7.42917459e+00
        1000     test loss        6.99596170e+00
        1200     test loss        6.86573057e+00
        1400     test loss        6.76657987e+00
        1600     test loss        6.69562945e+00
        1800     test loss        6.61665844e+00
        2000     test loss        6.52966178e+00
        2200     test loss        6.51192012e+00
        2400     test loss        6.39729760e+00
        2600     test loss        6.31750472e+00
        2800     test loss        6.36495644e+00
        3000     test loss        6.25182319e+00
        3000     test loss        6.25182319e+00
        4000     test loss        5.78736397e+00
        5000     test loss        5.78602381e+00
        6000     test loss        5.78543071e+00
        7000     test loss        5.78510694e+00
        8000     test loss        5.78496715e+00
        8308     test loss        5.78495020e+00
        8329     test loss        5.78494844e+00
        8519     test loss        5.78494008e+00
        8907     test loss        5.78494320e+00
        9095     test loss        5.78494017e+00
        9164     test loss        5.78494089e+00
        9560     test loss        5.78493879e+00
        9720     test loss        5.78493685e+00
        9772     test loss        5.78493467e+00
        9800     test loss        5.78493708e+00
        9888     test loss        5.78494155e+00
        9974     test loss        5.78493966e+00
        9996     test loss        5.78493783e+00
       10065     test loss        5.78493999e+00
       10091     test loss        5.78493999e+00
       10137     test loss        5.78494214e+00
       10195     test loss        5.78494018e+00
       10227     test loss        5.78494033e+00
       10235     test loss        5.78494073e+00
       10243     test loss        5.78494099e+00
       10287     test loss        5.78493727e+00
       10289     test loss        5.78493810e+00
       10305     test loss        5.78493912e+00
       10461     test loss        5.78494097e+00
       10471     test loss        5.78493846e+00
       10476     test loss        5.78493940e+00
       10494     test loss        5.78493840e+00
       10497     test loss        5.78493845e+00
       10500     test loss        5.78493801e+00
       10504     test loss        5.78493737e+00
       10584     test loss        5.78494203e+00
       10591     test loss        5.78494067e+00
       10598     test loss        5.78493970e+00
       10640     test loss        5.78493969e+00
       10764     test loss        5.78494156e+00
       10786     test loss        5.78494091e+00
       10862     test loss        5.78493970e+00
       10897     test loss        5.78493949e+00
       10953     test loss        5.78494018e+00
       10982     test loss        5.78493843e+00
       11018     test loss        5.78494160e+00
       11029     test loss        5.78493995e+00
       11031     test loss        5.78494018e+00
--------------------------------------------------
           0    train loss        1.01803085e+02
         200    train loss        1.67442490e+01
         400    train loss        1.15837373e+01
         600    train loss        9.39148137e+00
         800    train loss        7.96760824e+00
        1000    train loss        7.36303666e+00
        1200    train loss        7.12227536e+00
        1400    train loss        6.97840057e+00
        1600    train loss        6.91397808e+00
        1800    train loss        6.78533563e+00
        2000    train loss        6.67808442e+00
        2200    train loss        6.65455077e+00
        2400    train loss        6.51900723e+00
        2600    train loss        6.42053178e+00
        2800    train loss        6.49658915e+00
        3000    train loss        6.36774356e+00
        3000    train loss        6.54079355e+00
        4000    train loss        5.79255475e+00
        5000    train loss        5.78705229e+00
        6000    train loss        5.78578846e+00
        7000    train loss        5.78538716e+00
        8000    train loss        5.78519676e+00
        8308    train loss        5.78515415e+00
        8329    train loss        5.78515259e+00
        8519    train loss        5.78513387e+00
        8907    train loss        5.78509974e+00
        9095    train loss        5.78508483e+00
        9164    train loss        5.78508042e+00
        9560    train loss        5.78504848e+00
        9720    train loss        5.78503572e+00
        9772    train loss        5.78503287e+00
        9800    train loss        5.78503177e+00
        9888    train loss        5.78502582e+00
        9974    train loss        5.78502096e+00
        9996    train loss        5.78502001e+00
       10065    train loss        5.78501662e+00
       10091    train loss        5.78501565e+00
       10137    train loss        5.78501295e+00
       10195    train loss        5.78500956e+00
       10227    train loss        5.78500797e+00
       10235    train loss        5.78500778e+00
       10243    train loss        5.78500763e+00
       10287    train loss        5.78500580e+00
       10289    train loss        5.78500576e+00
       10305    train loss        5.78500506e+00
       10461    train loss        5.78499569e+00
       10471    train loss        5.78499535e+00
       10476    train loss        5.78499521e+00
       10494    train loss        5.78499456e+00
       10497    train loss        5.78499447e+00
       10500    train loss        5.78499443e+00
       10504    train loss        5.78499432e+00
       10584    train loss        5.78499061e+00
       10591    train loss        5.78499044e+00
       10598    train loss        5.78499025e+00
       10640    train loss        5.78498844e+00
       10764    train loss        5.78498288e+00
       10786    train loss        5.78498198e+00
       10862    train loss        5.78497897e+00
       10897    train loss        5.78497770e+00
       10953    train loss        5.78497545e+00
       10982    train loss        5.78497433e+00
       11018    train loss        5.78497289e+00
       11029    train loss        5.78497265e+00
       11031    train loss        5.78497263e+00
--------------------------------------------------
