Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        5.89382108e+01
         200  $\mathcal{L}_{res}$        3.67858015e+00
         400  $\mathcal{L}_{res}$        2.49045177e+00
         600  $\mathcal{L}_{res}$        1.38301178e+00
         800  $\mathcal{L}_{res}$        1.06684381e+00
        1000  $\mathcal{L}_{res}$        6.48753649e-01
        1200  $\mathcal{L}_{res}$        4.92946367e-01
        1400  $\mathcal{L}_{res}$        3.44770759e-01
        1600  $\mathcal{L}_{res}$        2.75891803e-01
        1800  $\mathcal{L}_{res}$        2.57803326e-01
        2000  $\mathcal{L}_{res}$        2.31455336e-01
        2200  $\mathcal{L}_{res}$        2.03846992e-01
        2400  $\mathcal{L}_{res}$        2.01607342e-01
        2600  $\mathcal{L}_{res}$        1.87434664e-01
        2800  $\mathcal{L}_{res}$        1.71397078e-01
        3000  $\mathcal{L}_{res}$        1.44056255e-01
        3000  $\mathcal{L}_{res}$        1.79142755e-01
        4000  $\mathcal{L}_{res}$        5.85707280e-02
        5000  $\mathcal{L}_{res}$        1.43951743e-02
        6000  $\mathcal{L}_{res}$        7.60157314e-03
        7000  $\mathcal{L}_{res}$        4.81736427e-03
        8000  $\mathcal{L}_{res}$        3.63743376e-03
        9000  $\mathcal{L}_{res}$        2.86517841e-03
       10000  $\mathcal{L}_{res}$        2.35380204e-03
       11000  $\mathcal{L}_{res}$        1.90966520e-03
       12000  $\mathcal{L}_{res}$        1.63057713e-03
       12546  $\mathcal{L}_{res}$        1.49095718e-03
       13546  $\mathcal{L}_{res}$        1.31602173e-03
       13869  $\mathcal{L}_{res}$        1.26216636e-03
       14869  $\mathcal{L}_{res}$        1.12758819e-03
       15869  $\mathcal{L}_{res}$        9.86960781e-04
       16869  $\mathcal{L}_{res}$        8.59573561e-04
       17499  $\mathcal{L}_{res}$        7.74804520e-04
       17671  $\mathcal{L}_{res}$        7.57847565e-04
       17731  $\mathcal{L}_{res}$        7.52290229e-04
       18731  $\mathcal{L}_{res}$        5.97647714e-04
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        4.44386320e+01
         200  $\mathcal{L}_{bc0}$        1.48184999e+01
         400  $\mathcal{L}_{bc0}$        1.05819504e+01
         600  $\mathcal{L}_{bc0}$        9.24695352e+00
         800  $\mathcal{L}_{bc0}$        8.49791984e+00
        1000  $\mathcal{L}_{bc0}$        7.61060141e+00
        1200  $\mathcal{L}_{bc0}$        7.27715144e+00
        1400  $\mathcal{L}_{bc0}$        7.07852566e+00
        1600  $\mathcal{L}_{bc0}$        6.98579429e+00
        1800  $\mathcal{L}_{bc0}$        6.95852961e+00
        2000  $\mathcal{L}_{bc0}$        6.93248825e+00
        2200  $\mathcal{L}_{bc0}$        6.91893723e+00
        2400  $\mathcal{L}_{bc0}$        6.91701013e+00
        2600  $\mathcal{L}_{bc0}$        6.89614993e+00
        2800  $\mathcal{L}_{bc0}$        6.87421136e+00
        3000  $\mathcal{L}_{bc0}$        6.85813181e+00
        3000  $\mathcal{L}_{bc0}$        6.85813181e+00
        4000  $\mathcal{L}_{bc0}$        5.79363462e+00
        5000  $\mathcal{L}_{bc0}$        5.78626141e+00
        6000  $\mathcal{L}_{bc0}$        5.78527873e+00
        7000  $\mathcal{L}_{bc0}$        5.78510655e+00
        8000  $\mathcal{L}_{bc0}$        5.78501304e+00
        9000  $\mathcal{L}_{bc0}$        5.78492749e+00
       10000  $\mathcal{L}_{bc0}$        5.78488566e+00
       11000  $\mathcal{L}_{bc0}$        5.78487756e+00
       12000  $\mathcal{L}_{bc0}$        5.78487452e+00
       12546  $\mathcal{L}_{bc0}$        5.78485611e+00
