Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        1.69547028e+02
         200  $\mathcal{L}_{res}$        3.96527107e+00
         400  $\mathcal{L}_{res}$        3.76451209e+00
         600  $\mathcal{L}_{res}$        2.05095538e+00
         800  $\mathcal{L}_{res}$        1.80079666e+00
        1000  $\mathcal{L}_{res}$        1.51656349e+00
        1200  $\mathcal{L}_{res}$        1.19117390e+00
        1400  $\mathcal{L}_{res}$        9.63332591e-01
        1600  $\mathcal{L}_{res}$        7.35323957e-01
        1800  $\mathcal{L}_{res}$        6.57665713e-01
        2000  $\mathcal{L}_{res}$        6.88087043e-01
        2200  $\mathcal{L}_{res}$        5.08280764e-01
        2400  $\mathcal{L}_{res}$        4.43540558e-01
        2600  $\mathcal{L}_{res}$        4.08406821e-01
        2800  $\mathcal{L}_{res}$        3.59594302e-01
        3000  $\mathcal{L}_{res}$        3.28360591e-01
        3000  $\mathcal{L}_{res}$        4.04224497e-01
        4000  $\mathcal{L}_{res}$        2.64434676e-02
        5000  $\mathcal{L}_{res}$        1.06838540e-02
        6000  $\mathcal{L}_{res}$        6.17640999e-03
        7000  $\mathcal{L}_{res}$        3.93444833e-03
        8000  $\mathcal{L}_{res}$        2.36613326e-03
        9000  $\mathcal{L}_{res}$        1.24401899e-03
       10000  $\mathcal{L}_{res}$        6.86224827e-04
       10994  $\mathcal{L}_{res}$        4.34185588e-04
       11856  $\mathcal{L}_{res}$        3.22178451e-04
       12477  $\mathcal{L}_{res}$        2.74586477e-04
       12490  $\mathcal{L}_{res}$        2.73596398e-04
       12500  $\mathcal{L}_{res}$        2.73327750e-04
       12518  $\mathcal{L}_{res}$        2.72770630e-04
       12629  $\mathcal{L}_{res}$        2.64723057e-04
       12652  $\mathcal{L}_{res}$        2.63806400e-04
       12716  $\mathcal{L}_{res}$        2.61031926e-04
       12838  $\mathcal{L}_{res}$        2.55881023e-04
       12872  $\mathcal{L}_{res}$        2.52781194e-04
       12892  $\mathcal{L}_{res}$        2.51450937e-04
       12918  $\mathcal{L}_{res}$        2.50365699e-04
       12921  $\mathcal{L}_{res}$        2.50291513e-04
       12966  $\mathcal{L}_{res}$        2.47692993e-04
       12988  $\mathcal{L}_{res}$        2.46690830e-04
       13052  $\mathcal{L}_{res}$        2.43237586e-04
       13263  $\mathcal{L}_{res}$        2.32259848e-04
       13267  $\mathcal{L}_{res}$        2.32120846e-04
       13269  $\mathcal{L}_{res}$        2.32119237e-04
       13292  $\mathcal{L}_{res}$        2.31384508e-04
       13310  $\mathcal{L}_{res}$        2.30637528e-04
       13402  $\mathcal{L}_{res}$        2.25997144e-04
       13410  $\mathcal{L}_{res}$        2.25801780e-04
       13477  $\mathcal{L}_{res}$        2.22804824e-04
       13521  $\mathcal{L}_{res}$        2.20409527e-04
       13524  $\mathcal{L}_{res}$        2.20364986e-04
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        5.72927631e+01
         200  $\mathcal{L}_{bc0}$        1.48912353e+01
         400  $\mathcal{L}_{bc0}$        1.07529217e+01
         600  $\mathcal{L}_{bc0}$        8.94563460e+00
         800  $\mathcal{L}_{bc0}$        8.55669566e+00
        1000  $\mathcal{L}_{bc0}$        8.01363864e+00
        1200  $\mathcal{L}_{bc0}$        7.42190300e+00
        1400  $\mathcal{L}_{bc0}$        7.06744231e+00
        1600  $\mathcal{L}_{bc0}$        6.66904914e+00
        1800  $\mathcal{L}_{bc0}$        6.48332182e+00
        2000  $\mathcal{L}_{bc0}$        6.40001748e+00
        2200  $\mathcal{L}_{bc0}$        6.28697878e+00
        2400  $\mathcal{L}_{bc0}$        6.23994620e+00
        2600  $\mathcal{L}_{bc0}$        6.20518848e+00
        2800  $\mathcal{L}_{bc0}$        6.18355831e+00
        3000  $\mathcal{L}_{bc0}$        6.16057637e+00
        3000  $\mathcal{L}_{bc0}$        6.16057637e+00
        4000  $\mathcal{L}_{bc0}$        5.83918908e+00
        5000  $\mathcal{L}_{bc0}$        5.81531609e+00
        6000  $\mathcal{L}_{bc0}$        5.81466194e+00
        7000  $\mathcal{L}_{bc0}$        5.81451370e+00
        8000  $\mathcal{L}_{bc0}$        5.81445151e+00
        9000  $\mathcal{L}_{bc0}$        5.81440475e+00
       10000  $\mathcal{L}_{bc0}$        5.81438189e+00
       10994  $\mathcal{L}_{bc0}$        5.81435454e+00
       11856  $\mathcal{L}_{bc0}$        5.81434781e+00
       12477  $\mathcal{L}_{bc0}$        5.81434253e+00
       12490  $\mathcal{L}_{bc0}$        5.81434257e+00
       12500  $\mathcal{L}_{bc0}$        5.81434253e+00
       12518  $\mathcal{L}_{bc0}$        5.81434245e+00
       12629  $\mathcal{L}_{bc0}$        5.81434211e+00
       12652  $\mathcal{L}_{bc0}$        5.81434210e+00
       12716  $\mathcal{L}_{bc0}$        5.81434169e+00
       12838  $\mathcal{L}_{bc0}$        5.81434137e+00
       12872  $\mathcal{L}_{bc0}$        5.81434156e+00
       12892  $\mathcal{L}_{bc0}$        5.81434157e+00
       12918  $\mathcal{L}_{bc0}$        5.81434138e+00
       12921  $\mathcal{L}_{bc0}$        5.81434140e+00
       12966  $\mathcal{L}_{bc0}$        5.81434081e+00
       12988  $\mathcal{L}_{bc0}$        5.81434100e+00
       13052  $\mathcal{L}_{bc0}$        5.81434075e+00
       13263  $\mathcal{L}_{bc0}$        5.81434011e+00
       13267  $\mathcal{L}_{bc0}$        5.81434019e+00
       13269  $\mathcal{L}_{bc0}$        5.81434016e+00
       13292  $\mathcal{L}_{bc0}$        5.81433986e+00
       13310  $\mathcal{L}_{bc0}$        5.81433966e+00
       13402  $\mathcal{L}_{bc0}$        5.81433954e+00
       13410  $\mathcal{L}_{bc0}$        5.81433959e+00
       13477  $\mathcal{L}_{bc0}$        5.81433976e+00
       13521  $\mathcal{L}_{bc0}$        5.81434001e+00
       13524  $\mathcal{L}_{bc0}$        5.81434002e+00
--------------------------------------------------
           0     test loss        2.12844995e+02
         200     test loss        1.60506265e+01
         400     test loss        1.14884255e+01
         600     test loss        9.31163283e+00
         800     test loss        8.80657439e+00
        1000     test loss        8.20784714e+00
        1200     test loss        7.56125145e+00
        1400     test loss        7.24504865e+00
        1600     test loss        6.76481670e+00
        1800     test loss        6.56803339e+00
        2000     test loss        6.52830116e+00
        2200     test loss        6.35013770e+00
        2400     test loss        6.29177066e+00
        2600     test loss        6.24930334e+00
        2800     test loss        6.22871753e+00
        3000     test loss        6.20294446e+00
        3000     test loss        6.20294446e+00
        4000     test loss        5.85116236e+00
        5000     test loss        5.82002297e+00
        6000     test loss        5.81688731e+00
        7000     test loss        5.81529456e+00
        8000     test loss        5.81508007e+00
        9000     test loss        5.81492889e+00
       10000     test loss        5.81472812e+00
       10994     test loss        5.81458899e+00
       11856     test loss        5.81455013e+00
       12477     test loss        5.81451860e+00
       12490     test loss        5.81451983e+00
       12500     test loss        5.81452010e+00
       12518     test loss        5.81452103e+00
       12629     test loss        5.81451251e+00
       12652     test loss        5.81451101e+00
       12716     test loss        5.81451264e+00
       12838     test loss        5.81451094e+00
       12872     test loss        5.81450764e+00
       12892     test loss        5.81450875e+00
       12918     test loss        5.81450452e+00
       12921     test loss        5.81450428e+00
       12966     test loss        5.81450819e+00
       12988     test loss        5.81450874e+00
       13052     test loss        5.81450660e+00
       13263     test loss        5.81450026e+00
       13267     test loss        5.81450054e+00
       13269     test loss        5.81450042e+00
       13292     test loss        5.81449871e+00
       13310     test loss        5.81450041e+00
       13402     test loss        5.81449572e+00
       13410     test loss        5.81449577e+00
       13477     test loss        5.81449510e+00
       13521     test loss        5.81449213e+00
       13524     test loss        5.81449215e+00
--------------------------------------------------
           0    train loss        2.26839791e+02
         200    train loss        1.88565064e+01
         400    train loss        1.45174338e+01
         600    train loss        1.09965900e+01
         800    train loss        1.03574923e+01
        1000    train loss        9.53020214e+00
        1200    train loss        8.61307691e+00
        1400    train loss        8.03077490e+00
        1600    train loss        7.40437310e+00
        1800    train loss        7.14098753e+00
        2000    train loss        7.08810452e+00
        2200    train loss        6.79525954e+00
        2400    train loss        6.68348676e+00
        2600    train loss        6.61359530e+00
        2800    train loss        6.54315262e+00
        3000    train loss        6.48893696e+00
        3000    train loss        6.56480087e+00
        4000    train loss        5.86563255e+00
        5000    train loss        5.82599994e+00
        6000    train loss        5.82083835e+00
        7000    train loss        5.81844815e+00
        8000    train loss        5.81681765e+00
        9000    train loss        5.81564877e+00
       10000    train loss        5.81506812e+00
       10994    train loss        5.81478873e+00
       11856    train loss        5.81466999e+00
       12477    train loss        5.81461711e+00
       12490    train loss        5.81461617e+00
       12500    train loss        5.81461586e+00
       12518    train loss        5.81461522e+00
       12629    train loss        5.81460683e+00
       12652    train loss        5.81460591e+00
       12716    train loss        5.81460272e+00
       12838    train loss        5.81459725e+00
       12872    train loss        5.81459434e+00
       12892    train loss        5.81459302e+00
       12918    train loss        5.81459175e+00
       12921    train loss        5.81459169e+00
       12966    train loss        5.81458850e+00
       12988    train loss        5.81458769e+00
       13052    train loss        5.81458398e+00
       13263    train loss        5.81457237e+00
       13267    train loss        5.81457231e+00
       13269    train loss        5.81457228e+00
       13292    train loss        5.81457124e+00
       13310    train loss        5.81457030e+00
       13402    train loss        5.81456554e+00
       13410    train loss        5.81456539e+00
       13477    train loss        5.81456256e+00
       13521    train loss        5.81456042e+00
       13524    train loss        5.81456039e+00
--------------------------------------------------
