Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        3.56954697e+01
         200  $\mathcal{L}_{res}$        2.74464881e-01
         400  $\mathcal{L}_{res}$        2.40354020e-01
         600  $\mathcal{L}_{res}$        2.07189690e-01
         800  $\mathcal{L}_{res}$        2.01638669e-01
        1000  $\mathcal{L}_{res}$        1.95857375e-01
        1200  $\mathcal{L}_{res}$        1.52133741e-01
        1400  $\mathcal{L}_{res}$        1.39473845e-01
        1600  $\mathcal{L}_{res}$        1.32452522e-01
        1800  $\mathcal{L}_{res}$        1.13186166e-01
        2000  $\mathcal{L}_{res}$        1.02576764e-01
        2200  $\mathcal{L}_{res}$        8.69817311e-02
        2400  $\mathcal{L}_{res}$        8.04510652e-02
        2600  $\mathcal{L}_{res}$        8.10327477e-02
        2800  $\mathcal{L}_{res}$        7.40115076e-02
        3000  $\mathcal{L}_{res}$        7.00663457e-02
        3000  $\mathcal{L}_{res}$        6.97895855e-02
        4000  $\mathcal{L}_{res}$        2.84558326e-03
        5000  $\mathcal{L}_{res}$        5.36181409e-04
        6000  $\mathcal{L}_{res}$        2.80011297e-04
        7000  $\mathcal{L}_{res}$        1.82060123e-04
        7160  $\mathcal{L}_{res}$        1.61534489e-04
        7408  $\mathcal{L}_{res}$        1.44766250e-04
        7570  $\mathcal{L}_{res}$        1.36433533e-04
        7575  $\mathcal{L}_{res}$        1.36418231e-04
        7582  $\mathcal{L}_{res}$        1.36132297e-04
        7658  $\mathcal{L}_{res}$        1.33097043e-04
        7790  $\mathcal{L}_{res}$        1.16993223e-04
        7830  $\mathcal{L}_{res}$        1.17163240e-04
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        1.69686824e+00
         200  $\mathcal{L}_{bc0}$        5.47946316e-01
         400  $\mathcal{L}_{bc0}$        5.17050031e-01
         600  $\mathcal{L}_{bc0}$        4.67727626e-01
         800  $\mathcal{L}_{bc0}$        4.19673611e-01
        1000  $\mathcal{L}_{bc0}$        3.67325658e-01
        1200  $\mathcal{L}_{bc0}$        3.12678621e-01
        1400  $\mathcal{L}_{bc0}$        2.75603442e-01
        1600  $\mathcal{L}_{bc0}$        2.53721013e-01
        1800  $\mathcal{L}_{bc0}$        2.28445423e-01
        2000  $\mathcal{L}_{bc0}$        2.13767962e-01
        2200  $\mathcal{L}_{bc0}$        2.07372014e-01
        2400  $\mathcal{L}_{bc0}$        2.02677985e-01
        2600  $\mathcal{L}_{bc0}$        1.99167784e-01
        2800  $\mathcal{L}_{bc0}$        1.98181382e-01
        3000  $\mathcal{L}_{bc0}$        1.93971766e-01
        3000  $\mathcal{L}_{bc0}$        1.93971766e-01
        4000  $\mathcal{L}_{bc0}$        1.10581679e-01
        5000  $\mathcal{L}_{bc0}$        1.09602867e-01
        6000  $\mathcal{L}_{bc0}$        1.09417145e-01
        7000  $\mathcal{L}_{bc0}$        1.09271776e-01
        7160  $\mathcal{L}_{bc0}$        1.09259921e-01
        7408  $\mathcal{L}_{bc0}$        1.09237940e-01
        7570  $\mathcal{L}_{bc0}$        1.09226392e-01
        7575  $\mathcal{L}_{bc0}$        1.09226221e-01
        7582  $\mathcal{L}_{bc0}$        1.09226217e-01
        7658  $\mathcal{L}_{bc0}$        1.09223925e-01
        7790  $\mathcal{L}_{bc0}$        1.09222963e-01
        7830  $\mathcal{L}_{bc0}$        1.09220617e-01
--------------------------------------------------
           0     test loss        3.27022050e+01
         200     test loss        6.53214082e-01
         400     test loss        5.95568480e-01
         600     test loss        5.26887792e-01
         800     test loss        4.73516798e-01
        1000     test loss        4.17037390e-01
        1200     test loss        3.64928361e-01
        1400     test loss        3.18168370e-01
        1600     test loss        2.89355639e-01
        1800     test loss        2.53146006e-01
        2000     test loss        2.34180649e-01
        2200     test loss        2.25409622e-01
        2400     test loss        2.20441065e-01
        2600     test loss        2.15761837e-01
        2800     test loss        2.13622065e-01
        3000     test loss        2.07609843e-01
        3000     test loss        2.07609843e-01
        4000     test loss        1.11879656e-01
        5000     test loss        1.09962364e-01
        6000     test loss        1.09558241e-01
        7000     test loss        1.09354048e-01
        7160     test loss        1.09332588e-01
        7408     test loss        1.09288985e-01
        7570     test loss        1.09276441e-01
        7575     test loss        1.09276786e-01
        7582     test loss        1.09275820e-01
        7658     test loss        1.09273365e-01
        7790     test loss        1.09267378e-01
        7830     test loss        1.09267406e-01
--------------------------------------------------
           0    train loss        3.73923379e+01
         200    train loss        8.22411197e-01
         400    train loss        7.57404052e-01
         600    train loss        6.74917316e-01
         800    train loss        6.21312279e-01
        1000    train loss        5.63183033e-01
        1200    train loss        4.64812363e-01
        1400    train loss        4.15077287e-01
        1600    train loss        3.86173535e-01
        1800    train loss        3.41631589e-01
        2000    train loss        3.16344726e-01
        2200    train loss        2.94353745e-01
        2400    train loss        2.83129051e-01
        2600    train loss        2.80200532e-01
        2800    train loss        2.72192889e-01
        3000    train loss        2.64038112e-01
        3000    train loss        2.63761352e-01
        4000    train loss        1.13427262e-01
        5000    train loss        1.10139048e-01
        6000    train loss        1.09697157e-01
        7000    train loss        1.09453836e-01
        7160    train loss        1.09421455e-01
        7408    train loss        1.09382707e-01
        7570    train loss        1.09362825e-01
        7575    train loss        1.09362639e-01
        7582    train loss        1.09362349e-01
        7658    train loss        1.09357022e-01
        7790    train loss        1.09339956e-01
        7830    train loss        1.09337780e-01
--------------------------------------------------
