Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        4.61465250e+01
         200  $\mathcal{L}_{res}$        3.46265541e+00
         400  $\mathcal{L}_{res}$        1.62571730e+00
         600  $\mathcal{L}_{res}$        1.15076464e+00
         800  $\mathcal{L}_{res}$        7.53335411e-01
        1000  $\mathcal{L}_{res}$        5.02644972e-01
        1200  $\mathcal{L}_{res}$        3.90925253e-01
        1400  $\mathcal{L}_{res}$        3.64558404e-01
        1600  $\mathcal{L}_{res}$        3.43691290e-01
        1800  $\mathcal{L}_{res}$        2.42245398e-01
        2000  $\mathcal{L}_{res}$        2.23554190e-01
        2200  $\mathcal{L}_{res}$        1.95254594e-01
        2400  $\mathcal{L}_{res}$        2.04612124e-01
        2600  $\mathcal{L}_{res}$        1.76438568e-01
        2800  $\mathcal{L}_{res}$        1.82447412e-01
        3000  $\mathcal{L}_{res}$        1.66958753e-01
        3000  $\mathcal{L}_{res}$        4.03939845e-01
        4000  $\mathcal{L}_{res}$        7.46147514e-03
        5000  $\mathcal{L}_{res}$        2.37916374e-03
        6000  $\mathcal{L}_{res}$        1.28268724e-03
        7000  $\mathcal{L}_{res}$        7.29473380e-04
        8000  $\mathcal{L}_{res}$        4.69415431e-04
        8862  $\mathcal{L}_{res}$        3.44089330e-04
        9392  $\mathcal{L}_{res}$        2.91020937e-04
        9567  $\mathcal{L}_{res}$        2.75530651e-04
        9780  $\mathcal{L}_{res}$        2.58668939e-04
        9874  $\mathcal{L}_{res}$        2.51887810e-04
       10194  $\mathcal{L}_{res}$        2.25800747e-04
       10496  $\mathcal{L}_{res}$        2.03689242e-04
       10534  $\mathcal{L}_{res}$        2.01840320e-04
       10544  $\mathcal{L}_{res}$        2.01312157e-04
       10724  $\mathcal{L}_{res}$        1.91609931e-04
       10911  $\mathcal{L}_{res}$        1.80916657e-04
       11022  $\mathcal{L}_{res}$        1.75434451e-04
       11124  $\mathcal{L}_{res}$        1.70836255e-04
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        5.20990374e+01
         200  $\mathcal{L}_{bc0}$        1.19794490e+01
         400  $\mathcal{L}_{bc0}$        8.64590198e+00
