Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        2.83683623e+01
         200  $\mathcal{L}_{res}$        1.68299564e-01
         400  $\mathcal{L}_{res}$        1.23594577e-01
         600  $\mathcal{L}_{res}$        1.06134318e-01
         800  $\mathcal{L}_{res}$        9.72032002e-02
        1000  $\mathcal{L}_{res}$        9.45578423e-02
        1200  $\mathcal{L}_{res}$        8.54059743e-02
        1400  $\mathcal{L}_{res}$        9.41624202e-02
        1600  $\mathcal{L}_{res}$        8.41086327e-02
        1800  $\mathcal{L}_{res}$        6.63517929e-02
        2000  $\mathcal{L}_{res}$        6.50203093e-02
        2200  $\mathcal{L}_{res}$        6.18295759e-02
        2400  $\mathcal{L}_{res}$        6.22579696e-02
        2600  $\mathcal{L}_{res}$        5.40787401e-02
        2800  $\mathcal{L}_{res}$        5.31808184e-02
        3000  $\mathcal{L}_{res}$        4.88590180e-02
        3000  $\mathcal{L}_{res}$        4.62933421e-02
        4000  $\mathcal{L}_{res}$        3.57766360e-03
        5000  $\mathcal{L}_{res}$        1.09572274e-03
        6000  $\mathcal{L}_{res}$        4.36941901e-04
        6994  $\mathcal{L}_{res}$        2.08840919e-04
        7490  $\mathcal{L}_{res}$        1.63061379e-04
        7631  $\mathcal{L}_{res}$        1.51460518e-04
        7900  $\mathcal{L}_{res}$        1.33613144e-04
        7972  $\mathcal{L}_{res}$        1.30627025e-04
        8039  $\mathcal{L}_{res}$        1.26868521e-04
        8054  $\mathcal{L}_{res}$        1.26460001e-04
        8145  $\mathcal{L}_{res}$        1.21157317e-04
        8201  $\mathcal{L}_{res}$        1.18369053e-04
        8304  $\mathcal{L}_{res}$        1.11676906e-04
        8357  $\mathcal{L}_{res}$        1.09098200e-04
        8390  $\mathcal{L}_{res}$        1.07500421e-04
        8399  $\mathcal{L}_{res}$        1.07065232e-04
        8455  $\mathcal{L}_{res}$        1.03766426e-04
        8666  $\mathcal{L}_{res}$        9.12182822e-05
        8699  $\mathcal{L}_{res}$        9.00469464e-05
        8702  $\mathcal{L}_{res}$        9.00062422e-05
        8847  $\mathcal{L}_{res}$        8.39304690e-05
        8895  $\mathcal{L}_{res}$        8.17607760e-05
        8931  $\mathcal{L}_{res}$        8.04740098e-05
        8934  $\mathcal{L}_{res}$        8.04478421e-05
        8941  $\mathcal{L}_{res}$        8.03487787e-05
        8947  $\mathcal{L}_{res}$        8.02241570e-05
        8949  $\mathcal{L}_{res}$        8.01875670e-05
        8958  $\mathcal{L}_{res}$        7.99444513e-05
        8973  $\mathcal{L}_{res}$        7.96833299e-05
        8981  $\mathcal{L}_{res}$        7.95320751e-05
        8992  $\mathcal{L}_{res}$        7.90178026e-05
        9018  $\mathcal{L}_{res}$        7.84076676e-05
        9021  $\mathcal{L}_{res}$        7.83585826e-05
        9023  $\mathcal{L}_{res}$        7.83265824e-05
        9102  $\mathcal{L}_{res}$        7.50974738e-05
        9122  $\mathcal{L}_{res}$        7.40140356e-05
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        1.70525564e+00
         200  $\mathcal{L}_{bc0}$        5.61973293e-01
         400  $\mathcal{L}_{bc0}$        5.03787949e-01
