Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        2.99397087e+02
         200  $\mathcal{L}_{res}$        3.41517750e+00
         400  $\mathcal{L}_{res}$        2.14838979e+00
         600  $\mathcal{L}_{res}$        1.79905942e+00
         800  $\mathcal{L}_{res}$        1.56626777e+00
        1000  $\mathcal{L}_{res}$        1.34504918e+00
        1200  $\mathcal{L}_{res}$        1.10944522e+00
        1400  $\mathcal{L}_{res}$        7.75518255e-01
        1600  $\mathcal{L}_{res}$        6.18698795e-01
        1800  $\mathcal{L}_{res}$        4.92052700e-01
        2000  $\mathcal{L}_{res}$        3.54188492e-01
        2200  $\mathcal{L}_{res}$        3.35340433e-01
        2400  $\mathcal{L}_{res}$        2.70150451e-01
        2600  $\mathcal{L}_{res}$        2.98355372e-01
        2800  $\mathcal{L}_{res}$        2.38408704e-01
        3000  $\mathcal{L}_{res}$        2.19089006e-01
        3000  $\mathcal{L}_{res}$        2.60815961e-01
        4000  $\mathcal{L}_{res}$        1.08949947e-02
        5000  $\mathcal{L}_{res}$        4.50503922e-03
        6000  $\mathcal{L}_{res}$        3.31479412e-03
        7000  $\mathcal{L}_{res}$        2.00378363e-03
        8000  $\mathcal{L}_{res}$        1.54435724e-03
        9000  $\mathcal{L}_{res}$        1.21001322e-03
       10000  $\mathcal{L}_{res}$        1.05483425e-03
       11000  $\mathcal{L}_{res}$        9.04366740e-04
       11215  $\mathcal{L}_{res}$        8.83843439e-04
       12215  $\mathcal{L}_{res}$        6.80714152e-04
       12286  $\mathcal{L}_{res}$        6.72383691e-04
       12610  $\mathcal{L}_{res}$        6.06649326e-04
       12793  $\mathcal{L}_{res}$        5.88478063e-04
       13695  $\mathcal{L}_{res}$        4.47546982e-04
       14020  $\mathcal{L}_{res}$        4.07344530e-04
       14312  $\mathcal{L}_{res}$        3.70236036e-04
       14319  $\mathcal{L}_{res}$        3.69917773e-04
       14337  $\mathcal{L}_{res}$        3.67268699e-04
       14626  $\mathcal{L}_{res}$        3.41083313e-04
       14813  $\mathcal{L}_{res}$        3.26933682e-04
       14907  $\mathcal{L}_{res}$        3.20723528e-04
       14942  $\mathcal{L}_{res}$        3.18092213e-04
       15063  $\mathcal{L}_{res}$        3.06697630e-04
       15218  $\mathcal{L}_{res}$        3.05724726e-04
       15374  $\mathcal{L}_{res}$        3.02758214e-04
       15417  $\mathcal{L}_{res}$        3.01947276e-04
       15487  $\mathcal{L}_{res}$        2.99207045e-04
       15542  $\mathcal{L}_{res}$        2.97258495e-04
       15564  $\mathcal{L}_{res}$        2.95975208e-04
       15626  $\mathcal{L}_{res}$        2.96741645e-04
       15728  $\mathcal{L}_{res}$        2.86894593e-04
       15914  $\mathcal{L}_{res}$        2.89151779e-04
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        8.55860934e-01
         200  $\mathcal{L}_{bc0}$        8.03355974e-01
         400  $\mathcal{L}_{bc0}$        8.06439269e-01
         600  $\mathcal{L}_{bc0}$        8.53295651e-01
         800  $\mathcal{L}_{bc0}$        8.91935916e-01
        1000  $\mathcal{L}_{bc0}$        9.01447194e-01
        1200  $\mathcal{L}_{bc0}$        7.96401015e-01
        1400  $\mathcal{L}_{bc0}$        4.89546626e-01
        1600  $\mathcal{L}_{bc0}$        3.39115646e-01
        1800  $\mathcal{L}_{bc0}$        2.68959253e-01
        2000  $\mathcal{L}_{bc0}$        2.39342303e-01
        2200  $\mathcal{L}_{bc0}$        2.21741763e-01
        2400  $\mathcal{L}_{bc0}$        2.20622166e-01
        2600  $\mathcal{L}_{bc0}$        2.16670141e-01
        2800  $\mathcal{L}_{bc0}$        2.15647269e-01
        3000  $\mathcal{L}_{bc0}$        2.15701071e-01
        3000  $\mathcal{L}_{bc0}$        2.15701071e-01
        4000  $\mathcal{L}_{bc0}$        1.33922790e-01
        5000  $\mathcal{L}_{bc0}$        1.24033917e-01
        6000  $\mathcal{L}_{bc0}$        1.21444766e-01
        7000  $\mathcal{L}_{bc0}$        1.20406077e-01
        8000  $\mathcal{L}_{bc0}$        1.19465771e-01
        9000  $\mathcal{L}_{bc0}$        1.18906786e-01
       10000  $\mathcal{L}_{bc0}$        1.18267183e-01
       11000  $\mathcal{L}_{bc0}$        1.17890374e-01
       11215  $\mathcal{L}_{bc0}$        1.17816862e-01
       12215  $\mathcal{L}_{bc0}$        1.17643136e-01
       12286  $\mathcal{L}_{bc0}$        1.17637297e-01
       12610  $\mathcal{L}_{bc0}$        1.17607506e-01
       12793  $\mathcal{L}_{bc0}$        1.17577968e-01
       13695  $\mathcal{L}_{bc0}$        1.17539623e-01
       14020  $\mathcal{L}_{bc0}$        1.17530434e-01
       14312  $\mathcal{L}_{bc0}$        1.17526294e-01
       14319  $\mathcal{L}_{bc0}$        1.17526079e-01
       14337  $\mathcal{L}_{bc0}$        1.17525654e-01
       14626  $\mathcal{L}_{bc0}$        1.17512293e-01
       14813  $\mathcal{L}_{bc0}$        1.17504337e-01
       14907  $\mathcal{L}_{bc0}$        1.17498420e-01
       14942  $\mathcal{L}_{bc0}$        1.17497625e-01
       15063  $\mathcal{L}_{bc0}$        1.17493474e-01
       15218  $\mathcal{L}_{bc0}$        1.17476783e-01
       15374  $\mathcal{L}_{bc0}$        1.17454099e-01
       15417  $\mathcal{L}_{bc0}$        1.17449619e-01
       15487  $\mathcal{L}_{bc0}$        1.17439289e-01
       15542  $\mathcal{L}_{bc0}$        1.17436546e-01
       15564  $\mathcal{L}_{bc0}$        1.17436631e-01
       15626  $\mathcal{L}_{bc0}$        1.17430451e-01
       15728  $\mathcal{L}_{bc0}$        1.17424667e-01
       15914  $\mathcal{L}_{bc0}$        1.17399080e-01
--------------------------------------------------
           0     test loss        2.74795843e+02
         200     test loss        2.17292924e+00
         400     test loss        1.33162039e+00
         600     test loss        1.21621911e+00
         800     test loss        1.15165705e+00
        1000     test loss        1.10151194e+00
        1200     test loss        9.44261916e-01
        1400     test loss        5.89749229e-01
        1600     test loss        4.18962124e-01
        1800     test loss        3.24662551e-01
        2000     test loss        2.85817041e-01
        2200     test loss        2.66145441e-01
        2400     test loss        2.68806154e-01
        2600     test loss        2.62977170e-01
        2800     test loss        2.64527078e-01
        3000     test loss        2.65304467e-01
        3000     test loss        2.65304467e-01
        4000     test loss        1.39362911e-01
        5000     test loss        1.25396724e-01
        6000     test loss        1.22646986e-01
        7000     test loss        1.21204348e-01
        8000     test loss        1.20031547e-01
        9000     test loss        1.19451834e-01
       10000     test loss        1.18723913e-01
       11000     test loss        1.18288040e-01
       11215     test loss        1.18229728e-01
       12215     test loss        1.17989074e-01
       12286     test loss        1.17985627e-01
       12610     test loss        1.17904955e-01
       12793     test loss        1.17809178e-01
       13695     test loss        1.17700216e-01
       14020     test loss        1.17669314e-01
       14312     test loss        1.17675983e-01
       14319     test loss        1.17673126e-01
       14337     test loss        1.17674039e-01
       14626     test loss        1.17642034e-01
       14813     test loss        1.17629216e-01
       14907     test loss        1.17623764e-01
       14942     test loss        1.17621028e-01
       15063     test loss        1.17600551e-01
       15218     test loss        1.17577991e-01
       15374     test loss        1.17559887e-01
       15417     test loss        1.17559823e-01
       15487     test loss        1.17545218e-01
       15542     test loss        1.17538280e-01
       15564     test loss        1.17538456e-01
       15626     test loss        1.17533133e-01
       15728     test loss        1.17532253e-01
       15914     test loss        1.17501333e-01
--------------------------------------------------
           0    train loss        3.00252948e+02
         200    train loss        4.21853347e+00
         400    train loss        2.95482906e+00
         600    train loss        2.65235507e+00
         800    train loss        2.45820368e+00
        1000    train loss        2.24649638e+00
        1200    train loss        1.90584623e+00
        1400    train loss        1.26506488e+00
        1600    train loss        9.57814442e-01
        1800    train loss        7.61011953e-01
        2000    train loss        5.93530796e-01
        2200    train loss        5.57082197e-01
        2400    train loss        4.90772617e-01
        2600    train loss        5.15025513e-01
        2800    train loss        4.54055973e-01
        3000    train loss        4.34790077e-01
        3000    train loss        4.76517033e-01
        4000    train loss        1.44817785e-01
        5000    train loss        1.28538957e-01
        6000    train loss        1.24759560e-01
        7000    train loss        1.22409861e-01
        8000    train loss        1.21010128e-01
        9000    train loss        1.20116800e-01
       10000    train loss        1.19322017e-01
       11000    train loss        1.18794741e-01
       11215    train loss        1.18700706e-01
       12215    train loss        1.18323850e-01
       12286    train loss        1.18309681e-01
       12610    train loss        1.18214155e-01
       12793    train loss        1.18166447e-01
       13695    train loss        1.17987170e-01
       14020    train loss        1.17937779e-01
       14312    train loss        1.17896530e-01
       14319    train loss        1.17895997e-01
       14337    train loss        1.17892923e-01
       14626    train loss        1.17853376e-01
       14813    train loss        1.17831271e-01
       14907    train loss        1.17819144e-01
       14942    train loss        1.17815717e-01
       15063    train loss        1.17800171e-01
       15218    train loss        1.17782508e-01
       15374    train loss        1.17756858e-01
       15417    train loss        1.17751567e-01
       15487    train loss        1.17738496e-01
       15542    train loss        1.17733805e-01
       15564    train loss        1.17732606e-01
       15626    train loss        1.17727193e-01
       15728    train loss        1.17711561e-01
       15914    train loss        1.17688232e-01
--------------------------------------------------
