Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        2.13678364e+01
         200  $\mathcal{L}_{res}$        3.81614385e+00
         400  $\mathcal{L}_{res}$        1.41736730e+00
         600  $\mathcal{L}_{res}$        9.95635413e-01
         800  $\mathcal{L}_{res}$        6.91305177e-01
        1000  $\mathcal{L}_{res}$        4.85669046e-01
        1200  $\mathcal{L}_{res}$        3.44172586e-01
        1400  $\mathcal{L}_{res}$        2.78543543e-01
        1600  $\mathcal{L}_{res}$        2.42956638e-01
        1800  $\mathcal{L}_{res}$        2.26729286e-01
        2000  $\mathcal{L}_{res}$        1.96822141e-01
        2200  $\mathcal{L}_{res}$        1.85569738e-01
        2400  $\mathcal{L}_{res}$        2.39267253e-01
        2600  $\mathcal{L}_{res}$        1.66534265e-01
        2800  $\mathcal{L}_{res}$        1.50512827e-01
        3000  $\mathcal{L}_{res}$        1.88864373e-01
        3000  $\mathcal{L}_{res}$        1.88651753e-01
        4000  $\mathcal{L}_{res}$        9.83634059e-03
        5000  $\mathcal{L}_{res}$        4.53011924e-03
        6000  $\mathcal{L}_{res}$        2.96228004e-03
        7000  $\mathcal{L}_{res}$        2.14753723e-03
        8000  $\mathcal{L}_{res}$        1.50901287e-03
        9000  $\mathcal{L}_{res}$        9.16530748e-04
       10000  $\mathcal{L}_{res}$        5.62212434e-04
       11000  $\mathcal{L}_{res}$        4.08803648e-04
       11739  $\mathcal{L}_{res}$        3.42786338e-04
       12194  $\mathcal{L}_{res}$        3.11647133e-04
       12256  $\mathcal{L}_{res}$        3.09196822e-04
       12825  $\mathcal{L}_{res}$        2.70362309e-04
       13048  $\mathcal{L}_{res}$        2.57821985e-04
       13053  $\mathcal{L}_{res}$        2.57655341e-04
       13101  $\mathcal{L}_{res}$        2.56244821e-04
       13166  $\mathcal{L}_{res}$        2.54249857e-04
       13188  $\mathcal{L}_{res}$        2.53533880e-04
       13207  $\mathcal{L}_{res}$        2.52949171e-04
       13226  $\mathcal{L}_{res}$        2.52544250e-04
--------------------------------------------------
