Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        6.54797753e+00
         200  $\mathcal{L}_{res}$        2.59288305e+00
         400  $\mathcal{L}_{res}$        1.04764186e+00
         600  $\mathcal{L}_{res}$        5.60643204e-01
         800  $\mathcal{L}_{res}$        3.08577071e-01
        1000  $\mathcal{L}_{res}$        1.91384883e-01
        1200  $\mathcal{L}_{res}$        1.50716531e-01
        1400  $\mathcal{L}_{res}$        1.68714737e-01
        1600  $\mathcal{L}_{res}$        9.97347909e-02
        1800  $\mathcal{L}_{res}$        9.34801771e-02
        2000  $\mathcal{L}_{res}$        7.82379051e-02
        2200  $\mathcal{L}_{res}$        6.84709036e-02
        2400  $\mathcal{L}_{res}$        6.82050769e-02
        2600  $\mathcal{L}_{res}$        5.43738977e-02
        2800  $\mathcal{L}_{res}$        5.69141328e-02
        3000  $\mathcal{L}_{res}$        5.02504373e-02
        3000  $\mathcal{L}_{res}$        5.87976923e-02
        4000  $\mathcal{L}_{res}$        1.89280130e-02
        5000  $\mathcal{L}_{res}$        5.71632783e-03
        6000  $\mathcal{L}_{res}$        3.50354774e-03
        7000  $\mathcal{L}_{res}$        2.59385846e-03
        8000  $\mathcal{L}_{res}$        2.17002309e-03
        9000  $\mathcal{L}_{res}$        1.88573720e-03
       10000  $\mathcal{L}_{res}$        1.65030913e-03
       10797  $\mathcal{L}_{res}$        1.51811343e-03
       10918  $\mathcal{L}_{res}$        1.50769988e-03
       11027  $\mathcal{L}_{res}$        1.49683425e-03
       11602  $\mathcal{L}_{res}$        1.44344353e-03
       11967  $\mathcal{L}_{res}$        1.41029209e-03
       11973  $\mathcal{L}_{res}$        1.40962241e-03
       12457  $\mathcal{L}_{res}$        1.36214403e-03
       12578  $\mathcal{L}_{res}$        1.35366254e-03
       12735  $\mathcal{L}_{res}$        1.34352012e-03
       12836  $\mathcal{L}_{res}$        1.33637369e-03
       12909  $\mathcal{L}_{res}$        1.33042479e-03
       13195  $\mathcal{L}_{res}$        1.29942479e-03
       14195  $\mathcal{L}_{res}$        1.18750865e-03
       14259  $\mathcal{L}_{res}$        1.18022970e-03
       14814  $\mathcal{L}_{res}$        1.13499782e-03
       14872  $\mathcal{L}_{res}$        1.13033299e-03
       14973  $\mathcal{L}_{res}$        1.12340246e-03
       15103  $\mathcal{L}_{res}$        1.11354780e-03
       15259  $\mathcal{L}_{res}$        1.09297805e-03
       15439  $\mathcal{L}_{res}$        1.07837392e-03
       15617  $\mathcal{L}_{res}$        1.06079964e-03
       15721  $\mathcal{L}_{res}$        1.05589237e-03
       15816  $\mathcal{L}_{res}$        1.04945168e-03
       15820  $\mathcal{L}_{res}$        1.04936274e-03
       15827  $\mathcal{L}_{res}$        1.04912837e-03
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        3.76492815e+01
         200  $\mathcal{L}_{bc0}$        1.13145104e+01
         400  $\mathcal{L}_{bc0}$        8.95536519e+00
         600  $\mathcal{L}_{bc0}$        7.65261738e+00
         800  $\mathcal{L}_{bc0}$        7.24219070e+00
        1000  $\mathcal{L}_{bc0}$        7.03131978e+00
        1200  $\mathcal{L}_{bc0}$        6.95689683e+00
        1400  $\mathcal{L}_{bc0}$        6.94515531e+00
        1600  $\mathcal{L}_{bc0}$        6.90099311e+00
        1800  $\mathcal{L}_{bc0}$        6.88537875e+00
        2000  $\mathcal{L}_{bc0}$        6.86555263e+00
        2200  $\mathcal{L}_{bc0}$        6.85015662e+00
        2400  $\mathcal{L}_{bc0}$        6.84502675e+00
        2600  $\mathcal{L}_{bc0}$        6.82821351e+00
        2800  $\mathcal{L}_{bc0}$        6.81716272e+00
        3000  $\mathcal{L}_{bc0}$        6.80715068e+00
        3000  $\mathcal{L}_{bc0}$        6.80715068e+00
        4000  $\mathcal{L}_{bc0}$        5.78739593e+00
        5000  $\mathcal{L}_{bc0}$        5.78503839e+00
        6000  $\mathcal{L}_{bc0}$        5.78489692e+00
        7000  $\mathcal{L}_{bc0}$        5.78487605e+00
        8000  $\mathcal{L}_{bc0}$        5.78485868e+00
        9000  $\mathcal{L}_{bc0}$        5.78485333e+00
       10000  $\mathcal{L}_{bc0}$        5.78485889e+00
       10797  $\mathcal{L}_{bc0}$        5.78485351e+00
       10918  $\mathcal{L}_{bc0}$        5.78484932e+00
       11027  $\mathcal{L}_{bc0}$        5.78484690e+00
       11602  $\mathcal{L}_{bc0}$        5.78484506e+00
       11967  $\mathcal{L}_{bc0}$        5.78484442e+00
       11973  $\mathcal{L}_{bc0}$        5.78484463e+00
       12457  $\mathcal{L}_{bc0}$        5.78483967e+00
       12578  $\mathcal{L}_{bc0}$        5.78483843e+00
       12735  $\mathcal{L}_{bc0}$        5.78483684e+00
       12836  $\mathcal{L}_{bc0}$        5.78483666e+00
       12909  $\mathcal{L}_{bc0}$        5.78483644e+00
       13195  $\mathcal{L}_{bc0}$        5.78483523e+00
       14195  $\mathcal{L}_{bc0}$        5.78483282e+00
       14259  $\mathcal{L}_{bc0}$        5.78483149e+00
       14814  $\mathcal{L}_{bc0}$        5.78483300e+00
       14872  $\mathcal{L}_{bc0}$        5.78483259e+00
       14973  $\mathcal{L}_{bc0}$        5.78483243e+00
       15103  $\mathcal{L}_{bc0}$        5.78483474e+00
       15259  $\mathcal{L}_{bc0}$        5.78484000e+00
       15439  $\mathcal{L}_{bc0}$        5.78483748e+00
       15617  $\mathcal{L}_{bc0}$        5.78483652e+00
       15721  $\mathcal{L}_{bc0}$        5.78483542e+00
       15816  $\mathcal{L}_{bc0}$        5.78483559e+00
       15820  $\mathcal{L}_{bc0}$        5.78483559e+00
       15827  $\mathcal{L}_{bc0}$        5.78483570e+00
--------------------------------------------------
           0     test loss        4.29296098e+01
         200     test loss        1.15986458e+01
         400     test loss        9.07665815e+00
         600     test loss        7.73167551e+00
         800     test loss        7.27960544e+00
        1000     test loss        7.06242208e+00
        1200     test loss        6.98117915e+00
        1400     test loss        6.97730543e+00
        1600     test loss        6.91902841e+00
        1800     test loss        6.90122103e+00
        2000     test loss        6.88105429e+00
        2200     test loss        6.86557388e+00
        2400     test loss        6.85784697e+00
        2600     test loss        6.83835161e+00
        2800     test loss        6.82726185e+00
        3000     test loss        6.81759783e+00
        3000     test loss        6.81759783e+00
        4000     test loss        5.79729363e+00
        5000     test loss        5.78749957e+00
