Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        1.30043406e+02
         200  $\mathcal{L}_{res}$        1.32982649e+00
         400  $\mathcal{L}_{res}$        1.08094703e+00
         600  $\mathcal{L}_{res}$        9.45683818e-01
         800  $\mathcal{L}_{res}$        7.89095910e-01
        1000  $\mathcal{L}_{res}$        5.60776478e-01
        1200  $\mathcal{L}_{res}$        4.85572561e-01
        1400  $\mathcal{L}_{res}$        4.00777673e-01
        1600  $\mathcal{L}_{res}$        3.23724311e-01
        1800  $\mathcal{L}_{res}$        2.69794671e-01
        2000  $\mathcal{L}_{res}$        2.29956166e-01
        2200  $\mathcal{L}_{res}$        1.77021086e-01
        2400  $\mathcal{L}_{res}$        1.44798806e-01
        2600  $\mathcal{L}_{res}$        1.32127046e-01
        2800  $\mathcal{L}_{res}$        1.08541564e-01
        3000  $\mathcal{L}_{res}$        1.23126531e-01
        3000  $\mathcal{L}_{res}$        1.07200579e-01
        4000  $\mathcal{L}_{res}$        5.29912138e-03
        5000  $\mathcal{L}_{res}$        1.46290109e-03
        6000  $\mathcal{L}_{res}$        7.99408911e-04
        7000  $\mathcal{L}_{res}$        4.66825562e-04
        7537  $\mathcal{L}_{res}$        3.77398057e-04
        8365  $\mathcal{L}_{res}$        2.70637207e-04
        8512  $\mathcal{L}_{res}$        2.51213223e-04
        8525  $\mathcal{L}_{res}$        2.50693841e-04
        8535  $\mathcal{L}_{res}$        2.49789814e-04
        8699  $\mathcal{L}_{res}$        2.33287223e-04
        8766  $\mathcal{L}_{res}$        2.28561277e-04
        8779  $\mathcal{L}_{res}$        2.27703969e-04
        8910  $\mathcal{L}_{res}$        2.16857867e-04
        8933  $\mathcal{L}_{res}$        2.15947122e-04
        8987  $\mathcal{L}_{res}$        2.11051510e-04
        9132  $\mathcal{L}_{res}$        1.97772718e-04
        9145  $\mathcal{L}_{res}$        1.96850981e-04
        9186  $\mathcal{L}_{res}$        1.96136277e-04
        9349  $\mathcal{L}_{res}$        1.82379266e-04
        9370  $\mathcal{L}_{res}$        1.82007520e-04
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        6.14906539e-01
         200  $\mathcal{L}_{bc0}$        6.69484754e-01
         400  $\mathcal{L}_{bc0}$        6.42118597e-01
         600  $\mathcal{L}_{bc0}$        6.30765759e-01
         800  $\mathcal{L}_{bc0}$        6.18072266e-01
        1000  $\mathcal{L}_{bc0}$        4.30694580e-01
        1200  $\mathcal{L}_{bc0}$        3.57398704e-01
        1400  $\mathcal{L}_{bc0}$        3.19128969e-01
        1600  $\mathcal{L}_{bc0}$        2.96062579e-01
        1800  $\mathcal{L}_{bc0}$        2.73195587e-01
        2000  $\mathcal{L}_{bc0}$        2.57363310e-01
        2200  $\mathcal{L}_{bc0}$        2.42714859e-01
        2400  $\mathcal{L}_{bc0}$        2.29428637e-01
        2600  $\mathcal{L}_{bc0}$        2.21956309e-01
        2800  $\mathcal{L}_{bc0}$        2.18871862e-01
        3000  $\mathcal{L}_{bc0}$        2.16531735e-01
        3000  $\mathcal{L}_{bc0}$        2.16531735e-01
        4000  $\mathcal{L}_{bc0}$        1.19367190e-01
        5000  $\mathcal{L}_{bc0}$        1.17217934e-01
        6000  $\mathcal{L}_{bc0}$        1.16689246e-01
        7000  $\mathcal{L}_{bc0}$        1.16528825e-01
        7537  $\mathcal{L}_{bc0}$        1.16467170e-01
        8365  $\mathcal{L}_{bc0}$        1.16412474e-01
        8512  $\mathcal{L}_{bc0}$        1.16409985e-01
        8525  $\mathcal{L}_{bc0}$        1.16409757e-01
        8535  $\mathcal{L}_{bc0}$        1.16409867e-01
        8699  $\mathcal{L}_{bc0}$        1.16401831e-01
        8766  $\mathcal{L}_{bc0}$        1.16400452e-01
        8779  $\mathcal{L}_{bc0}$        1.16400017e-01
        8910  $\mathcal{L}_{bc0}$        1.16396540e-01
        8933  $\mathcal{L}_{bc0}$        1.16394914e-01
        8987  $\mathcal{L}_{bc0}$        1.16391254e-01
        9132  $\mathcal{L}_{bc0}$        1.16386301e-01
        9145  $\mathcal{L}_{bc0}$        1.16385909e-01
        9186  $\mathcal{L}_{bc0}$        1.16383495e-01
        9349  $\mathcal{L}_{bc0}$        1.16377736e-01
        9370  $\mathcal{L}_{bc0}$        1.16376607e-01
--------------------------------------------------
           0     test loss        1.33616767e+02
         200     test loss        1.08163315e+00
         400     test loss        9.17045790e-01
         600     test loss        8.53131713e-01
         800     test loss        7.84486666e-01
        1000     test loss        5.13143889e-01
        1200     test loss        4.80434122e-01
        1400     test loss        3.89811470e-01
        1600     test loss        3.49038988e-01
        1800     test loss        3.16352275e-01
        2000     test loss        2.91169603e-01
        2200     test loss        2.66190327e-01
        2400     test loss        2.44218591e-01
        2600     test loss        2.32097187e-01
        2800     test loss        2.31815758e-01
        3000     test loss        2.28968497e-01
        3000     test loss        2.28968497e-01
        4000     test loss        1.21522618e-01
        5000     test loss        1.17574955e-01
        6000     test loss        1.16918119e-01
        7000     test loss        1.16692775e-01
        7537     test loss        1.16625028e-01
        8365     test loss        1.16564589e-01
        8512     test loss        1.16547185e-01
        8525     test loss        1.16546134e-01
        8535     test loss        1.16545338e-01
        8699     test loss        1.16520319e-01
        8766     test loss        1.16506997e-01
        8779     test loss        1.16504341e-01
        8910     test loss        1.16485480e-01
        8933     test loss        1.16484557e-01
        8987     test loss        1.16473341e-01
        9132     test loss        1.16465941e-01
        9145     test loss        1.16464767e-01
        9186     test loss        1.16456423e-01
        9349     test loss        1.16442908e-01
        9370     test loss        1.16438689e-01
--------------------------------------------------
           0    train loss        1.30658312e+02
         200    train loss        1.99931124e+00
         400    train loss        1.72306562e+00
         600    train loss        1.57644958e+00
         800    train loss        1.40716818e+00
        1000    train loss        9.91471058e-01
        1200    train loss        8.42971265e-01
        1400    train loss        7.19906642e-01
        1600    train loss        6.19786890e-01
        1800    train loss        5.42990258e-01
        2000    train loss        4.87319476e-01
        2200    train loss        4.19735945e-01
        2400    train loss        3.74227443e-01
        2600    train loss        3.54083356e-01
        2800    train loss        3.27413426e-01
        3000    train loss        3.39658265e-01
        3000    train loss        3.23732313e-01
        4000    train loss        1.24666311e-01
        5000    train loss        1.18680835e-01
        6000    train loss        1.17488655e-01
        7000    train loss        1.16995651e-01
        7537    train loss        1.16844568e-01
        8365    train loss        1.16683112e-01
        8512    train loss        1.16661198e-01
        8525    train loss        1.16660450e-01
        8535    train loss        1.16659657e-01
        8699    train loss        1.16635118e-01
        8766    train loss        1.16629014e-01
        8779    train loss        1.16627721e-01
        8910    train loss        1.16613398e-01
        8933    train loss        1.16610862e-01
        8987    train loss        1.16602306e-01
        9132    train loss        1.16584074e-01
        9145    train loss        1.16582760e-01
        9186    train loss        1.16579631e-01
        9349    train loss        1.16560115e-01
        9370    train loss        1.16558615e-01
--------------------------------------------------
