Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        1.03553183e+01
         200  $\mathcal{L}_{res}$        2.28198423e+00
         400  $\mathcal{L}_{res}$        1.33970238e+00
         600  $\mathcal{L}_{res}$        5.69871365e-01
         800  $\mathcal{L}_{res}$        3.42323697e-01
        1000  $\mathcal{L}_{res}$        2.64587419e-01
        1200  $\mathcal{L}_{res}$        3.51078689e-01
        1400  $\mathcal{L}_{res}$        1.89945704e-01
        1600  $\mathcal{L}_{res}$        1.30650032e-01
        1800  $\mathcal{L}_{res}$        1.47452968e-01
        2000  $\mathcal{L}_{res}$        1.64787848e-01
        2200  $\mathcal{L}_{res}$        1.18035435e-01
        2400  $\mathcal{L}_{res}$        1.02537367e-01
        2600  $\mathcal{L}_{res}$        3.45466813e-01
        2800  $\mathcal{L}_{res}$        2.89489278e-01
        3000  $\mathcal{L}_{res}$        8.24120141e-02
        3000  $\mathcal{L}_{res}$        1.23436166e-01
        4000  $\mathcal{L}_{res}$        4.36559937e-03
        5000  $\mathcal{L}_{res}$        1.06654998e-03
        6000  $\mathcal{L}_{res}$        4.97372615e-04
        7000  $\mathcal{L}_{res}$        2.79702710e-04
        7823  $\mathcal{L}_{res}$        1.94633082e-04
        8298  $\mathcal{L}_{res}$        1.62030228e-04
        8427  $\mathcal{L}_{res}$        1.53985630e-04
        8534  $\mathcal{L}_{res}$        1.50966677e-04
        8598  $\mathcal{L}_{res}$        1.48569554e-04
        8712  $\mathcal{L}_{res}$        1.43349352e-04
        8742  $\mathcal{L}_{res}$        1.41960532e-04
        8841  $\mathcal{L}_{res}$        1.38779914e-04
        8894  $\mathcal{L}_{res}$        1.36126276e-04
        8929  $\mathcal{L}_{res}$        1.34655892e-04
        8980  $\mathcal{L}_{res}$        1.32767564e-04
        8993  $\mathcal{L}_{res}$        1.32196275e-04
        9198  $\mathcal{L}_{res}$        1.23446470e-04
        9229  $\mathcal{L}_{res}$        1.22391941e-04
        9279  $\mathcal{L}_{res}$        1.20528698e-04
        9311  $\mathcal{L}_{res}$        1.19287488e-04
        9314  $\mathcal{L}_{res}$        1.19225493e-04
