Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        8.70151188e+00
         200  $\mathcal{L}_{res}$        1.83704262e-01
         400  $\mathcal{L}_{res}$        1.19432546e-01
         600  $\mathcal{L}_{res}$        1.04511351e-01
         800  $\mathcal{L}_{res}$        1.09608015e-01
        1000  $\mathcal{L}_{res}$        1.00375821e-01
        1200  $\mathcal{L}_{res}$        8.29427849e-02
        1400  $\mathcal{L}_{res}$        7.55252714e-02
        1600  $\mathcal{L}_{res}$        6.85150153e-02
        1800  $\mathcal{L}_{res}$        6.25284195e-02
        2000  $\mathcal{L}_{res}$        6.25090668e-02
        2200  $\mathcal{L}_{res}$        5.74973242e-02
        2400  $\mathcal{L}_{res}$        5.08065951e-02
        2600  $\mathcal{L}_{res}$        5.23688150e-02
        2800  $\mathcal{L}_{res}$        4.65231247e-02
        3000  $\mathcal{L}_{res}$        4.48156732e-02
        3000  $\mathcal{L}_{res}$        4.51166221e-02
        4000  $\mathcal{L}_{res}$        2.70275442e-03
        5000  $\mathcal{L}_{res}$        9.68771534e-04
        6000  $\mathcal{L}_{res}$        4.05930642e-04
        7000  $\mathcal{L}_{res}$        2.84659744e-04
        8000  $\mathcal{L}_{res}$        2.80581987e-04
        9000  $\mathcal{L}_{res}$        3.11111767e-04
       10000  $\mathcal{L}_{res}$        2.54822725e-04
       10901  $\mathcal{L}_{res}$        1.83586078e-04
       10953  $\mathcal{L}_{res}$        1.80960489e-04
       11001  $\mathcal{L}_{res}$        1.78882422e-04
       11111  $\mathcal{L}_{res}$        1.75356180e-04
       11149  $\mathcal{L}_{res}$        1.73839899e-04
       11439  $\mathcal{L}_{res}$        1.55946809e-04
       11500  $\mathcal{L}_{res}$        1.53318062e-04
       11504  $\mathcal{L}_{res}$        1.53266622e-04
       11512  $\mathcal{L}_{res}$        1.53058372e-04
       11522  $\mathcal{L}_{res}$        1.52697098e-04
       11534  $\mathcal{L}_{res}$        1.52397337e-04
       11537  $\mathcal{L}_{res}$        1.52355378e-04
       11539  $\mathcal{L}_{res}$        1.52338206e-04
       11541  $\mathcal{L}_{res}$        1.52272390e-04
       11592  $\mathcal{L}_{res}$        1.50082889e-04
       11620  $\mathcal{L}_{res}$        1.49213933e-04
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        8.48967768e-01
         200  $\mathcal{L}_{bc0}$        5.44581053e-01
         400  $\mathcal{L}_{bc0}$        4.99052594e-01
         600  $\mathcal{L}_{bc0}$        4.03435850e-01
         800  $\mathcal{L}_{bc0}$        3.25304643e-01
        1000  $\mathcal{L}_{bc0}$        2.73252735e-01
        1200  $\mathcal{L}_{bc0}$        2.52408048e-01
        1400  $\mathcal{L}_{bc0}$        2.42986640e-01
        1600  $\mathcal{L}_{bc0}$        2.36052139e-01
        1800  $\mathcal{L}_{bc0}$        2.28171468e-01
        2000  $\mathcal{L}_{bc0}$        2.20935499e-01
        2200  $\mathcal{L}_{bc0}$        2.13252836e-01
        2400  $\mathcal{L}_{bc0}$        2.07774785e-01
        2600  $\mathcal{L}_{bc0}$        1.99813670e-01
        2800  $\mathcal{L}_{bc0}$        1.94066548e-01
        3000  $\mathcal{L}_{bc0}$        1.87415020e-01
        3000  $\mathcal{L}_{bc0}$        1.87415020e-01
        4000  $\mathcal{L}_{bc0}$        1.20740191e-01
        5000  $\mathcal{L}_{bc0}$        1.17678236e-01
        6000  $\mathcal{L}_{bc0}$        1.17558220e-01
        7000  $\mathcal{L}_{bc0}$        1.17396263e-01
        8000  $\mathcal{L}_{bc0}$        1.17176349e-01
        9000  $\mathcal{L}_{bc0}$        1.16691412e-01
       10000  $\mathcal{L}_{bc0}$        1.16376588e-01
       10901  $\mathcal{L}_{bc0}$        1.16306617e-01
       10953  $\mathcal{L}_{bc0}$        1.16305142e-01
       11001  $\mathcal{L}_{bc0}$        1.16304221e-01
       11111  $\mathcal{L}_{bc0}$        1.16302671e-01
       11149  $\mathcal{L}_{bc0}$        1.16302548e-01
       11439  $\mathcal{L}_{bc0}$        1.16301275e-01
       11500  $\mathcal{L}_{bc0}$        1.16301419e-01
       11504  $\mathcal{L}_{bc0}$        1.16301417e-01
       11512  $\mathcal{L}_{bc0}$        1.16301419e-01
       11522  $\mathcal{L}_{bc0}$        1.16301418e-01
