Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        4.41330808e+01
         200  $\mathcal{L}_{res}$        4.61806209e-01
         400  $\mathcal{L}_{res}$        4.19914158e-01
         600  $\mathcal{L}_{res}$        3.88805235e-01
         800  $\mathcal{L}_{res}$        3.32341806e-01
        1000  $\mathcal{L}_{res}$        2.75471221e-01
        1200  $\mathcal{L}_{res}$        1.96617616e-01
        1400  $\mathcal{L}_{res}$        1.78705762e-01
        1600  $\mathcal{L}_{res}$        1.48573700e-01
        1800  $\mathcal{L}_{res}$        1.36047195e-01
        2000  $\mathcal{L}_{res}$        1.32788152e-01
        2200  $\mathcal{L}_{res}$        1.23435924e-01
        2400  $\mathcal{L}_{res}$        1.13897169e-01
        2600  $\mathcal{L}_{res}$        3.21986707e-01
        2800  $\mathcal{L}_{res}$        9.13310702e-02
        3000  $\mathcal{L}_{res}$        8.98163493e-02
        3000  $\mathcal{L}_{res}$        7.85900560e-02
        4000  $\mathcal{L}_{res}$        6.73372484e-03
        5000  $\mathcal{L}_{res}$        2.65616057e-03
        6000  $\mathcal{L}_{res}$        1.11797530e-03
        7000  $\mathcal{L}_{res}$        6.37147358e-04
        8000  $\mathcal{L}_{res}$        3.97642786e-04
        8077  $\mathcal{L}_{res}$        3.88095537e-04
        8251  $\mathcal{L}_{res}$        3.54536521e-04
        8627  $\mathcal{L}_{res}$        3.08610002e-04
        8719  $\mathcal{L}_{res}$        2.97320672e-04
        8737  $\mathcal{L}_{res}$        2.95614015e-04
        8741  $\mathcal{L}_{res}$        2.95587548e-04
        8760  $\mathcal{L}_{res}$        2.93334660e-04
        8826  $\mathcal{L}_{res}$        2.85851965e-04
        8990  $\mathcal{L}_{res}$        2.71591747e-04
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        9.11440878e-01
         200  $\mathcal{L}_{bc0}$        5.14330403e-01
         400  $\mathcal{L}_{bc0}$        5.02996814e-01
         600  $\mathcal{L}_{bc0}$        5.00014823e-01
         800  $\mathcal{L}_{bc0}$        5.00642704e-01
        1000  $\mathcal{L}_{bc0}$        5.02844956e-01
        1200  $\mathcal{L}_{bc0}$        3.89357722e-01
        1400  $\mathcal{L}_{bc0}$        3.53910045e-01
        1600  $\mathcal{L}_{bc0}$        3.22529687e-01
        1800  $\mathcal{L}_{bc0}$        3.08421588e-01
        2000  $\mathcal{L}_{bc0}$        2.96949520e-01
        2200  $\mathcal{L}_{bc0}$        2.85557380e-01
        2400  $\mathcal{L}_{bc0}$        2.78389364e-01
        2600  $\mathcal{L}_{bc0}$        2.66309143e-01
        2800  $\mathcal{L}_{bc0}$        2.55592851e-01
        3000  $\mathcal{L}_{bc0}$        2.40666271e-01
        3000  $\mathcal{L}_{bc0}$        2.40666271e-01
        4000  $\mathcal{L}_{bc0}$        1.24675005e-01
        5000  $\mathcal{L}_{bc0}$        1.17020696e-01
        6000  $\mathcal{L}_{bc0}$        1.16549846e-01
        7000  $\mathcal{L}_{bc0}$        1.16444467e-01
        8000  $\mathcal{L}_{bc0}$        1.16371814e-01
        8077  $\mathcal{L}_{bc0}$        1.16365651e-01
        8251  $\mathcal{L}_{bc0}$        1.16356460e-01
        8627  $\mathcal{L}_{bc0}$        1.16345975e-01
        8719  $\mathcal{L}_{bc0}$        1.16341285e-01
        8737  $\mathcal{L}_{bc0}$        1.16341510e-01
        8741  $\mathcal{L}_{bc0}$        1.16341369e-01
        8760  $\mathcal{L}_{bc0}$        1.16342355e-01
        8826  $\mathcal{L}_{bc0}$        1.16342592e-01
        8990  $\mathcal{L}_{bc0}$        1.16339234e-01
--------------------------------------------------
           0     test loss        4.11884561e+01
         200     test loss        6.71576279e-01
         400     test loss        6.27383764e-01
         600     test loss        6.02814290e-01
         800     test loss        5.79933342e-01
        1000     test loss        5.64830279e-01
        1200     test loss        4.27448224e-01
        1400     test loss        3.87171103e-01
        1600     test loss        3.53708122e-01
        1800     test loss        3.35042295e-01
        2000     test loss        3.23061550e-01
        2200     test loss        3.08907098e-01
        2400     test loss        2.97703368e-01
        2600     test loss        4.07380042e-01
        2800     test loss        2.71197061e-01
        3000     test loss        2.54602827e-01
        3000     test loss        2.54602827e-01
        4000     test loss        1.26839274e-01
        5000     test loss        1.18118410e-01
        6000     test loss        1.16912652e-01
        7000     test loss        1.16723569e-01
        8000     test loss        1.16572781e-01
        8077     test loss        1.16570821e-01
        8251     test loss        1.16548445e-01
        8627     test loss        1.16515756e-01
        8719     test loss        1.16513132e-01
        8737     test loss        1.16513034e-01
        8741     test loss        1.16514621e-01
        8760     test loss        1.16509814e-01
        8826     test loss        1.16505876e-01
        8990     test loss        1.16498924e-01
--------------------------------------------------
           0    train loss        4.50445217e+01
         200    train loss        9.76136612e-01
         400    train loss        9.22910972e-01
         600    train loss        8.88820058e-01
         800    train loss        8.32984510e-01
        1000    train loss        7.78316177e-01
        1200    train loss        5.85975338e-01
        1400    train loss        5.32615807e-01
        1600    train loss        4.71103387e-01
        1800    train loss        4.44468782e-01
        2000    train loss        4.29737671e-01
        2200    train loss        4.08993304e-01
        2400    train loss        3.92286534e-01
        2600    train loss        5.88295851e-01
        2800    train loss        3.46923921e-01
        3000    train loss        3.30482621e-01
        3000    train loss        3.19256327e-01
        4000    train loss        1.31408729e-01
        5000    train loss        1.19676856e-01
        6000    train loss        1.17667821e-01
        7000    train loss        1.17081614e-01
        8000    train loss        1.16769456e-01
        8077    train loss        1.16753746e-01
        8251    train loss        1.16710997e-01
        8627    train loss        1.16654585e-01
        8719    train loss        1.16638606e-01
        8737    train loss        1.16637124e-01
        8741    train loss        1.16636956e-01
        8760    train loss        1.16635690e-01
        8826    train loss        1.16628444e-01
        8990    train loss        1.16610825e-01
--------------------------------------------------
