Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        9.05336957e+01
         200  $\mathcal{L}_{res}$        9.47002063e-01
         400  $\mathcal{L}_{res}$        6.87918134e-01
         600  $\mathcal{L}_{res}$        6.52643358e-01
         800  $\mathcal{L}_{res}$        6.10599740e-01
        1000  $\mathcal{L}_{res}$        5.63715056e-01
        1200  $\mathcal{L}_{res}$        4.89157646e-01
        1400  $\mathcal{L}_{res}$        3.43547410e-01
        1600  $\mathcal{L}_{res}$        2.63895571e-01
        1800  $\mathcal{L}_{res}$        2.32018849e-01
        2000  $\mathcal{L}_{res}$        2.10220021e-01
        2200  $\mathcal{L}_{res}$        1.80861093e-01
        2400  $\mathcal{L}_{res}$        1.61608193e-01
        2600  $\mathcal{L}_{res}$        1.43069015e-01
        2800  $\mathcal{L}_{res}$        1.45756878e-01
        3000  $\mathcal{L}_{res}$        1.38792148e-01
        3000  $\mathcal{L}_{res}$        1.33000393e-01
        4000  $\mathcal{L}_{res}$        5.88219245e-03
        5000  $\mathcal{L}_{res}$        4.26900289e-03
        6000  $\mathcal{L}_{res}$        5.47586622e-03
        7000  $\mathcal{L}_{res}$        2.80468833e-03
        8000  $\mathcal{L}_{res}$        1.64308474e-03
        9000  $\mathcal{L}_{res}$        1.36677570e-03
       10000  $\mathcal{L}_{res}$        6.63111521e-04
       11000  $\mathcal{L}_{res}$        3.76135835e-04
       11527  $\mathcal{L}_{res}$        2.99160725e-04
       11813  $\mathcal{L}_{res}$        2.71410077e-04
       12035  $\mathcal{L}_{res}$        2.48816631e-04
       12257  $\mathcal{L}_{res}$        2.33050975e-04
       12387  $\mathcal{L}_{res}$        2.23124972e-04
       12538  $\mathcal{L}_{res}$        2.10058574e-04
       12573  $\mathcal{L}_{res}$        2.08540813e-04
       12580  $\mathcal{L}_{res}$        2.08300788e-04
       12606  $\mathcal{L}_{res}$        2.07854937e-04
       12665  $\mathcal{L}_{res}$        2.03751290e-04
       12730  $\mathcal{L}_{res}$        1.99172860e-04
       12866  $\mathcal{L}_{res}$        1.92538676e-04
       12970  $\mathcal{L}_{res}$        1.89621617e-04
       13092  $\mathcal{L}_{res}$        1.82420797e-04
       13100  $\mathcal{L}_{res}$        1.82249773e-04
       13122  $\mathcal{L}_{res}$        1.82072379e-04
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        8.12176144e-01
         200  $\mathcal{L}_{bc0}$        5.79791242e-01
         400  $\mathcal{L}_{bc0}$        5.61480003e-01
         600  $\mathcal{L}_{bc0}$        5.47575856e-01
         800  $\mathcal{L}_{bc0}$        5.37335198e-01
        1000  $\mathcal{L}_{bc0}$        5.32396956e-01
        1200  $\mathcal{L}_{bc0}$        5.23208655e-01
        1400  $\mathcal{L}_{bc0}$        4.29943955e-01
        1600  $\mathcal{L}_{bc0}$        3.56258258e-01
        1800  $\mathcal{L}_{bc0}$        3.07759770e-01
        2000  $\mathcal{L}_{bc0}$        2.78433706e-01
        2200  $\mathcal{L}_{bc0}$        2.63659389e-01
        2400  $\mathcal{L}_{bc0}$        2.53527657e-01
        2600  $\mathcal{L}_{bc0}$        2.43304379e-01
        2800  $\mathcal{L}_{bc0}$        2.38906219e-01
        3000  $\mathcal{L}_{bc0}$        2.33665526e-01
        3000  $\mathcal{L}_{bc0}$        2.33665526e-01
        4000  $\mathcal{L}_{bc0}$        1.40221980e-01
        5000  $\mathcal{L}_{bc0}$        1.35253653e-01
        6000  $\mathcal{L}_{bc0}$        1.25570439e-01
        7000  $\mathcal{L}_{bc0}$        1.21478877e-01
        8000  $\mathcal{L}_{bc0}$        1.19466362e-01
        9000  $\mathcal{L}_{bc0}$        1.16761179e-01
       10000  $\mathcal{L}_{bc0}$        1.16409458e-01
       11000  $\mathcal{L}_{bc0}$        1.16355181e-01
       11527  $\mathcal{L}_{bc0}$        1.16339599e-01
       11813  $\mathcal{L}_{bc0}$        1.16332180e-01
       12035  $\mathcal{L}_{bc0}$        1.16329052e-01
       12257  $\mathcal{L}_{bc0}$        1.16323441e-01
       12387  $\mathcal{L}_{bc0}$        1.16323645e-01
       12538  $\mathcal{L}_{bc0}$        1.16321609e-01
       12573  $\mathcal{L}_{bc0}$        1.16321522e-01
       12580  $\mathcal{L}_{bc0}$        1.16321521e-01
       12606  $\mathcal{L}_{bc0}$        1.16321129e-01
       12665  $\mathcal{L}_{bc0}$        1.16321101e-01
       12730  $\mathcal{L}_{bc0}$        1.16320800e-01
       12866  $\mathcal{L}_{bc0}$        1.16317046e-01
       12970  $\mathcal{L}_{bc0}$        1.16314720e-01
       13092  $\mathcal{L}_{bc0}$        1.16313327e-01
       13100  $\mathcal{L}_{bc0}$        1.16313296e-01
