Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        6.44262066e+00
         200  $\mathcal{L}_{res}$        2.29753053e+00
         400  $\mathcal{L}_{res}$        1.04604776e+00
         600  $\mathcal{L}_{res}$        4.69865838e-01
         800  $\mathcal{L}_{res}$        2.65886972e-01
        1000  $\mathcal{L}_{res}$        2.05606158e-01
        1200  $\mathcal{L}_{res}$        1.87073141e-01
        1400  $\mathcal{L}_{res}$        1.50098302e-01
        1600  $\mathcal{L}_{res}$        9.43920375e-02
        1800  $\mathcal{L}_{res}$        8.78594203e-02
        2000  $\mathcal{L}_{res}$        9.49385516e-02
        2200  $\mathcal{L}_{res}$        8.23720691e-02
        2400  $\mathcal{L}_{res}$        8.18176511e-02
        2600  $\mathcal{L}_{res}$        7.08277266e-02
        2800  $\mathcal{L}_{res}$        6.47507642e-02
        3000  $\mathcal{L}_{res}$        5.94336242e-02
        3000  $\mathcal{L}_{res}$        9.37465573e-02
        4000  $\mathcal{L}_{res}$        5.00371773e-03
        5000  $\mathcal{L}_{res}$        1.93514601e-03
        6000  $\mathcal{L}_{res}$        9.61014375e-04
        7000  $\mathcal{L}_{res}$        5.25545879e-04
        7852  $\mathcal{L}_{res}$        3.87163631e-04
        8555  $\mathcal{L}_{res}$        3.10309784e-04
        8613  $\mathcal{L}_{res}$        3.06207029e-04
        8940  $\mathcal{L}_{res}$        2.81796150e-04
        9348  $\mathcal{L}_{res}$        2.53222614e-04
        9424  $\mathcal{L}_{res}$        2.50661766e-04
        9456  $\mathcal{L}_{res}$        2.49667898e-04
        9503  $\mathcal{L}_{res}$        2.47745470e-04
        9522  $\mathcal{L}_{res}$        2.46782714e-04
        9618  $\mathcal{L}_{res}$        2.41624705e-04
        9729  $\mathcal{L}_{res}$        2.35101772e-04
        9777  $\mathcal{L}_{res}$        2.32791268e-04
        9899  $\mathcal{L}_{res}$        2.26738127e-04
        9902  $\mathcal{L}_{res}$        2.26674446e-04
       10170  $\mathcal{L}_{res}$        2.13638948e-04
       10243  $\mathcal{L}_{res}$        2.10474025e-04
       10314  $\mathcal{L}_{res}$        2.07153537e-04
       10328  $\mathcal{L}_{res}$        2.06568247e-04
       10346  $\mathcal{L}_{res}$        2.05919971e-04
       10348  $\mathcal{L}_{res}$        2.05873632e-04
       10403  $\mathcal{L}_{res}$        2.03706582e-04
       10408  $\mathcal{L}_{res}$        2.03649783e-04
       10483  $\mathcal{L}_{res}$        2.01081786e-04
--------------------------------------------------
