Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        8.67778688e+00
         200  $\mathcal{L}_{res}$        2.95934764e+00
         400  $\mathcal{L}_{res}$        1.18696327e+00
         600  $\mathcal{L}_{res}$        6.42846423e-01
         800  $\mathcal{L}_{res}$        3.38747928e-01
        1000  $\mathcal{L}_{res}$        3.02371932e-01
        1200  $\mathcal{L}_{res}$        3.31976641e-01
        1400  $\mathcal{L}_{res}$        1.29811746e-01
        1600  $\mathcal{L}_{res}$        1.15861652e-01
        1800  $\mathcal{L}_{res}$        1.11033286e-01
        2000  $\mathcal{L}_{res}$        9.95983382e-02
        2200  $\mathcal{L}_{res}$        9.28576364e-02
        2400  $\mathcal{L}_{res}$        8.76952389e-02
        2600  $\mathcal{L}_{res}$        8.20824162e-02
        2800  $\mathcal{L}_{res}$        7.95378651e-02
        3000  $\mathcal{L}_{res}$        6.88678905e-02
        3000  $\mathcal{L}_{res}$        3.07502940e-01
        4000  $\mathcal{L}_{res}$        1.16162829e-02
        5000  $\mathcal{L}_{res}$        4.37822664e-03
        6000  $\mathcal{L}_{res}$        2.96644300e-03
        7000  $\mathcal{L}_{res}$        2.38359549e-03
        8000  $\mathcal{L}_{res}$        2.01352980e-03
        9000  $\mathcal{L}_{res}$        1.76548668e-03
       10000  $\mathcal{L}_{res}$        1.50248513e-03
       10968  $\mathcal{L}_{res}$        1.31511257e-03
       11968  $\mathcal{L}_{res}$        1.15853819e-03
       12968  $\mathcal{L}_{res}$        1.03996370e-03
       13173  $\mathcal{L}_{res}$        1.02120424e-03
       13419  $\mathcal{L}_{res}$        9.92982506e-04
       14214  $\mathcal{L}_{res}$        9.18853723e-04
       14385  $\mathcal{L}_{res}$        9.04843636e-04
       14387  $\mathcal{L}_{res}$        9.04845285e-04
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        4.04481791e+01
         200  $\mathcal{L}_{bc0}$        1.08547024e+01
         400  $\mathcal{L}_{bc0}$        8.48484373e+00
         600  $\mathcal{L}_{bc0}$        7.00650210e+00
         800  $\mathcal{L}_{bc0}$        6.46845370e+00
        1000  $\mathcal{L}_{bc0}$        6.33788914e+00
        1200  $\mathcal{L}_{bc0}$        6.31032903e+00
        1400  $\mathcal{L}_{bc0}$        6.14702443e+00
        1600  $\mathcal{L}_{bc0}$        6.09799921e+00
        1800  $\mathcal{L}_{bc0}$        6.07266181e+00
