Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        1.75253522e+01
         200  $\mathcal{L}_{res}$        2.94890015e+00
         400  $\mathcal{L}_{res}$        1.34857292e+00
         600  $\mathcal{L}_{res}$        9.05204879e-01
         800  $\mathcal{L}_{res}$        4.63429427e-01
        1000  $\mathcal{L}_{res}$        3.87436670e-01
        1200  $\mathcal{L}_{res}$        2.28731338e-01
        1400  $\mathcal{L}_{res}$        1.79650990e-01
        1600  $\mathcal{L}_{res}$        1.41884967e-01
        1800  $\mathcal{L}_{res}$        1.33305855e-01
        2000  $\mathcal{L}_{res}$        1.10740946e-01
        2200  $\mathcal{L}_{res}$        1.03127879e-01
        2400  $\mathcal{L}_{res}$        1.05646708e-01
        2600  $\mathcal{L}_{res}$        8.76878473e-02
        2800  $\mathcal{L}_{res}$        7.35446123e-02
        3000  $\mathcal{L}_{res}$        6.98401533e-02
        3000  $\mathcal{L}_{res}$        6.83568230e-02
        4000  $\mathcal{L}_{res}$        2.39502892e-03
        5000  $\mathcal{L}_{res}$        1.14697077e-03
        6000  $\mathcal{L}_{res}$        3.25010894e-03
        7000  $\mathcal{L}_{res}$        1.10803248e-02
        8000  $\mathcal{L}_{res}$        7.33918615e-03
        9000  $\mathcal{L}_{res}$        3.43326097e-03
       10000  $\mathcal{L}_{res}$        1.91672778e-03
       11000  $\mathcal{L}_{res}$        1.31729803e-03
       12000  $\mathcal{L}_{res}$        9.65155343e-04
       12277  $\mathcal{L}_{res}$        8.86951413e-04
       13277  $\mathcal{L}_{res}$        7.27173079e-04
       14277  $\mathcal{L}_{res}$        5.97078070e-04
       14409  $\mathcal{L}_{res}$        5.86814068e-04
       14471  $\mathcal{L}_{res}$        5.82261216e-04
       14644  $\mathcal{L}_{res}$        5.70772249e-04
       14652  $\mathcal{L}_{res}$        5.70501525e-04
       14657  $\mathcal{L}_{res}$        5.70332864e-04
       14747  $\mathcal{L}_{res}$        5.64868331e-04
       14759  $\mathcal{L}_{res}$        5.64284467e-04
       15181  $\mathcal{L}_{res}$        5.34742877e-04
       15606  $\mathcal{L}_{res}$        5.06468310e-04
       15689  $\mathcal{L}_{res}$        5.01539277e-04
       16012  $\mathcal{L}_{res}$        4.78532064e-04
       16113  $\mathcal{L}_{res}$        4.71547339e-04
       16120  $\mathcal{L}_{res}$        4.71365164e-04
       16145  $\mathcal{L}_{res}$        4.69892393e-04
       16410  $\mathcal{L}_{res}$        4.48057716e-04
       16721  $\mathcal{L}_{res}$        4.24156557e-04
       16792  $\mathcal{L}_{res}$        4.20907668e-04
       16877  $\mathcal{L}_{res}$        4.17324610e-04
       16961  $\mathcal{L}_{res}$        4.12106197e-04
       17109  $\mathcal{L}_{res}$        4.02719591e-04
       17114  $\mathcal{L}_{res}$        4.02691323e-04
       17119  $\mathcal{L}_{res}$        4.02612536e-04
       17127  $\mathcal{L}_{res}$        4.02501027e-04
       17161  $\mathcal{L}_{res}$        4.01443674e-04
       17258  $\mathcal{L}_{res}$        3.97604387e-04
       17263  $\mathcal{L}_{res}$        3.97561631e-04
       17269  $\mathcal{L}_{res}$        3.97469135e-04
       17307  $\mathcal{L}_{res}$        3.95488005e-04
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        3.74411954e+01
         200  $\mathcal{L}_{bc0}$        1.10040684e+01
         400  $\mathcal{L}_{bc0}$        8.73396668e+00
         600  $\mathcal{L}_{bc0}$        7.16937035e+00
         800  $\mathcal{L}_{bc0}$        6.49539853e+00
        1000  $\mathcal{L}_{bc0}$        6.22130472e+00
        1200  $\mathcal{L}_{bc0}$        6.08230910e+00
        1400  $\mathcal{L}_{bc0}$        6.01125437e+00
        1600  $\mathcal{L}_{bc0}$        5.97943669e+00
        1800  $\mathcal{L}_{bc0}$        5.95436777e+00
        2000  $\mathcal{L}_{bc0}$        5.92958361e+00
        2200  $\mathcal{L}_{bc0}$        5.91788172e+00
        2400  $\mathcal{L}_{bc0}$        5.91051841e+00
        2600  $\mathcal{L}_{bc0}$        5.89277913e+00
        2800  $\mathcal{L}_{bc0}$        5.88608436e+00
        3000  $\mathcal{L}_{bc0}$        5.88667961e+00
        3000  $\mathcal{L}_{bc0}$        5.88667961e+00
        4000  $\mathcal{L}_{bc0}$        5.85205922e+00
        5000  $\mathcal{L}_{bc0}$        5.85097318e+00
        6000  $\mathcal{L}_{bc0}$        5.84345813e+00
        7000  $\mathcal{L}_{bc0}$        5.80302516e+00
        8000  $\mathcal{L}_{bc0}$        5.78626722e+00
        9000  $\mathcal{L}_{bc0}$        5.78508750e+00
       10000  $\mathcal{L}_{bc0}$        5.78500550e+00
       11000  $\mathcal{L}_{bc0}$        5.78494652e+00
       12000  $\mathcal{L}_{bc0}$        5.78490077e+00
       12277  $\mathcal{L}_{bc0}$        5.78488440e+00
       13277  $\mathcal{L}_{bc0}$        5.78487782e+00
       14277  $\mathcal{L}_{bc0}$        5.78487201e+00
       14409  $\mathcal{L}_{bc0}$        5.78487028e+00
       14471  $\mathcal{L}_{bc0}$        5.78486939e+00
       14644  $\mathcal{L}_{bc0}$        5.78486949e+00
       14652  $\mathcal{L}_{bc0}$        5.78486944e+00
       14657  $\mathcal{L}_{bc0}$        5.78486951e+00
       14747  $\mathcal{L}_{bc0}$        5.78486811e+00
       14759  $\mathcal{L}_{bc0}$        5.78486817e+00
       15181  $\mathcal{L}_{bc0}$        5.78486364e+00
       15606  $\mathcal{L}_{bc0}$        5.78485634e+00
       15689  $\mathcal{L}_{bc0}$        5.78485484e+00
       16012  $\mathcal{L}_{bc0}$        5.78485072e+00
       16113  $\mathcal{L}_{bc0}$        5.78485100e+00
       16120  $\mathcal{L}_{bc0}$        5.78485097e+00
       16145  $\mathcal{L}_{bc0}$        5.78485094e+00
       16410  $\mathcal{L}_{bc0}$        5.78485050e+00
       16721  $\mathcal{L}_{bc0}$        5.78484770e+00
       16792  $\mathcal{L}_{bc0}$        5.78484625e+00
       16877  $\mathcal{L}_{bc0}$        5.78484537e+00
       16961  $\mathcal{L}_{bc0}$        5.78484491e+00
       17109  $\mathcal{L}_{bc0}$        5.78484356e+00
       17114  $\mathcal{L}_{bc0}$        5.78484350e+00
       17119  $\mathcal{L}_{bc0}$        5.78484349e+00
       17127  $\mathcal{L}_{bc0}$        5.78484343e+00
       17161  $\mathcal{L}_{bc0}$        5.78484333e+00
       17258  $\mathcal{L}_{bc0}$        5.78484269e+00
       17263  $\mathcal{L}_{bc0}$        5.78484263e+00
       17269  $\mathcal{L}_{bc0}$        5.78484258e+00
       17307  $\mathcal{L}_{bc0}$        5.78484249e+00
--------------------------------------------------
           0     test loss        5.28193734e+01
         200     test loss        1.14488215e+01
         400     test loss        8.83548760e+00
         600     test loss        7.27121783e+00
         800     test loss        6.54190599e+00
