Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        5.10606850e+01
         200  $\mathcal{L}_{res}$        4.01735462e+00
         400  $\mathcal{L}_{res}$        1.46672158e+00
         600  $\mathcal{L}_{res}$        9.57409317e-01
         800  $\mathcal{L}_{res}$        7.64043060e-01
        1000  $\mathcal{L}_{res}$        5.50493117e-01
        1200  $\mathcal{L}_{res}$        4.30310290e-01
        1400  $\mathcal{L}_{res}$        7.03485171e-01
        1600  $\mathcal{L}_{res}$        3.21659866e-01
        1800  $\mathcal{L}_{res}$        2.70926870e-01
        2000  $\mathcal{L}_{res}$        2.47339024e-01
        2200  $\mathcal{L}_{res}$        2.24254317e-01
        2400  $\mathcal{L}_{res}$        2.03636107e-01
        2600  $\mathcal{L}_{res}$        1.83518716e-01
        2800  $\mathcal{L}_{res}$        1.66249867e-01
        3000  $\mathcal{L}_{res}$        1.85731795e-01
        3000  $\mathcal{L}_{res}$        1.66311706e-01
        4000  $\mathcal{L}_{res}$        8.59698614e-03
        5000  $\mathcal{L}_{res}$        3.67698787e-03
        6000  $\mathcal{L}_{res}$        1.80785997e-03
        7000  $\mathcal{L}_{res}$        9.80133084e-04
        8000  $\mathcal{L}_{res}$        5.91949093e-04
        9000  $\mathcal{L}_{res}$        3.95250082e-04
        9066  $\mathcal{L}_{res}$        3.88091301e-04
        9960  $\mathcal{L}_{res}$        2.67551847e-04
       10491  $\mathcal{L}_{res}$        2.24052466e-04
       10576  $\mathcal{L}_{res}$        2.18882788e-04
       10640  $\mathcal{L}_{res}$        2.15589828e-04
       10665  $\mathcal{L}_{res}$        2.13215961e-04
       10712  $\mathcal{L}_{res}$        2.09138953e-04
       10727  $\mathcal{L}_{res}$        2.07795687e-04
       10789  $\mathcal{L}_{res}$        2.02411960e-04
       10902  $\mathcal{L}_{res}$        1.93229767e-04
       10909  $\mathcal{L}_{res}$        1.93042415e-04
       10951  $\mathcal{L}_{res}$        1.90350589e-04
       10984  $\mathcal{L}_{res}$        1.88477064e-04
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        2.43389974e+01
         200  $\mathcal{L}_{bc0}$        9.13657670e+00
         400  $\mathcal{L}_{bc0}$        7.16382073e+00
         600  $\mathcal{L}_{bc0}$        6.06939353e+00
         800  $\mathcal{L}_{bc0}$        5.55706868e+00
        1000  $\mathcal{L}_{bc0}$        5.18501546e+00
        1200  $\mathcal{L}_{bc0}$        5.04010314e+00
        1400  $\mathcal{L}_{bc0}$        5.12549250e+00
        1600  $\mathcal{L}_{bc0}$        4.98113964e+00
        1800  $\mathcal{L}_{bc0}$        4.94344492e+00
        2000  $\mathcal{L}_{bc0}$        4.92895325e+00
        2200  $\mathcal{L}_{bc0}$        4.92377660e+00
        2400  $\mathcal{L}_{bc0}$        4.91140296e+00
        2600  $\mathcal{L}_{bc0}$        4.89488295e+00
        2800  $\mathcal{L}_{bc0}$        4.88916778e+00
        3000  $\mathcal{L}_{bc0}$        4.89217005e+00
        3000  $\mathcal{L}_{bc0}$        4.89217005e+00
