Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        4.60479353e+01
         200  $\mathcal{L}_{res}$        3.99446427e+00
         400  $\mathcal{L}_{res}$        1.83147131e+00
         600  $\mathcal{L}_{res}$        1.16396033e+00
         800  $\mathcal{L}_{res}$        7.82242078e-01
        1000  $\mathcal{L}_{res}$        4.95955531e-01
        1200  $\mathcal{L}_{res}$        3.70688828e-01
        1400  $\mathcal{L}_{res}$        2.33757831e-01
        1600  $\mathcal{L}_{res}$        2.03427241e-01
        1800  $\mathcal{L}_{res}$        1.76637519e-01
        2000  $\mathcal{L}_{res}$        3.46065602e-01
        2200  $\mathcal{L}_{res}$        1.35406657e-01
        2400  $\mathcal{L}_{res}$        1.31157999e-01
        2600  $\mathcal{L}_{res}$        1.16083150e-01
        2800  $\mathcal{L}_{res}$        1.16409011e-01
        3000  $\mathcal{L}_{res}$        1.07083738e-01
        3000  $\mathcal{L}_{res}$        1.84123881e-01
        4000  $\mathcal{L}_{res}$        5.77392586e-03
        5000  $\mathcal{L}_{res}$        2.24297084e-02
        6000  $\mathcal{L}_{res}$        4.80403631e-03
        7000  $\mathcal{L}_{res}$        2.59623671e-03
        8000  $\mathcal{L}_{res}$        1.62889661e-03
        9000  $\mathcal{L}_{res}$        1.12241758e-03
       10000  $\mathcal{L}_{res}$        8.06882964e-04
       11000  $\mathcal{L}_{res}$        6.56286766e-04
       11448  $\mathcal{L}_{res}$        6.00082855e-04
       12448  $\mathcal{L}_{res}$        5.03157358e-04
       12797  $\mathcal{L}_{res}$        4.64333884e-04
       13273  $\mathcal{L}_{res}$        4.26414452e-04
       13501  $\mathcal{L}_{res}$        4.10442886e-04
       13529  $\mathcal{L}_{res}$        4.07536741e-04
       13699  $\mathcal{L}_{res}$        3.94326750e-04
--------------------------------------------------
           0  $\mathcal{L}_{bc0}$        5.97318601e+01
         200  $\mathcal{L}_{bc0}$        1.29684170e+01
         400  $\mathcal{L}_{bc0}$        9.30901709e+00
         600  $\mathcal{L}_{bc0}$        8.14835596e+00
         800  $\mathcal{L}_{bc0}$        7.12826262e+00
        1000  $\mathcal{L}_{bc0}$        6.64653795e+00
        1200  $\mathcal{L}_{bc0}$        6.38189549e+00
        1400  $\mathcal{L}_{bc0}$        6.21393412e+00
        1600  $\mathcal{L}_{bc0}$        6.16228056e+00
        1800  $\mathcal{L}_{bc0}$        6.14740496e+00
        2000  $\mathcal{L}_{bc0}$        6.20329080e+00
        2200  $\mathcal{L}_{bc0}$        6.10125427e+00
        2400  $\mathcal{L}_{bc0}$        6.09403156e+00
        2600  $\mathcal{L}_{bc0}$        6.07395948e+00
        2800  $\mathcal{L}_{bc0}$        6.05944243e+00
        3000  $\mathcal{L}_{bc0}$        6.03915716e+00
        3000  $\mathcal{L}_{bc0}$        6.03915716e+00
        4000  $\mathcal{L}_{bc0}$        5.85807443e+00
        5000  $\mathcal{L}_{bc0}$        5.80489888e+00
        6000  $\mathcal{L}_{bc0}$        5.78516262e+00
        7000  $\mathcal{L}_{bc0}$        5.78495019e+00
