Loss Components Data
==================================================
   Iteration     Loss Type            Loss Value
--------------------------------------------------
           0  $\mathcal{L}_{res}$        1.26098691e+02
         200  $\mathcal{L}_{res}$        3.89894945e+00
         400  $\mathcal{L}_{res}$        3.08335422e+00
         600  $\mathcal{L}_{res}$        1.72669374e+00
         800  $\mathcal{L}_{res}$        1.59563339e+00
        1000  $\mathcal{L}_{res}$        1.18253973e+00
        1200  $\mathcal{L}_{res}$        9.34228986e-01
        1400  $\mathcal{L}_{res}$        7.83252859e-01
        1600  $\mathcal{L}_{res}$        6.34948342e-01
        1800  $\mathcal{L}_{res}$        4.99405048e-01
        2000  $\mathcal{L}_{res}$        4.17180848e-01
        2200  $\mathcal{L}_{res}$        3.47841994e-01
        2400  $\mathcal{L}_{res}$        2.98593738e-01
        2600  $\mathcal{L}_{res}$        2.57565193e-01
        2800  $\mathcal{L}_{res}$        2.48262629e-01
        3000  $\mathcal{L}_{res}$        2.19153201e-01
        3000  $\mathcal{L}_{res}$        2.98722670e-01
        4000  $\mathcal{L}_{res}$        8.49328013e-03
        5000  $\mathcal{L}_{res}$        1.92495141e-02
        6000  $\mathcal{L}_{res}$        5.43603557e-03
        7000  $\mathcal{L}_{res}$        2.60747709e-03
        8000  $\mathcal{L}_{res}$        1.68567490e-03
        9000  $\mathcal{L}_{res}$        1.13949740e-03
       10000  $\mathcal{L}_{res}$        7.98195975e-04
       10870  $\mathcal{L}_{res}$        5.98146571e-04
       11732  $\mathcal{L}_{res}$        4.85117345e-04
       11833  $\mathcal{L}_{res}$        4.73968101e-04
       11888  $\mathcal{L}_{res}$        4.71350703e-04
       11902  $\mathcal{L}_{res}$        4.70541870e-04
       11939  $\mathcal{L}_{res}$        4.69152071e-04
       11941  $\mathcal{L}_{res}$        4.69153567e-04
       11944  $\mathcal{L}_{res}$        4.69112135e-04
       12144  $\mathcal{L}_{res}$        4.56566689e-04
       12242  $\mathcal{L}_{res}$        4.50634154e-04
       12338  $\mathcal{L}_{res}$        4.43823937e-04
       12398  $\mathcal{L}_{res}$        4.39322308e-04
       12697  $\mathcal{L}_{res}$        4.13144323e-04
       12702  $\mathcal{L}_{res}$        4.13018359e-04
       12748  $\mathcal{L}_{res}$        4.10018557e-04
       12958  $\mathcal{L}_{res}$        3.94809515e-04
       13004  $\mathcal{L}_{res}$        3.91316445e-04
       13018  $\mathcal{L}_{res}$        3.90823282e-04
       13023  $\mathcal{L}_{res}$        3.90601868e-04
       13028  $\mathcal{L}_{res}$        3.90514990e-04
       13061  $\mathcal{L}_{res}$        3.89854084e-04
       13094  $\mathcal{L}_{res}$        3.88732866e-04
       13100  $\mathcal{L}_{res}$        3.88585412e-04
       13117  $\mathcal{L}_{res}$        3.87971110e-04
